Column_or_Row_Name,Unit,Definition,Data_Type
Wave_474,%,Reflectance at associated wavelength,numeric
Wave_475,%,Reflectance at associated wavelength,numeric
Wave_476,%,Reflectance at associated wavelength,numeric
Wave_477,%,Reflectance at associated wavelength,numeric
Wave_478,%,Reflectance at associated wavelength,numeric
Wave_479,%,Reflectance at associated wavelength,numeric
Wave_480,%,Reflectance at associated wavelength,numeric
Wave_481,%,Reflectance at associated wavelength,numeric
Wave_482,%,Reflectance at associated wavelength,numeric
Wave_483,%,Reflectance at associated wavelength,numeric
Wave_484,%,Reflectance at associated wavelength,numeric
Wave_485,%,Reflectance at associated wavelength,numeric
Wave_486,%,Reflectance at associated wavelength,numeric
Wave_487,%,Reflectance at associated wavelength,numeric
Wave_488,%,Reflectance at associated wavelength,numeric
Wave_489,%,Reflectance at associated wavelength,numeric
Wave_490,%,Reflectance at associated wavelength,numeric
Wave_491,%,Reflectance at associated wavelength,numeric
Wave_492,%,Reflectance at associated wavelength,numeric
Wave_493,%,Reflectance at associated wavelength,numeric
Wave_494,%,Reflectance at associated wavelength,numeric
Wave_495,%,Reflectance at associated wavelength,numeric
Wave_496,%,Reflectance at associated wavelength,numeric
Wave_497,%,Reflectance at associated wavelength,numeric
Wave_498,%,Reflectance at associated wavelength,numeric
Wave_499,%,Reflectance at associated wavelength,numeric
Wave_500,%,Reflectance at associated wavelength,numeric
Wave_501,%,Reflectance at associated wavelength,numeric
Wave_502,%,Reflectance at associated wavelength,numeric
Wave_503,%,Reflectance at associated wavelength,numeric
Wave_504,%,Reflectance at associated wavelength,numeric
Wave_505,%,Reflectance at associated wavelength,numeric
Wave_506,%,Reflectance at associated wavelength,numeric
Wave_507,%,Reflectance at associated wavelength,numeric
Wave_508,%,Reflectance at associated wavelength,numeric
Wave_509,%,Reflectance at associated wavelength,numeric
Wave_510,%,Reflectance at associated wavelength,numeric
Wave_511,%,Reflectance at associated wavelength,numeric
Wave_512,%,Reflectance at associated wavelength,numeric
Wave_513,%,Reflectance at associated wavelength,numeric
Wave_514,%,Reflectance at associated wavelength,numeric
Wave_515,%,Reflectance at associated wavelength,numeric
Wave_516,%,Reflectance at associated wavelength,numeric
Wave_517,%,Reflectance at associated wavelength,numeric
Wave_518,%,Reflectance at associated wavelength,numeric
Wave_519,%,Reflectance at associated wavelength,numeric
Wave_520,%,Reflectance at associated wavelength,numeric
Wave_521,%,Reflectance at associated wavelength,numeric
Wave_522,%,Reflectance at associated wavelength,numeric
Wave_523,%,Reflectance at associated wavelength,numeric
Wave_524,%,Reflectance at associated wavelength,numeric
Wave_525,%,Reflectance at associated wavelength,numeric
Wave_526,%,Reflectance at associated wavelength,numeric
Wave_527,%,Reflectance at associated wavelength,numeric
Wave_528,%,Reflectance at associated wavelength,numeric
Wave_529,%,Reflectance at associated wavelength,numeric
Wave_530,%,Reflectance at associated wavelength,numeric
Wave_531,%,Reflectance at associated wavelength,numeric
Wave_532,%,Reflectance at associated wavelength,numeric
Wave_533,%,Reflectance at associated wavelength,numeric
Wave_534,%,Reflectance at associated wavelength,numeric
Wave_535,%,Reflectance at associated wavelength,numeric
Wave_536,%,Reflectance at associated wavelength,numeric
Wave_537,%,Reflectance at associated wavelength,numeric
Wave_538,%,Reflectance at associated wavelength,numeric
Wave_539,%,Reflectance at associated wavelength,numeric
Wave_540,%,Reflectance at associated wavelength,numeric
Wave_541,%,Reflectance at associated wavelength,numeric
Wave_542,%,Reflectance at associated wavelength,numeric
Wave_543,%,Reflectance at associated wavelength,numeric
Wave_544,%,Reflectance at associated wavelength,numeric
Wave_545,%,Reflectance at associated wavelength,numeric
Wave_546,%,Reflectance at associated wavelength,numeric
Wave_547,%,Reflectance at associated wavelength,numeric
Wave_548,%,Reflectance at associated wavelength,numeric
Wave_549,%,Reflectance at associated wavelength,numeric
Wave_550,%,Reflectance at associated wavelength,numeric
Wave_551,%,Reflectance at associated wavelength,numeric
Wave_552,%,Reflectance at associated wavelength,numeric
Wave_553,%,Reflectance at associated wavelength,numeric
Wave_554,%,Reflectance at associated wavelength,numeric
Wave_555,%,Reflectance at associated wavelength,numeric
Wave_556,%,Reflectance at associated wavelength,numeric
Wave_557,%,Reflectance at associated wavelength,numeric
Wave_558,%,Reflectance at associated wavelength,numeric
Wave_559,%,Reflectance at associated wavelength,numeric
Wave_560,%,Reflectance at associated wavelength,numeric
Wave_561,%,Reflectance at associated wavelength,numeric
Wave_562,%,Reflectance at associated wavelength,numeric
Wave_563,%,Reflectance at associated wavelength,numeric
Wave_564,%,Reflectance at associated wavelength,numeric
Wave_565,%,Reflectance at associated wavelength,numeric
Wave_566,%,Reflectance at associated wavelength,numeric
Wave_567,%,Reflectance at associated wavelength,numeric
