SampleID,Record,A,Ci,CO2s,CO2r,gsw,Patm,Qin,RHs,Tleaf,Tair,SampleID_num,QC
2015_dry_PAR-B2_97T3,1,4.464629069,229.8478716,384.1137085,389.8496399,0.049629827,101.7730179,1299.686157,62.62174225,30.01900482,29.70990372,208,ok
2015_dry_PAR-B2_97T3,2,3.010213677,185.5103316,295.6181946,299.5089722,0.047122963,101.7684097,1299.414063,62.43438721,30.02745819,29.71111488,208,ok
2015_dry_PAR-B2_97T3,3,1.592071615,137.2175256,197.1511078,199.2452087,0.046587466,101.7642212,1299.552612,62.35144043,30.01991463,29.70690727,208,ok
2015_dry_PAR-B2_97T3,4,0.202200093,88.96423856,98.4024353,98.73815155,0.047430686,101.7603226,1299.287476,62.29412079,30.02453995,29.70729828,208,ok
2015_dry_PAR-B2_97T3,5,-0.475555322,64.49810886,50.70544434,50.18524933,0.050346134,101.7584152,1299.562012,62.34433746,30.02246857,29.68424606,208,ok
2015_dry_PAR-B2_97T3,6,5.355762411,209.9525981,383.2659302,390.0986328,0.052661807,101.7509842,1299.197144,62.28975677,30.02073097,29.65906143,208,bad
2015_dry_PAR-B2_97T3,7,7.470902327,311.2208576,591.1351929,600.6507568,0.045280118,101.7368164,1298.528564,61.78880692,30.01888084,29.67209053,208,bad
2015_dry_PAR-B2_97T3,8,7.063390609,405.7549299,791.3536377,800.3386841,0.030916727,101.7314835,1299.760498,60.99914932,30.0120163,29.68126869,208,ok
2015_dry_PAR-B2_97T3,9,7.999915536,508.9508886,990.9669189,1001.140991,0.02799546,101.7294769,1298.665405,60.74286652,30.01612854,29.71413422,208,ok
2015_dry_PAR-B2_97T3,10,8.463461396,612.9122214,1188.804199,1199.580566,0.024775083,101.7288361,1299.22937,60.5684967,30.01717758,29.73459244,208,ok
2015_dry_PAR-B2_97T3,11,9.447427877,807.9030026,1486.695801,1498.764282,0.023539294,101.7217789,1299.115479,60.5513916,30.02497292,29.77335739,208,ok
2015_dry_PAR-B2_97T3,12,9.236003404,901.9386741,1687.78833,1699.575317,0.019827843,101.7149429,1299.478516,60.52416229,30.02525711,29.81982231,208,ok
2015_dry_PAR-B2_97T3,13,9.565232651,1075.268942,1987.383423,1999.596558,0.017692021,101.7077026,1299.467407,60.68210983,30.02014542,29.83229828,208,ok
2015_dry_PAR-B2_97T3,14,8.832257081,1250.60731,2151.412842,2162.76123,0.016626574,101.70121,1299.208984,61.01028061,30.02304649,29.8819809,208,ok
2015_dry_PAR-B2_97T3,15,8.11839268,1217.338909,2151.848145,2162.246094,0.0146794,101.6952667,1299.688354,61.42673874,30.01930237,29.86703682,208,bad
