"SampleID","Record","A","Ci","CO2s","CO2r","gsw","Patm","Qin","RHs","Tleaf","Tair","SampleID_num","QC"
"2015_wet_NOU-S3_71D1",1,4.798209148,213.6534254,383.0231934,389.1682434,0.048350266,100.6632462,499.118927,60.61090088,29.84018135,29.65186119,530,"ok"
"2015_wet_NOU-S3_71D1",2,3.314324818,175.1251738,295.1740112,299.4470825,0.047399844,100.6621475,499.4420166,60.75631332,29.93110275,29.67163277,530,"ok"
"2015_wet_NOU-S3_71D1",3,1.833820398,130.7714014,196.9622345,199.3639526,0.048335893,100.6581345,498.9048767,61.00820541,30.02451897,29.69971275,530,"ok"
"2015_wet_NOU-S3_71D1",4,0.30488955,86.02952701,98.71006775,99.17661285,0.04901697,100.6554642,498.6607971,61.43119812,30.06713104,29.7129097,530,"ok"
"2015_wet_NOU-S3_71D1",5,-0.420218287,61.39220232,50.23198318,49.78275681,0.053710418,100.6532822,499.3835754,61.92225647,30.17395782,29.74571037,530,"ok"
"2015_wet_NOU-S3_71D1",6,5.576201418,238.131231,383.0076294,390.2173767,0.06668794,100.6518478,499.2887268,62.76473999,30.09123039,29.7393322,530,"ok"
"2015_wet_NOU-S3_71D1",7,5.420903004,239.8730527,383.2156982,390.2252808,0.065503227,100.6519852,499.0097656,63.03226089,30.05202866,29.74619675,530,"ok"
"2015_wet_NOU-S3_71D1",8,8.084814808,378.4185345,590.536499,601.0264282,0.066263268,100.6503754,498.7763367,63.1845665,30.12127495,29.75955582,530,"ok"
"2015_wet_NOU-S3_71D1",9,8.990244225,512.7049313,789.2589111,800.9530029,0.056488728,100.6481857,498.5519714,62.94518661,30.11988449,29.76329041,530,"ok"
"2015_wet_NOU-S3_71D1",10,9.496387418,658.1340653,988.6206665,1001.045349,0.050096432,100.6444397,499.3966064,62.85155106,30.22192764,29.77660942,530,"ok"
"2015_wet_NOU-S3_71D1",11,9.623234035,800.0092569,1187.813721,1200.442627,0.043300771,100.6435089,499.2437134,62.79513168,30.28309822,29.78069878,530,"ok"
"2015_wet_NOU-S3_71D1",12,9.998211112,1035.593304,1486.144165,1499.37561,0.038992259,100.6402817,498.9214783,62.81607056,30.38991928,29.80170059,530,"ok"
"2015_wet_NOU-S3_71D1",13,10.02949461,1187.62218,1686.529541,1699.818237,0.03533413,100.6384659,499.0639954,62.76835251,30.27640152,29.77003098,530,"ok"
"2015_wet_NOU-S3_71D1",14,9.947486082,1452.14355,1985.741211,1999.063965,0.033097063,100.639679,498.8996887,62.71530533,30.28295898,29.75681877,530,"ok"
"2015_wet_NOU-S3_71D1",15,10.21162715,1518.845898,2086.730713,2100.383545,0.031857031,100.6399384,498.8888245,62.6101799,30.23378944,29.74146652,530,"ok"
"2015_wet_NOU-S3_71D1",16,10.00410156,1607.784869,2186.449463,2199.869629,0.030716408,100.6364288,498.5898132,62.48182678,30.21227455,29.73684311,530,"ok"
