SampleID,LMA,LWC,Cmass,Nmass,Carea,Narea,CNratio,CNmolarRatio
BNL17194,118.89,60.48,480.6,22.4,57.14,2.66,0.21,0.25
BNL17195,132.26,64.03,474.9,21.2,62.81,2.8,0.22,0.26
BNL17196,167.75,54.57,479.7,19.1,80.47,3.2,0.25,0.29
BNL17197,168.55,53.96,490.2,18.1,82.62,3.05,0.27,0.32
BNL17198,173.16,59.4,482.2,20.5,83.5,3.55,0.24,0.27
BNL17199,188.44,52.06,467.9,15.6,88.17,2.94,0.3,0.35
BNL17200,145.95,60.47,470.1,18.7,68.61,2.73,0.25,0.29
BNL17201,123.82,68.11,513.7,20.5,63.61,2.54,0.25,0.29
BNL17202,98.04,61.5,498.1,20.5,48.83,2.01,0.24,0.28
BNL17203,145.89,53.07,473.4,22.4,69.07,3.27,0.21,0.25
BNL17205,125.54,64.53,490.5,15.8,61.58,1.98,0.31,0.36
BNL17218,212.63,39.93,491.6,12.9,104.53,2.74,0.38,0.44
BNL17237,148.24,52.62,524.5,23.1,77.75,3.42,0.23,0.26
BNL17238,162.18,59.72,477.9,19.2,77.51,3.11,0.25,0.29
BNL17239,64.14,71.42,491,32.8,31.49,2.1,0.15,0.17
BNL17240,125.41,52.53,488.6,19.9,61.28,2.5,0.25,0.29
BNL17241,82.44,52.04,490.7,16.7,40.45,1.38,0.29,0.34
BNL17242,73.47,63.94,427,26.4,31.37,1.94,0.16,0.19
BNL17243,97.33,57,505.1,26.7,49.16,2.6,0.19,0.22
BNL17244,68.27,62.59,486.3,32.4,33.2,2.21,0.15,0.18
BNL17246,113.69,53.86,502.5,26.6,57.13,3.02,0.19,0.22
BNL17476,146.74,59.56,483.2,18.6,70.91,2.73,0.26,0.3
BNL17487,110.77,61.33,511.4,18.2,56.65,2.02,0.28,0.33
BNL17490,111.25,72.26,486.7,17.4,54.15,1.94,0.28,0.33
BNL17491,127.54,68.86,477.8,15.6,60.94,1.99,0.31,0.36
BNL17492,159.58,61.04,491,18.3,78.35,2.92,0.27,0.31
BNL17493,132.63,67.11,477.5,17.1,63.33,2.27,0.28,0.33
BNL17494,148.76,68.42,486.1,15,72.31,2.23,0.32,0.38
BNL17495,128.85,59.84,496.6,26,63.99,3.35,0.19,0.22
BNL17496,143.11,58.68,492.3,20,70.45,2.86,0.25,0.29
BNL17497,144.97,59.54,499.6,22.1,72.43,3.2,0.23,0.26
BNL17498,162.79,57.78,470.2,17.1,76.55,2.78,0.27,0.32
BNL17510,211.07,51.08,536.3,17.5,113.2,3.69,0.31,0.36
BNL17511,174.01,62.73,500.2,17,87.04,2.96,0.29,0.34
BNL17512,143.24,60.66,493.5,16.8,70.69,2.41,0.29,0.34
BNL17513,101.6,63.39,499.6,22.7,50.76,2.31,0.22,0.26
BNL17514,63.98,63.78,492.6,19.8,31.52,1.27,0.25,0.29
BNL17515,139.67,62.17,487.7,13.5,68.12,1.89,0.36,0.42
BNL17516,66.37,53.15,477,18.1,31.66,1.2,0.26,0.31
BNL17517,112.26,68.13,491.5,11.3,55.17,1.27,0.43,0.51
BNL17518,137.51,63.6,497.9,13.2,68.47,1.82,0.38,0.44
BNL17519,202.87,58.43,537.7,11.3,109.08,2.29,0.48,0.55
BNL17520,138.15,54.32,533.1,14.1,73.65,1.95,0.38,0.44
BNL17521,65.36,74.55,467.3,14,30.54,0.92,0.33,0.39
