SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,LMA_gm2,LWC_pct
20220927_QUPH_16,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,NA,NA
20220926_ACSA_19,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,81.01571947,53.14685315
20220927_QUPH_20,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,171.4285714,57.14285714
20220927_QUPA_22,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,72.68170426,57.35294118
20220927_QUPA_23,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,105.2631579,53.33333333
20220927_ACSA_24,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,101.0989011,53.06122449
20220926_QUPA_26,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,114.5251397,53.93258427
20220927_ACRU_28,Kyaw_et_al_2022,UMBC,Acer rubrum,Sun,Mature,C3,Agricultural,Managed,74.16879795,56.06060606
20220927_ACRU_29,Kyaw_et_al_2022,UMBC,Acer rubrum,Sun,Mature,C3,Agricultural,Managed,NA,NA
20220926_QUPA_34,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,75.75757576,55.55555556
20220926_TITO_35,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,86.95652174,59.22330097
20220926_QUPA_36,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,111.1111111,48.38709677
20220926_QUPA_38,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,NA,NA
20220927_ACRU_39,Kyaw_et_al_2022,UMBC,Acer rubrum,Sun,Mature,C3,Agricultural,Managed,72.62569832,57.37704918
20220927_ACSA_40,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,NA,NA
20220926_QURU_46,Kyaw_et_al_2022,UMBC,Quercus rubra,Sun,Mature,C3,Agricultural,Managed,105.1454139,52.28426396
20220926_BENI_47,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,117.9039301,55
20220927_BENI_59,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,70.75471698,59.45945946
20220926_BENI_69,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,121.6216216,56.09756098
20220824_ACSA_2,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,99.33774834,50.81967213
20220824_QUPH_6,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,114.7540984,56.25
20220824_TITO_8,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,69.40874036,60.29411765
20220825_QUPH_11,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,117.6470588,57.89473684
20220825_QUPH_15,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,107.6923077,53.33333333
20220825_QUPH_16,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,139.2405063,54.16666667
20220825_ACSA_24,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,136.3128492,48.52320675
20220824_QUPA_26,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,100.1890359,50.46728972
20220824_TITO_31,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,78.7037037,54.05405405
20220825_CECA_33,Kyaw_et_al_2022,UMBC,Cercis canadensis,Sun,Mature,C3,Agricultural,Managed,131.0452418,55.0802139
20220824_TITO_35,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,99.22178988,56.41025641
20220824_QUPA_36,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,86.95652174,52.94117647
20220824_TITO_37,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,119.544592,50.39370079
20220825_ACRU_39,Kyaw_et_al_2022,UMBC,Acer rubrum,Sun,Mature,C3,Agricultural,Managed,126.6666667,52.5
20220825_ACSA_40,Kyaw_et_al_2022,UMBC,Acer saccharum,Sun,Mature,C3,Agricultural,Managed,NA,NA
20220721_CECA_3,Kyaw_et_al_2022,UMBC,Cercis canadensis,Sun,Mature,C3,Agricultural,Managed,115.7495256,59.06040268
20220722_QUPH_5,Kyaw_et_al_2022,UMBC,Quercus phellos,Sun,Mature,C3,Agricultural,Managed,116.6666667,53.33333333
20220721_TITO_8,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,66.26506024,66.15384615
20220720_TITO_9,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,93.38521401,61.29032258
20220722_ACRU_21,Kyaw_et_al_2022,UMBC,Acer rubrum,Sun,Mature,C3,Agricultural,Managed,93.43434343,51.94805195
20220722_QUPA_23,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,118.3206107,50.79365079
20220720_QUPA_26,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,126.5060241,51.72413793
20220720_QUPA_34,Kyaw_et_al_2022,UMBC,Quercus palustris,Sun,Mature,C3,Agricultural,Managed,98.80239521,53.52112676
20220721_TITO_37,Kyaw_et_al_2022,UMBC,Tilia tomentosa,Sun,Mature,C3,Agricultural,Managed,78.51239669,67.24137931
20220721_QURU_46,Kyaw_et_al_2022,UMBC,Quercus rubra,Sun,Mature,C3,Agricultural,Managed,95.11889862,55.55555556
20220721_BENI_47,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,104.2471042,63.51351351
20220721_BENI_49,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,99.68847352,64.44444444
20220721_QURU_56,Kyaw_et_al_2022,UMBC,Quercus rubra,Sun,Mature,C3,Agricultural,Managed,108.6474501,57.39130435
20220721_BENI_69,Kyaw_et_al_2022,UMBC,Betula nigra,Sun,Mature,C3,Agricultural,Managed,100,64.51612903
