SampleID,SampleID_num,Record,A,Ci,CO2s,Patm,Qin,RHs,Tleaf,gsw
20190718_DN_11840_1,11840,44,34.0922616,450.6275522,554.5878906,100.7318192,1499.385864,76.12971497,30.05895615,723.5554407
20190718_DN_11840_1,11840,45,40.84979988,616.9023187,744.3200684,100.7316437,1500.137207,76.00530243,30.03354073,713.7953394
20190718_DN_11840_2,11840,46,20.32026413,303.9030608,372.2437134,100.7223892,1499.292603,71.74939728,30.30613518,651.4992724
20190718_DN_11840_2,11840,47,12.82069571,238.0163394,282.1543579,100.7220612,1499.101074,74.0046463,30.14564514,650.3177478
20190718_DN_11840_2,11840,48,4.105756419,176.8386966,193.4184113,100.7211456,1499.927612,74.33657837,30.04484367,637.034562
20190718_DN_11840_2,11840,49,-5.29052342,119.219057,105.386261,100.7210693,1499.529785,74.13909912,29.99313164,628.3941872
20190718_DN_11840_2,11840,50,-9.98312051,91.15481928,61.80460358,100.7207794,1499.338867,73.94048309,29.97377396,621.6955526
20190718_DN_11840_2,11840,51,20.15607975,302.4527355,372.5145264,100.7224197,1499.13501,73.65820313,29.90413666,622.4385472
20190718_DN_11840_2,11840,52,20.2278145,302.1996042,372.5493469,100.7205811,1499.026123,73.59858704,29.89588356,621.6724452
20190718_DN_11840_2,11840,53,29.06202596,458.7467919,560.3925781,100.7156067,1499.243286,73.52746582,29.84959221,621.087146
20190718_DN_11840_2,11840,54,33.05713961,636.8636105,753.9135742,100.710434,1498.647583,73.65815735,29.92680168,629.8604884
20190718_DN_11867_1,11867,55,24.44518259,299.5022972,366.6097107,100.6872635,1498.964111,77.04806519,31.18740273,835.5632435
20190718_DN_11867_1,11867,56,15.42717267,235.7453396,278.7173767,100.6807404,1499.389282,78.16465759,31.06040573,843.2842142
20190718_DN_11867_1,11867,57,5.380199124,174.4573379,191.2667389,100.6786423,1499.149902,78.52323151,31.12846756,854.4866683
20190718_DN_11867_1,11867,58,-5.127716221,115.0458961,105.0585709,100.6698303,1499.581909,78.76766205,31.15695,859.2030845
20190718_DN_11867_1,11867,59,-10.1886777,86.28344191,63.2150383,100.6607666,1499.940674,79.02224731,30.84967995,852.1057489
20190718_DN_11867_1,11867,60,23.74896962,304.5057012,367.6290283,100.6588516,1499.784058,79.16855621,30.73454475,869.7379008
20190718_DN_11867_1,11867,61,24.15181802,303.1143913,367.3327942,100.6617432,1500.188232,79.46041107,30.66192627,865.3802743
20190718_DN_11867_1,11867,62,35.89863622,456.1384186,551.1445313,100.6675034,1500.631104,79.91960907,30.58651733,870.6961944
20190718_DN_11867_1,11867,63,40.85780154,632.1872453,743.7493286,100.6644363,1498.955566,80.13187408,30.4694252,855.8908519
20190718_DN_11867_2,11867,64,24.93025336,302.2562091,366.1357117,100.6557846,1499.60791,79.20296478,31.01654434,910.0429625
20190718_DN_11867_2,11867,65,15.7795348,237.1284791,277.9234619,100.654335,1499.428101,80.01010895,30.97501755,927.3522991
20190718_DN_11867_2,11867,66,5.742234796,174.549081,191.1088562,100.6517181,1499.710449,79.98472595,31.02248001,935.0854057
20190718_DN_11867_2,11867,67,-4.906078639,113.9371443,105.0398636,100.6525574,1500.614746,79.36680603,31.17819405,921.4030349
20190718_DN_11867_2,11867,68,-9.925954626,85.37789372,63.6339798,100.652916,1500.604614,78.68881989,31.31576538,881.8740811
20190718_DN_11867_2,11867,69,23.93790156,301.0647904,367.4846497,100.6516647,1499.48645,77.50080109,31.40691566,828.5967991
20190718_DN_11867_2,11867,70,23.81446262,297.9832144,367.5943604,100.6514511,1500.645142,76.28638458,31.59309578,774.9879064
20190718_DN_11867_2,11867,71,36.11488381,438.4769603,550.9194946,100.6479645,1499.730713,74.94800568,31.67129326,711.4730975
20190718_DN_11867_2,11867,72,42.78209554,595.9322392,741.5736694,100.6439743,1500.035278,73.79974365,31.81461525,646.5406609
20190718_DN_11859_1,11859,73,25.23310911,292.9224303,365.5073853,100.6402435,1499.999634,76.84085083,32.66275787,796.2516173
20190718_DN_11859_1,11859,74,16.09612503,230.8208234,277.3112793,100.6372604,1500.038696,77.31551361,32.46197128,814.4347729
20190718_DN_11859_1,11859,75,6.206812683,170.9376451,190.5245056,100.6377106,1501.007324,78.01630402,31.98197746,823.5897535
20190718_DN_11859_1,11859,76,-4.362621119,112.3387108,104.024086,100.6405258,1501.135132,79.25521851,31.47076035,836.6583917
20190718_DN_11859_1,11859,77,-9.495028938,84.84479787,63.66519165,100.6400909,1499.601196,80.4668045,31.3353405,859.7402313
20190718_DN_11859_1,11859,78,24.69140085,302.0712433,366.2233582,100.6344986,1498.91626,81.05696106,31.46943855,899.3151397
20190718_DN_11859_1,11859,79,24.97897503,300.760069,365.7229614,100.6308365,1500.591064,81.22537994,31.69629669,897.8820309
20190718_DN_11859_1,11859,80,38.15360187,448.3344685,548.0713501,100.6279297,1499.928223,80.96870422,31.8691864,890.2403899
20190718_DN_11859_1,11859,81,45.84110913,614.5443758,736.6173706,100.6313324,1499.091797,80.78996277,32.05857849,885.8217353
20190718_DN_11859_2,11859,82,24.07710016,295.1612593,367.1526184,100.6289673,1500.085938,80.09489441,31.67931175,740.7576811
20190718_DN_11859_2,11859,83,15.23524775,233.8518826,279.3096313,100.6250992,1500.213135,81.49074554,31.16847229,757.7097368
20190718_DN_11859_2,11859,84,5.560148365,173.7238124,191.6125946,100.6199112,1500.385864,82.73606873,30.70818901,775.076375
20190718_DN_11859_2,11859,85,-4.63097413,114.4176578,104.5628357,100.616066,1501.199463,83.90829468,30.33598137,794.6286929
20190718_DN_11859_2,11859,86,-9.646460151,85.65193591,62.81372833,100.61129,1499.87793,84.64749908,30.04165077,815.0721296
