SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,LMA,Narea,Nmass
20190725_DD_112107_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,107.88,3.31,30.7
20190725_DD_112107_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,98.67,2.29,23.22
20190725_DD_6_4_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,95.36,2.07,21.74
20190725_DD_6_4_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,103.84,2.63,25.35
20190725_DD_6_5_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,127.57,3.23,25.34
20190725_DD_6_5_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus deltoides ,Sun,Young,C3,Agricultural,Managed,111.08,2.6,23.38
20190725_DT_8717_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,115.48,2.86,24.73
20190725_DT_8717_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,123.93,3.45,27.88
20190725_DT_7938_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,134.2,3.08,22.92
20190725_DT_7938_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,134.25,2.84,21.17
20190725_DT_7903_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,129.67,2.82,21.76
20190725_DT_7903_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,85.24,1.91,22.35
20190725_TD_9755_1,Kyaw_et_al_2022,Monroe,Populus trichocarpa xPopulus deltoides ,Sun,Young,C3,Agricultural,Managed,109.35,2.94,26.89
20190726_TD_9755_2,Kyaw_et_al_2022,Monroe,Populus trichocarpa xPopulus deltoides ,Sun,Young,C3,Agricultural,Managed,116.57,3.01,25.86
20190726_DT_8729_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,110.55,2.71,24.53
20190726_DT_8729_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus trichocarpa ,Sun,Young,C3,Agricultural,Managed,117.18,2.88,24.59
20190726_DM_9711_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,105.24,2.58,24.55
20190726_DM_9711_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,85.82,1.98,23.08
20190726_DM_8015_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,116.83,2.45,20.98
20190726_DM_8015_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,109.77,2.28,20.81
20190726_DM_9225_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,119.45,2.9,24.26
20190726_DM_9225_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,117.36,2.77,23.61
20190726_DM_13724_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,114.79,2.77,24.17
20190726_DM_13724_2,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,125.56,2.9,23.11
20190726_DM_14492_1,Kyaw_et_al_2022,Monroe,Populus deltoides x Populus maximowiczii ,Sun,Young,C3,Agricultural,Managed,128.64,3.31,25.7
