TreeID,subplot,DBH,X,Y,family,spp,SampleID
20_1245,20,3.6,418.8,130.35,Lauraceae,Licaria debilis,ALT026
20_0559,20,3.4,402.9,185,Lauraceae,Licaria debilis,ALT027
20_5177,20,2.3,491.3,179.2,Violaceae,Paypayrola hulkiana,ALT028
20_4835,20,3.6,480.7,173.1,Sapindaceae,Talisia guianensis,ALT029
20_4818,20,2.6,487.8,167.1,Metteniusaceae,Poraqueiba guianensis,ALT030
20_3346,20,3.2,454,165.14,Fabaceae,Bocoa prouacensis,ALT031
20_2928,20,3.7,446.6,175.44,Annonaceae,Anaxagorea dolichocarpa,ALT032
20_2753,20,2.8,442.9,140.51,Boraginaceae,Cordia nodosa,ALT033
20_2396,20,3.4,431.1,144,Fabaceae,Bocoa prouacensis,ALT034
19_4065,19,3.7,394.9,161,Apocynaceae,Tabernaemontana macrocalyx,ALT035
20_4308,20,2.5,473.9,156.4,Meliaceae,Guarea costata,ALT037
20_1444,20,2.3,422.9,105.3,Metteniusaceae,Poraqueiba guianensis,ALT037
20_4971,20,2.1,488.9,197.65,Apocynaceae,Macoubea guianensis,ALT038
13_1392,13,2.4,240.9,206.6,Urticaceae,Pourouma melinonii,ALT039
13_1467,13,2.2,249.2,213.8,Urticaceae,Pourouma melinonii,ALT040
13_1463,13,3.2,247.6,216.5,Urticaceae,Pourouma melinonii,ALT041
13_1105,13,2.7,239.9,279.4,Melastomataceae,Mouriri sagotiana,ALT042
13_2813,13,1.3,273.4,287.4,Sapindaceae,Talisia guianensis,ALT043
19_2759,19,2.2,363.7,178.3,Melastomataceae,Mouriri sagotiana,ALT044
19_2998,19,4.3,378,163.2,Boraginaceae,Cordia nodosa,ALT045
19_3073,19,2.5,375.4,140.8,Apocynaceae,Macoubea guianensis,ALT046
20_2223,20,1.3,430.5,173.92,Chrysobalanaceae,Licania alba,ALT047
20_3480,20,2.8,451.3,128.6,Fabaceae,Recordoxylon speciosum,ALT048
19_2553,19,3.1,367.2,132.6,Meliaceae,Guarea costata,ALT049
25_0606,25,2.9,415.1,86.3,Burseraceae,Protium opacum,ALT050
25_1461,25,3.3,428.6,85.6,Fabaceae,Recordoxylon speciosum,ALT051
20_5338,20,2.5,499.8,147.3,Meliaceae,Guarea costata,ALT052
15_1722,15,1.8,440.9,215,Bignoniaceae,Jacaranda copaia,ALT053
15_0036,15,1.9,409.6,206.3,Bignoniaceae,Jacaranda copaia,ALT054
15_0222,15,2.3,400,257.5,Melastomataceae,Mouriri sagotiana,ALT055
13_3436,13,3.3,286.2,251.5,Sapindaceae,Talisia sylvatica,ALT056
14_2464,14,3.2,344.6,297.6,Sapindaceae,Talisia sylvatica,ALT057
13_1905,13,3.5,259.6,296.3,Sapindaceae,Talisia sylvatica,ALT058
13_0250,13,2.3,204.1,273,Goupiaceae,Goupia glabra,ALT059
23_2596,23,2.2,252.7,44.9,Burseraceae,Protium opacum,ALT060
23_2595,23,2.2,253,44.5,Burseraceae,Protium opacum,ALT061
24_1078,24,2.2,326,54.1,Goupiaceae,Goupia glabra,ALT062
24_1543,24,2.4,340.1,42.3,Apocynaceae,Macoubea guianensis,ALT063
24_1798,24,1.7,351.5,8.7,Fabaceae,Recordoxylon speciosum,ALT064
24_0459,24,1.1,315.9,99,Goupiaceae,Goupia glabra,ALT065
19_1411,19,2.8,341.9,107.4,Myrtaceae,Eugenia coffeifolia,ALT066
19_2670,19,3.3,364.7,156.3,Violaceae,Paypayrola hulkiana,ALT067
19_1754,19,2.4,344.89,183.8,Myrtaceae,Eugenia coffeifolia,ALT068
19_3947,19,5.1,393.5,188.1,Annonaceae,Anaxagorea dolichocarpa,ALT069
20_1290,20,3.2,418.3,126.2,Lecythidaceae,Eschweilera coriacea,ALT070
20_3488,20,3.8,458.7,120.6,Fabaceae,Bocoa prouacensis,ALT071
