Species,Year,Species_ID,Species,Family,Maxium Canopy Height (m),Growth Environment,BNL_UID,LMA,Training (1)/Validation(0),Age_adj_final,Mature/Immature,Vcmax25-sq,Vcmax25
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11879,,1,O,Mature,5.858849252,34.32611456
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11884,,1,O,Mature,4.159732384,17.30337351
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11888,,1,Y,Immature,6.457699763,41.70188623
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11896,,0,M,Mature,6.195363665,38.38253094
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL12137,,1,M,Mature,6.804253126,46.29786061
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL12142,,0,M,Mature,5.381492634,28.96046297
1,2017,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL12145,,1,Y,Immature,5.371600785,28.854095
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11835,,1,Y,Immature,5.243665141,27.49602411
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11841,,1,M,Mature,8.380395051,70.23102121
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11844,,0,O,Mature,7.409617439,54.90243059
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11853,,0,Y,Immature,6.278233836,39.4162201
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11858,,1,M,Mature,8.443205526,71.28771955
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11860,,1,M,Mature,7.796829437,60.79054926
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11864,,1,OS,Mature,7.077045273,50.08456979
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11869,,0,O,Mature,7.14455757,51.04470287
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11871,,1,M,Mature,8.722039931,76.07398056
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11875,,1,Y,Immature,6.698063955,44.86406074
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11880,,1,M,Mature,8.446164416,71.33769334
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11883,,0,O,Mature,7.801780839,60.86778426
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11885,,1,Y,Immature,6.874570337,47.25971732
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11886,,1,M,Mature,8.570113442,73.44684441
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11889,,0,Y,Immature,6.276681039,39.39672486
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11892,,1,M,Mature,5.555449024,30.86301386
2,2017,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL11895,,1,M,Mature,7.231027409,52.28775739
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11837,,0,M,Mature,6.910767992,47.75871424
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11838,,1,M,Mature,7.18215747,51.58338593
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11842,,1,Y,Immature,4.268982001,18.22420733
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11843,,0,Y,Immature,4.654842442,21.66755816
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11851,,0,MO,Mature,6.648058269,44.19667875
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11852,,1,MO,Mature,8.124965474,66.01506396
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11856,,0,O,Mature,7.384627102,54.53271744
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11857,,1,O,Mature,7.640779881,58.38151719
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11861,,0,YM,Immature,6.721126069,45.17353564
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11862,,1,Y,Immature,5.789246379,33.51537364
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11866,,1,M,Mature,7.036491448,49.5122119
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11874,,0,Y,Immature,5.980814851,35.77014628
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL11878,,1,O,Mature,5.848936891,34.21006275
3,2017,TERMAM_SU,Terminalia Amazonia,Combretaceae,27, Sunlit,BNL12109,,1,Y,Immature,5.292149902,28.00685059
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11836,,1,YM,Immature,6.591855597,43.45256021
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11839,,1,Y,Immature,4.146352656,17.19224035
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11840,,0,Y,Immature,4.524182358,20.46822601
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11868,,1,M,Mature,7.785802868,60.6187263
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11876,,1,O,Mature,5.946901481,35.36563722
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11881,,1,Y,Immature,4.879393882,23.80848465
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11891,,1,Y,Immature,4.260187431,18.14919695
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11893,,1,Y,Immature,4.451125466,19.81251792
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL11897,,1,M,Mature,8.041111704,64.65947743
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL12061,,0,M,Mature,7.240428217,52.42380076
4,2017,VOCHFE_SU,Vochysia ferruginea,Vochysiaceae,29, Sunlit,BNL12136,,1,M,Mature,7.675869539,58.91897317
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL10593,,0,M,Mature,6.903580843,47.65942846
6,2016,TOCOPI_SU,Tocoyena pittieri,Rubiaceae,27, Sunlit,BNL10634,,1,M,Mature,7.000345331,49.00483475
