BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL10538,2016-02-14,PA-PNM,ALBIAD,48.35,6.75,3.34,14.48,16.88,483.5,67.5,33.4,-9999,-9999,-9999,ACi,sunlit,-9999,-9999,-9999
BNL10539,2016-02-14,PA-PNM,CECRPE,45.81,5.57,2.18,21.01,24.51,458.1,55.7,21.8,43.53,5.29,2.07,ACi,sunlit,95.02,105.25,63.78
BNL10540,2016-02-14,PA-PNM,ALBIAD,50.13,6.85,3.79,13.23,15.43,501.3,68.5,37.9,41.31,5.64,3.12,ACi,sunlit,82.40,121.36,51.47
BNL10541,2016-02-14,PA-PNM,ANACEX,47.62,5.74,1.4,34.01,39.67,476.2,57.4,14,46.57,5.61,1.37,ACi,sunlit,97.78,102.27,63.63
BNL10542,2016-02-14,PA-PNM,CORDAL,44.07,5.03,3.49,12.63,14.73,440.7,50.3,34.9,30.44,3.47,2.41,ACi,sunlit,69.08,144.77,60.33
BNL10544,2016-02-14,PA-PNM,ANTITR,49.85,6.09,2.17,22.97,26.79,498.5,60.9,21.7,23.14,2.83,1.01,ACi,sunlit,46.42,215.45,59.17
BNL10545,2016-02-14,PA-PNM,ALBIAD,50.2,6.39,3.67,13.68,15.95,502,63.9,36.7,35.85,4.56,2.62,ACi,sunlit,71.41,140.03,57.31
BNL10546,2016-02-17,PA-SLZ,GUATDU,50.46,6.09,2.34,21.56,25.15,504.6,60.9,23.4,39.34,4.75,1.82,Diurnal 1,sunlit,77.97,128.26,58.37
BNL10549,2016-02-14,PA-PNM,CORDAL,45.78,5.7,3.46,13.23,15.43,457.8,57,34.6,33.13,4.13,2.50,ACi,sunlit,72.38,138.16,58.14
BNL10550,2016-02-14,PA-PNM,FICUIN,40.15,5.12,2.41,16.66,19.43,401.5,51.2,24.1,54.00,6.89,3.24,ACi,sunlit,134.51,74.35,64.85
BNL10551,2016-02-14,PA-PNM,ANACEX,47.92,5.62,1.69,28.36,33.07,479.2,56.2,16.9,41.41,4.86,1.46,ACi,sunlit,86.42,115.72,64.28
BNL10552,2016-02-14,PA-PNM,ANTITR,50.16,5.75,1.93,25.99,30.31,501.6,57.5,19.3,27.08,3.10,1.04,ACi,sunlit,53.99,185.22,63.87
BNL10553,2016-02-14,PA-PNM,ALBIAD,50.53,6.8,4.35,11.62,13.55,505.3,68,43.5,33.69,4.53,2.90,ACi,sunlit,66.67,150.00,57.74
BNL10554,2016-02-14,PA-PNM,CAL2CA,50.41,6.63,1.79,28.16,32.84,504.1,66.3,17.9,46.92,6.17,1.67,ACi,sunlit,93.08,107.44,61.88
BNL10555,2016-02-14,PA-PNM,ANACEX,48.16,5.36,1.64,29.37,34.25,481.6,53.6,16.4,42.85,4.77,1.46,ACi,sunlit,88.97,112.40,67.04
BNL10556,2016-02-14,PA-PNM,CASTEL,45.95,5.3,2.23,20.61,24.03,459.5,53,22.3,43.18,4.98,2.10,ACi,sunlit,93.97,106.41,54.16
BNL10557,2016-02-14,PA-PNM,CORDAL,44.51,5.27,3.71,12.00,13.99,445.1,52.7,37.1,31.45,3.72,2.62,ACi,sunlit,70.66,141.53,59.69
BNL10558,2016-02-14,PA-PNM,FICUIN,40.47,5.57,2.36,17.15,20.00,404.7,55.7,23.6,49.46,6.81,2.88,ACi,sunlit,122.22,81.82,66.04
BNL10559,2016-02-14,PA-PNM,ANACEX,47.89,5.19,1.62,29.56,34.47,478.9,51.9,16.2,44.35,4.81,1.50,ACi,sunlit,92.61,107.98,66.81
BNL10560,2016-02-14,PA-PNM,LUEHSE,49.41,5.74,1.97,25.08,29.25,494.1,57.4,19.7,67.97,7.90,2.71,ACi,sunlit,137.56,72.70,53.74
BNL10561,2016-02-14,PA-PNM,CORDAL,43.64,5.33,3.33,13.11,15.28,436.4,53.3,33.3,28.85,3.52,2.20,ACi,sunlit,66.12,151.24,59.57
BNL10562,2016-02-14,PA-PNM,LUEHSE,48.99,5.5,1.86,26.34,30.72,489.9,55,18.6,74.60,8.37,2.83,ACi,sunlit,152.27,65.67,50.10
BNL10565,2016-02-17,PA-SLZ,APEIME,52.92,6.3,1.78,29.73,34.67,529.2,63,17.8,68.31,8.13,2.30,Diurnal 1,sunlit,129.08,77.47,56.13
BNL10567,2016-02-17,PA-SLZ,MICOBO,53.05,6.21,1.81,29.31,34.18,530.5,62.1,18.1,51.66,6.05,1.76,Diurnal 1,sunlit,97.38,102.69,49.62
BNL10593,2016-02-16,PA-SLZ,TOCOPI,51.32,6.56,2.05,25.03,29.19,513.2,65.6,20.5,45.35,5.80,1.81,ACi,sunlit,88.37,113.16,62.48
