BNL_barcode,Sample_date,Location,Species,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,Gasex_type,Canopy_position,LMA_g_m-2,SLA_cm2_g,H20_pc
BNL11445,2016-03-14,PA-PNM,ANACEX,46.27,5.32,1.59,29.10,33.94,462.7,53.2,15.9,45.11,5.19,1.55,ACi,sunlit,97.50,102.56,64.03
BNL11446,2016-03-14,PA-PNM,ANACEX,47.37,5.72,1.3,36.44,42.49,473.7,57.2,13,48.95,5.91,1.34,ACi,sunlit,103.33,96.78,53.05
BNL11447,2016-03-14,PA-PNM,ANTITR,50.29,5.94,1.4,35.92,41.89,502.9,59.4,14,51.42,6.07,1.43,ACi,sunlit,102.24,97.81,35.64
BNL11448,2016-03-14,PA-PNM,CASTEL,41.8,5.31,1.78,23.48,27.39,418,53.1,17.8,43.01,5.46,1.83,ACi,sunlit,102.89,97.19,55.60
BNL11449,2016-03-14,PA-PNM,FICUIN,42.11,5.59,2.43,17.33,20.21,421.1,55.9,24.3,52.58,6.98,3.03,ACi,sunlit,124.85,80.09,56.59
BNL11450,2016-03-14,PA-PNM,ANACEX,47.31,5.22,1.2,39.43,45.98,473.1,52.2,12,54.06,5.96,1.37,ACi,sunlit,114.26,87.52,58.95
BNL11451,2016-03-14,PA-PNM,CASTEL,43.91,5.52,2.12,20.71,24.15,439.1,55.2,21.2,44.41,5.58,2.14,ACi,sunlit,101.15,98.87,56.35
BNL11462,2016-03-14,PA-PNM,ANTITR,50.52,5.54,1.55,32.59,38.01,505.2,55.4,15.5,53.82,5.90,1.65,ACi,sunlit,106.54,93.86,43.77
BNL11463,2016-03-14,PA-PNM,ANTITR,50.86,6.12,1.58,32.19,37.54,508.6,61.2,15.8,53.59,6.45,1.66,ACi,sunlit,105.37,94.90,62.73
BNL11501,2016-03-15,PA-PNM,ALBIAD,46.07,6.07,4.15,11.10,12.95,460.7,60.7,41.5,31.41,4.14,2.83,ACi,sunlit,68.17,146.69,57.92
BNL11502,2016-03-15,PA-PNM,LUEHSE,48.15,5.58,1.95,24.69,28.80,481.5,55.8,19.5,65.50,7.59,2.65,ACi,sunlit,136.03,73.51,46.56
BNL11503,2016-03-15,PA-PNM,FICUIN,42,5.71,2.03,20.69,24.13,420,57.1,20.3,48.81,6.64,2.36,ACi,sunlit,116.21,86.05,65.83
BNL11504,2016-03-15,PA-PNM,FICUIN,44.22,6.03,2.21,20.01,23.33,442.2,60.3,22.1,46.75,6.37,2.34,ACi,sunlit,105.71,94.60,67.03
BNL11505,2016-03-15,PA-PNM,FICUIN,42.38,6.01,2.06,20.57,23.99,423.8,60.1,20.6,45.58,6.46,2.22,ACi,sunlit,107.56,92.97,68.10
BNL11506,2016-03-15,PA-PNM,CAL2CA,48.98,5.95,1.06,46.21,53.89,489.8,59.5,10.6,39.69,4.82,0.86,ACi,sunlit,81.03,123.41,64.13
BNL11507,2016-03-15,PA-PNM,FICUIN,42.81,5.6,2.19,19.55,22.80,428.1,56,21.9,49.29,6.45,2.52,ACi,sunlit,115.14,86.85,62.38
BNL11508,2016-03-15,PA-PNM,CAL2CA,42.43,5.33,2.25,18.86,21.99,424.3,53.3,22.5,34.71,4.36,1.84,ACi,sunlit,81.81,122.23,51.33
BNL11521,2016-04-22,PA-SLZ,TOCOPI,51.44,6.5,1.83,28.11,32.78,514.4,65,18.3,37.71,4.77,1.34,ACi,sunlit,73.31,136.41,62.28
BNL11538,2016-04-22,PA-SLZ,TOCOPI,50.66,6.51,1.75,28.95,33.76,506.6,65.1,17.5,34.73,4.46,1.20,ACi,sunlit,68.55,145.88,63.73
BNL11539,2016-04-22,PA-SLZ,TACHVE,53.21,6.58,2.37,22.45,26.18,532.1,65.8,23.7,56.17,6.95,2.50,ACi,sunlit,105.56,94.73,48.14
BNL11540,2016-04-22,PA-SLZ,TOCOPI,51.03,6.53,1.65,30.93,36.07,510.3,65.3,16.5,42.27,5.41,1.37,ACi,sunlit,82.83,120.73,63.10
BNL11541,2016-04-22,PA-SLZ,CECRIN,48.14,5.28,2.13,22.60,26.36,481.4,52.8,21.3,52.20,5.73,2.31,ACi,sunlit,108.43,92.22,63.41
BNL11542,2016-04-22,PA-SLZ,CECRIN,47.91,6,2.27,21.11,24.61,479.1,60,22.7,49.46,6.19,2.34,ACi,sunlit,103.23,96.87,58.58
BNL11543,2016-04-22,PA-SLZ,TOCOPI,51.57,6.69,1.83,28.18,32.86,515.7,66.9,18.3,47.23,6.13,1.68,ACi,sunlit,91.58,109.20,59.46
BNL11543,2016-04-22,PA-SLZ,TOCOPI,50.75,5.86,2.02,25.12,29.30,507.5,58.6,20.2,46.47,5.37,1.85,ACi,sunlit,91.58,109.20,59.46
BNL11593,2016-04-25,PA-PNM,ALBIAD,47.29,7.14,4.93,9.59,11.19,472.9,71.4,49.3,19.72,2.98,2.06,ACi,sunlit,41.70,239.79,71.89
BNL11594,2016-04-25,PA-PNM,ANACEX,47.36,5.72,1.55,30.55,35.63,473.6,57.2,15.5,29.15,3.52,0.95,ACi,understory,61.55,162.46,63.28
BNL11595,2016-04-25,PA-PNM,CASTEL,43.05,6.03,2.84,15.16,17.68,430.5,60.3,28.4,13.35,1.87,0.88,ACi,understory,31.01,322.43,69.86
BNL11596,2016-04-26,PA-PNM,CAL2CA,45.67,5.36,2.16,21.14,24.66,456.7,53.6,21.6,14.47,1.70,0.68,ACi,understory,31.69,315.57,78.85
BNL11599,2016-04-26,PA-PNM,CAL1,47.04,5.76,4.5,10.45,12.19,470.4,57.6,45,13.52,1.66,1.29,ACi,understory,28.74,347.94,73.06
BNL11600,2016-04-26,PA-PNM,AST2GR,48.2,5.44,3.35,14.39,16.78,482,54.4,33.5,16.34,1.84,1.14,ACi,understory,33.90,294.99,59.41
BNL11601,2016-04-21,PA-SLZ,MICOBO,48.72,5.61,1.8,27.07,31.56,487.2,56.1,18,62.27,7.17,2.30,ACi,sunlit,127.81,78.24,51.24
BNL11602,2016-04-21,PA-SLZ,GUATDU,47.9,5.8,2.23,21.48,25.05,479,58,22.3,36.47,4.42,1.70,ACi,sunlit,76.14,131.34,64.12
BNL11603,2016-04-21,PA-SLZ,VOCHFE,43.26,5.85,1.34,32.28,37.65,432.6,58.5,13.4,53.19,7.19,1.65,ACi,sunlit,122.94,81.34,55.73
BNL11604,2016-04-21,PA-SLZ,VOCHFE,41.08,5.96,1.4,29.34,34.22,410.8,59.6,14,46.66,6.77,1.59,ACi,sunlit,113.58,88.04,70.16
BNL11635,2016-04-22,PA-SLZ,VIROSP,53.23,6.54,1.25,42.58,49.66,532.3,65.4,12.5,90.86,11.16,2.13,ACi,sunlit,170.69,58.59,51.57
BNL11636,2016-04-22,PA-SLZ,TERMAM,49.44,4.79,2.07,23.88,27.85,494.4,47.9,20.7,50.48,4.89,2.11,ACi,sunlit,102.10,97.95,52.61
BNL11637,2016-04-22,PA-SLZ,CECRIN,48.49,5.63,2.17,22.35,26.06,484.9,56.3,21.7,55.31,6.42,2.48,ACi,sunlit,114.07,87.67,59.38
BNL11638,2016-04-22,PA-SLZ,TACHVE,53.36,6.38,2.64,20.21,23.57,533.6,63.8,26.4,57.77,6.91,2.86,ACi,sunlit,108.27,92.36,44.44
BNL11639,2016-04-22,PA-SLZ,TACHVE,52.94,6.31,2.31,22.92,26.73,529.4,63.1,23.1,54.80,6.53,2.39,ACi,sunlit,103.50,96.61,40.25
BNL11640,2016-04-22,PA-SLZ,TERMAM,50.19,5.47,2.16,23.24,27.10,501.9,54.7,21.6,50.86,5.54,2.19,ACi,sunlit,101.34,98.68,46.82
BNL11641,2016-04-22,PA-SLZ,GUATDU,49.72,5.85,2.08,23.90,27.88,497.2,58.5,20.8,35.27,4.15,1.48,ACi,sunlit,70.94,140.97,60.15
BNL11642,2016-04-22,PA-SLZ,TACHVE,51.72,5.87,2.25,22.99,26.81,517.2,58.7,22.5,52.97,6.01,2.30,ACi,sunlit,102.42,97.64,50.98
BNL11643,2016-04-22,PA-SLZ,TERMAM,49.83,5.49,1.43,34.85,40.64,498.3,54.9,14.3,53.86,5.93,1.55,ACi,sunlit,108.10,92.51,52.18
BNL11644,2016-04-22,PA-SLZ,VOCHFE,48.74,5.8,1.46,33.38,38.93,487.4,58,14.6,63.17,7.52,1.89,ACi,sunlit,129.60,77.16,55.82
BNL11645,2016-04-22,PA-SLZ,GUATDU,46.02,5.73,1.64,28.06,32.72,460.2,57.3,16.4,48.43,6.03,1.73,ACi,sunlit,105.24,95.02,46.71
BNL11646,2016-04-25,PA-PNM,ALBIAD,49.3,6.79,5.56,8.87,10.34,493,67.9,55.6,18.17,2.50,2.05,ACi,sunlit,36.86,271.29,65.87
BNL11647,2016-04-22,PA-SLZ,TERMAM,50.52,6.4,1.6,31.58,36.82,505.2,64,16,56.69,7.18,1.80,ACi,sunlit,112.22,89.11,53.93
BNL11649,2016-04-22,PA-SLZ,MICOBO,53.57,5.96,1.81,29.60,34.52,535.7,59.6,18.1,57.07,6.35,1.93,ACi,sunlit,106.54,93.86,52.00
BNL11650,2016-04-25,PA-PNM,FICUIN,37.64,5.34,2.18,17.27,20.14,376.4,53.4,21.8,49.15,6.97,2.85,ACi,sunlit,130.59,76.58,63.80
BNL11651,2016-04-25,PA-PNM,ALBIAD,49.26,6.64,5.61,8.78,10.24,492.6,66.4,56.1,16.65,2.24,1.90,ACi,sunlit,33.81,295.78,71.76
BNL11653,2016-04-25,PA-PNM,ALBIAD,48.9,6.89,4.42,11.06,12.90,489,68.9,44.2,24.95,3.52,2.25,ACi,sunlit,51.02,196.02,57.27
BNL11655,2016-04-22,PA-SLZ,TERMAM,49.92,5.68,2.05,24.35,28.40,499.2,56.8,20.5,43.45,4.94,1.78,ACi,sunlit,87.05,114.88,52.14
BNL11656,2016-04-25,PA-PNM,FICUIN,39.47,5.22,2.15,18.36,21.41,394.7,52.2,21.5,47.37,6.26,2.58,ACi,sunlit,120.00,83.33,64.78
BNL11657,2016-04-25,PA-PNM,CASTEL,44.59,6.25,3.01,14.81,17.28,445.9,62.5,30.1,31.54,4.42,2.13,ACi,understory,70.74,141.37,54.53
BNL11705,2016-04-21,PA-SLZ,GUATDU,51.59,6.34,2.53,20.39,23.78,515.9,63.4,25.3,42.71,5.25,2.09,Diurnal 1,sunlit,82.78,120.80,51.86
BNL11708,2016-04-21,PA-SLZ,TERMAM,51.57,5.31,1.77,29.14,33.98,515.7,53.1,17.7,70.43,7.25,2.42,Diurnal 1,sunlit,136.58,73.22,53.15
BNL11709,2016-04-21,PA-SLZ,CARAGU,52.2,5.51,1.37,38.10,44.43,522,55.1,13.7,78.56,8.29,2.06,Diurnal 1,sunlit,150.50,66.45,47.46
BNL11711,2016-04-21,PA-SLZ,MICOBO,54.05,6.19,1.81,29.86,34.82,540.5,61.9,18.1,58.95,6.75,1.97,Diurnal 1,sunlit,109.07,91.69,49.55
BNL11713,2016-04-21,PA-SLZ,VIROSP,53.33,5.95,1.69,31.56,36.80,533.3,59.5,16.9,77.42,8.64,2.45,Diurnal 1,sunlit,145.18,68.88,52.34
BNL11716,2016-04-21,PA-SLZ,VOCHFE,49.32,6.08,1.4,35.23,41.08,493.2,60.8,14,60.80,7.50,1.73,Diurnal 1,sunlit,123.28,81.11,58.59
BNL11717,2016-04-21,PA-SLZ,TACHVE,53.65,6.54,2.57,20.88,24.34,536.5,65.4,25.7,51.87,6.32,2.48,Diurnal 1,sunlit,96.69,103.43,44.72
BNL11757,2016-04-21,PA-SLZ,MICOBO,53.84,6.3,1.99,27.06,31.55,538.4,63,19.9,55.37,6.48,2.05,ACi,sunlit,102.84,97.24,48.47
BNL11758,2016-04-21,PA-SLZ,GUATDU,49.18,5.81,1.94,25.35,29.56,491.8,58.1,19.4,43.39,5.13,1.71,ACi,sunlit,88.22,113.35,53.78
BNL11759,2016-04-21,PA-SLZ,VOCHFE,47.05,5.76,1.37,34.34,40.05,470.5,57.6,13.7,52.64,6.44,1.53,ACi,sunlit,111.88,89.38,59.27
BNL11760,2016-04-21,PA-SLZ,VOCHFE,47.38,6.13,1.18,40.15,46.83,473.8,61.3,11.8,58.42,7.56,1.46,ACi,sunlit,123.31,81.10,64.86
BNL11813,2016-04-21,PA-SLZ,MICOBO,53.74,5.73,1.94,27.70,32.30,537.4,57.3,19.4,63.52,6.77,2.29,ACi,sunlit,118.19,84.61,51.28
BNL11815,2016-04-21,PA-SLZ,MICOBO,53.48,5.5,1.64,32.61,38.03,534.8,55,16.4,54.02,5.56,1.66,ACi,sunlit,101.01,99.00,52.40
BNL11816,2016-04-25,PA-PNM,ANACEX,48.22,5.57,1.61,29.95,34.93,482.2,55.7,16.1,28.71,3.32,0.96,ACi,understory,59.55,167.94,64.69
BNL11817,2016-04-26,PA-PNM,POSOLA,47.73,6.33,1.77,26.97,31.45,477.3,63.3,17.7,27.55,3.65,1.02,ACi,understory,57.71,173.27,70.62
BNL11818,2016-04-26,PA-PNM,POSOLA,46.59,6.19,1.78,26.17,30.52,465.9,61.9,17.8,25.78,3.42,0.98,ACi,understory,55.32,180.75,71.59
BNL11819,2016-04-26,PA-PNM,POSOLA,47.44,6.19,1.79,26.50,30.91,474.4,61.9,17.9,29.04,3.79,1.10,ACi,understory,61.21,163.38,69.49
BNL11820,2016-04-26,PA-PNM,CAPI,44.93,6.15,5.66,7.94,9.26,449.3,61.5,56.6,24.47,3.35,3.08,ACi,understory,54.46,183.61,72.29
BNL11821,2016-04-26,PA-PNM,CAL2CA,45.42,5.61,2.46,18.46,21.53,454.2,56.1,24.6,13.39,1.65,0.73,ACi,understory,29.48,339.24,75.41
BNL11822,2016-04-26,PA-PNM,CAL1,47.5,6.55,5.29,8.98,10.47,475,65.5,52.9,10.45,1.44,1.16,ACi,understory,22.01,454.40,82.44
BNL11823,2016-04-26,PA-PNM,CAPI,40.72,5.62,4.49,9.07,10.58,407.2,56.2,44.9,27.06,3.73,2.98,ACi,understory,66.44,150.50,69.07
BNL11824,2016-04-26,PA-PNM,ANACEX,47.29,5.73,2.02,23.41,27.30,472.9,57.3,20.2,21.37,2.59,0.91,ACi,understory,45.18,221.34,66.88
BNL11825,2016-04-26,PA-PNM,LUEHSE,46.2,5.57,2.53,18.26,21.30,462,55.7,25.3,19.12,2.31,1.05,ACi,understory,41.39,241.60,50.75
BNL11826,2016-04-26,PA-PNM,PPRE,43.06,5.37,2.57,16.75,19.54,430.6,53.7,25.7,17.70,2.21,1.06,ACi,understory,41.10,243.31,72.46
BNL11827,2016-04-26,PA-PNM,PIT1RU,49.67,6.24,3.28,15.14,17.66,496.7,62.4,32.8,21.50,2.70,1.42,ACi,understory,43.28,231.06,54.30
BNL11828,2016-04-26,PA-PNM,LUEHSE,45.69,5.61,2.27,20.13,23.47,456.9,56.1,22.7,18.84,2.31,0.94,ACi,understory,41.25,242.45,56.90
BNL11829,2016-04-26,PA-PNM,PPRE,42.31,5.64,2.9,14.59,17.01,423.1,56.4,29,14.40,1.92,0.99,ACi,understory,34.03,293.85,73.01
BNL11830,2016-04-26,PA-PNM,ANACEX,45.88,5.31,1.93,23.77,27.72,458.8,53.1,19.3,20.24,2.34,0.85,ACi,understory,44.11,226.70,69.32
BNL11831,2016-04-26,PA-PNM,PIT1RU,50.07,6.04,3.28,15.27,17.80,500.7,60.4,32.8,20.69,2.50,1.36,ACi,understory,41.32,242.00,56.00
BNL11832,2016-04-26,PA-PNM,CUPACI,40.51,5.17,1.88,21.55,25.13,405.1,51.7,18.8,30.62,3.91,1.42,ACi,understory,75.59,132.29,41.50
BNL11833,2016-04-26,PA-PNM,ANACEX,46.48,5.86,1.84,25.26,29.46,464.8,58.6,18.4,21.07,2.66,0.83,ACi,understory,45.33,220.62,67.72
BNL11834,2016-04-26,PA-PNM,PPRE,43.49,6.02,2.64,16.47,19.21,434.9,60.2,26.4,15.25,2.11,0.93,ACi,understory,35.08,285.10,73.94
BNL11845,2016-04-26,PA-PNM,CAPI,44.11,6.44,5.52,7.99,9.32,441.1,64.4,55.2,26.79,3.91,3.35,ACi,understory,60.72,164.68,67.98
BNL11848,2016-04-26,PA-PNM,ALBIAD,47.96,6.34,4.85,9.89,11.53,479.6,63.4,48.5,14.73,1.95,1.49,ACi,understory,30.71,325.67,59.68
BNL11849,2016-04-26,PA-PNM,POSOLA,49.42,6.58,1.84,26.86,31.32,494.2,65.8,18.4,36.86,4.91,1.37,ACi,understory,74.59,134.06,67.81
BNL11850,2016-04-26,PA-PNM,CAL1,46.27,6,4.45,10.40,12.13,462.7,60,44.5,12.46,1.62,1.20,ACi,understory,26.93,371.29,72.66
BNL11914,2016-04-25,PA-PNM,LUEHSE,49.75,6.16,1.35,36.85,42.98,497.5,61.6,13.5,92.16,11.41,2.50,Diurnal 1,sunlit,185.24,53.98,50.54
BNL11915,2016-04-25,PA-PNM,ANACEX,48.21,5.64,1.39,34.68,40.45,482.1,56.4,13.9,49.00,5.73,1.41,Diurnal 1,sunlit,101.63,98.39,63.43
BNL11917,2016-04-25,PA-PNM,CAL2CA,50.61,6.05,1.54,32.86,38.33,506.1,60.5,15.4,39.57,4.73,1.20,Diurnal 1,sunlit,78.18,127.90,60.12
BNL11919,2016-04-25,PA-PNM,CORDAL,43.27,5.45,2.72,15.91,18.55,432.7,54.5,27.2,40.20,5.06,2.53,Diurnal 1,sunlit,92.89,107.65,51.93
BNL11921,2016-04-25,PA-PNM,FICUIN,41.02,5.37,2.25,18.23,21.26,410.2,53.7,22.5,51.10,6.69,2.80,Diurnal 1,sunlit,124.56,80.28,64.68
BNL11923,2016-04-25,PA-PNM,ALBIAD,50.69,6.84,5.01,10.12,11.80,506.9,68.4,50.1,23.03,3.11,2.28,Diurnal 1,sunlit,45.43,220.12,67.75
BNL11926,2016-04-25,PA-PNM,ANTITR,49.51,5.93,1.58,31.34,36.54,495.1,59.3,15.8,38.15,4.57,1.22,Diurnal 1,sunlit,77.05,129.79,57.82
BNL11976,2016-04-26,PA-PNM,LUEHSE,50.45,6.12,1.97,25.61,29.86,504.5,61.2,19.7,60.15,7.30,2.35,Diurnal 1,sunlit,119.22,83.88,47.56
BNL11978,2016-04-26,PA-PNM,ANACEX,48.3,5.71,1.18,40.93,47.73,483,57.1,11.8,41.85,4.95,1.02,Diurnal 1,sunlit,86.64,115.41,69.32
BNL11980,2016-04-26,PA-PNM,CORDAL,42.43,5.14,2.91,14.58,17.00,424.3,51.4,29.1,38.31,4.64,2.63,Diurnal 1,sunlit,90.29,110.76,56.98
BNL11983,2016-04-26,PA-PNM,CAL2CA,48.07,5.83,1.14,42.17,49.17,480.7,58.3,11.4,39.50,4.79,0.94,Diurnal 1,sunlit,82.17,121.69,57.66
BNL11985,2016-04-26,PA-PNM,FICUIN,42,5.94,2.49,16.87,19.67,420,59.4,24.9,50.76,7.18,3.01,Diurnal 1,sunlit,120.86,82.74,65.84
BNL11988,2016-04-26,PA-PNM,ANTITR,51.97,6.5,2.11,24.63,28.72,519.7,65,21.1,41.48,5.19,1.68,Diurnal 1,sunlit,79.81,125.30,59.26
STRI_0056,2016-05-17,PA-PNM,PSE1SE,47.96,5.63,1.37,35.01,40.82,479.6,56.3,13.7,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0058,2016-05-17,PA-PNM,CASTEL,44.75,5.15,2.91,15.38,17.93,447.5,51.5,29.1,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0059,2016-05-17,PA-PNM,LUEHSE,50.3,5.8,1.76,28.58,33.33,503,58,17.6,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0062,2016-05-17,PA-PNM,ANACEX,48.36,5.24,1.34,36.09,42.09,483.6,52.4,13.4,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0064,2016-05-17,PA-PNM,CORDAL,41.83,4.7,2.69,15.55,18.13,418.3,47,26.9,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0065,2016-05-17,PA-PNM,CAL2CA,47.31,5.51,2.65,17.85,20.82,473.1,55.1,26.5,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0068,2016-05-17,PA-PNM,FICUIN,40.46,5.18,2.16,18.73,21.84,404.6,51.8,21.6,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0069,2016-05-17,PA-PNM,ALBIAD,50.08,6.46,3.14,15.95,18.60,500.8,64.6,31.4,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0071,2016-05-17,PA-PNM,ANTITR,47.69,5.61,2.65,18.00,20.99,476.9,56.1,26.5,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0165,2016-05-24,PA-SLZ,TERMAM,50.36,5.03,1.74,28.94,33.75,503.6,50.3,17.4,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0167,2016-05-24,PA-SLZ,TOCOPI,51.17,6.25,1.6,31.98,37.30,511.7,62.5,16,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0170,2016-05-24,PA-SLZ,CARAGU,50.83,5.22,1.17,43.44,50.66,508.3,52.2,11.7,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0171,2016-05-24,PA-SLZ,TACHVE,52.52,6.12,2.2,23.87,27.84,525.2,61.2,22,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0174,2016-05-24,PA-SLZ,VOCHFE,49.53,5.47,1.24,39.94,46.58,495.3,54.7,12.4,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0176,2016-05-24,PA-SLZ,VIROSP,52.6,5.89,1.32,39.85,46.47,526,58.9,13.2,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0178,2016-05-24,PA-SLZ,MICOBO,52.38,5.25,1.71,30.63,35.72,523.8,52.5,17.1,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0180,2016-05-24,PA-SLZ,APEIME,48.68,5.81,2.2,22.13,25.80,486.8,58.1,22,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
STRI_0182,2016-05-24,PA-SLZ,GUATDU,50.81,5.76,1.96,25.92,30.23,508.1,57.6,19.6,-9999,-9999,-9999,Diurnal 3,sunlit,-9999,-9999,-9999
