Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,11:32:45,caferana,shade,old,1,182.5,0,4.05,0.0564,263,1.39,2.4,31.45,6,1.42,1,2.84,30.2,31.45,29.94,399.53,392.64,20.423,22.46,46.91,51.59,400.1,1500,41,99.01,7.04,-0.243,0.2,-0.22,2.74,1,0,0.16,111115,OK
2,11:38:06,caferana,shade,old,1,520,0,0.0965,0.0546,92.7,1.37,2.44,31.51,6,1.42,1,2.84,30.21,31.51,29.94,99.86,99.51,20.272,22.276,46.54,51.14,400.1,1499,25,99,5.43,-0.243,0.8,-0.22,2.74,1,0,0.16,111115,OK
3,11:40:35,caferana,shade,old,1,668.5,0,-0.372,0.0553,58.5,1.38,2.44,31.51,6,1.42,1,2.84,30.22,31.51,29.95,49.31,49.76,20.248,22.278,46.47,51.13,400.1,1500,24,99,4.84,-0.245,0.8,-0.22,2.74,1,0,0.16,111115,OK
4,11:43:04,caferana,shade,old,1,817.5,0,0.242,0.0565,88,1.41,2.44,31.52,6,1.42,1,2.84,30.22,31.52,29.94,99.41,98.83,20.224,22.298,46.41,51.17,400,1500,27,99,5.47,-0.244,0.8,-0.22,2.74,1,0,0.16,111115,OK
5,11:45:33,caferana,shade,old,1,966.5,0,0.872,0.0581,119,1.45,2.43,31.49,6,1.42,1,2.84,30.22,31.49,29.94,150.66,149.03,20.185,22.309,46.32,51.19,400,1499,24,99,5.86,-0.242,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,11:48:02,caferana,shade,old,1,1116,0,2.08,0.0594,181,1.48,2.44,31.51,6,1.42,1,2.84,30.22,31.51,29.94,250.79,247.13,20.096,22.271,46.12,51.11,400.1,1499,30,99,6.51,-0.238,0.8,-0.22,2.74,1,0,0.16,111115,OK
7,11:50:31,caferana,shade,old,1,1264.5,0,3.33,0.0603,243,1.51,2.44,31.48,6,1.42,1,2.84,30.21,31.48,29.94,350.82,345.05,19.994,22.204,45.9,50.97,400,1501,21,99,6.92,-0.238,0.8,-0.22,2.74,1,0,0.16,111115,OK
8,11:53:00,caferana,shade,old,1,1413.5,0,5.76,0.0611,369,1.52,2.43,31.43,6,1.42,1,2.84,30.19,31.43,29.94,550.62,540.75,19.896,22.126,45.72,50.85,400.1,1499,26,99,7.22,-0.228,1,-0.22,2.74,1,0,0.16,111115,OK
9,11:55:29,caferana,shade,old,1,1562.5,0,8.19,0.0633,501,1.5,2.32,30.98,6,1.42,1,2.84,30.2,30.98,29.94,750.29,736.35,19.834,22.039,45.57,50.64,400.1,1499,31,98.99,6.63,-0.23,0.8,-0.22,2.74,1,0,0.16,111115,OK
10,11:57:58,caferana,shade,old,1,1711.5,0,10.3,0.0596,668,1.5,2.45,31.48,6,1.42,1,2.84,30.22,31.48,29.94,1000.95,983.3,19.859,22.057,45.57,50.62,400.1,1500,30,98.99,5.27,-0.227,0.8,-0.22,2.74,1,0,0.16,111115,OK
11,12:00:27,caferana,shade,old,1,1861,0,11.2,0.0577,870,1.47,2.48,31.59,6,1.42,1,2.84,30.25,31.59,29.94,1249.85,1230.29,19.906,22.061,45.58,50.51,400.1,1499,29,98.98,3.19,-0.226,0.8,-0.22,2.74,1,0,0.16,111115,OK
12,12:03:02,caferana,shade,old,1,2015.5,0,11.7,0.0557,1.08E+03,1.43,2.49,31.62,6,1.42,1,2.84,30.27,31.62,29.94,1499.51,1478.86,19.943,22.034,45.63,50.41,400.1,1500,31,98.98,0.479,-0.224,0.8,-0.22,2.74,1,0,0.16,111115,OK
13,12:05:31,caferana,shade,old,1,2164.5,0,11.7,0.054,1.31E+03,1.39,2.5,31.61,6,1.42,1,2.84,30.27,31.61,29.94,1750.78,1729.61,19.914,21.948,45.56,50.22,400.1,1501,32,98.98,-3.04,-0.221,0.8,-0.22,2.74,1,0,0.16,111115,OK
14,12:08:00,caferana,shade,old,1,2314,0,11.4,0.0519,1.55E+03,1.34,2.51,31.61,6,1.42,1,2.84,30.25,31.61,29.94,2000.74,1979.65,19.927,21.886,45.62,50.11,400.1,1501,28,98.97,-6.98,-0.217,0.5,-0.22,2.74,1,0,0.16,111115,OK
15,12:10:29,caferana,shade,old,1,2462.5,0,11.5,0.0498,1.77E+03,1.3,2.53,31.68,6,1.42,1,2.84,30.27,31.68,29.94,2248.8,2227.23,19.916,21.818,45.55,49.9,400,1500,29,98.97,-12.3,-0.214,0.8,-0.22,2.74,1,0,0.16,111115,OK
