Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
47,11:49:08,500,sun,young,4,7590.5,0,-1.08,0.0805,118,1.81,2.22,30.57,6,1.42,1,2.84,29.63,30.57,29.55,98.71,100.06,19.417,22.077,46.09,52.41,400.1,1999,3,99,5.81,0.201,0.8,-0.22,2.74,1,0,0.16,111115,OK
48,11:50:49,500,sun,young,4,7691.5,0,-1.51,0.0785,82.3,1.77,2.22,30.57,6,1.42,1,2.84,29.62,30.57,29.55,51.03,53.16,19.413,22.014,46.12,52.3,400,2000,2,99,5.86,0.202,1,-0.22,2.74,1,0,0.16,111115,OK
49,11:52:36,500,sun,young,4,7798.5,0,-0.749,0.0757,113,1.72,2.23,30.57,6,1.42,1,2.84,29.61,30.57,29.55,100.12,100.98,19.421,21.944,46.14,52.14,399.8,2000,3,98.99,5.81,0.201,1,-0.22,2.74,1,0,0.16,111115,OK
50,11:54:26,500,sun,young,4,7908,0,-0.0925,0.0724,147,1.66,2.25,30.61,6,1.42,1,2.84,29.62,30.61,29.55,150.65,150.42,19.425,21.858,46.13,51.91,400,1999,2,98.99,5.69,0.203,1,-0.22,2.74,1,0,0.16,111115,OK
51,11:56:52,500,sun,young,4,8054.5,0,0.818,0.068,221,1.57,2.26,30.59,6,1.42,1,2.84,29.62,30.59,29.55,251.25,249.43,19.43,21.729,46.14,51.6,399.9,2000,3,98.98,5.21,0.16,0.5,-0.22,2.74,1,0,0.16,111115,OK
52,11:58:35,500,sun,young,4,8157.5,0,1.55,0.0643,295,1.49,2.27,30.61,6,1.42,1,2.84,29.62,30.61,29.55,350.03,346.93,19.456,21.646,46.2,51.4,399.9,1999,2,98.98,4.54,0.158,0.5,-0.22,2.74,1,0,0.16,111115,OK
53,12:00:34,500,sun,young,4,8276.5,0,2.7,0.0611,455,1.42,2.27,30.6,6,1.42,1,2.84,29.61,30.6,29.55,550.95,545.73,19.484,21.572,46.28,51.24,400,1999,3,98.98,2.6,0.158,0.8,-0.22,2.74,1,0,0.16,111115,OK
54,12:02:32,500,sun,young,4,8394.5,0,3.55,0.0576,617,1.35,2.28,30.6,6,1.42,1,2.84,29.61,30.6,29.55,750.28,743.45,19.507,21.485,46.34,51.04,399.9,2000,3,98.98,0.182,0.164,0.8,-0.22,2.74,1,0,0.16,111115,OK
55,12:04:17,500,sun,young,4,8499,0,4.02,0.055,791,1.29,2.29,30.59,6,1.42,1,2.84,29.6,30.59,29.55,950.62,942.77,19.514,21.408,46.4,50.9,400,2000,2,98.98,-2.51,0.168,0.5,-0.22,2.74,1,0,0.16,111115,OK
56,12:06:11,500,sun,young,4,8613.5,0,4.73,0.0519,953,1.23,2.3,30.61,6,1.42,1,2.84,29.61,30.61,29.55,1151.05,1141.86,19.532,21.331,46.41,50.68,400,2000,3,98.98,-5.6,0.177,0.8,-0.22,2.74,1,0,0.16,111115,OK
57,12:08:08,500,sun,young,4,8730,0,5.13,0.0491,1.12E+03,1.16,2.31,30.6,6,1.42,1,2.84,29.6,30.6,29.55,1349.05,1339.02,19.533,21.24,46.44,50.5,399.9,2000,2,98.97,-8.57,0.18,0.8,-0.22,2.74,1,0,0.16,111115,OK
58,12:10:10,500,sun,young,4,8852,0,5.9,0.0466,1.28E+03,1.11,2.32,30.61,6,1.42,1,2.84,29.61,30.61,29.55,1550.62,1539.21,19.544,21.174,46.44,50.31,400,1999,2,98.98,-12.3,0.182,0.8,-0.22,2.74,1,0,0.16,111115,OK
59,12:12:04,500,sun,young,4,8966,0,6.06,0.0449,1.46E+03,1.07,2.32,30.61,6,1.42,1,2.84,29.61,30.61,29.55,1749.7,1737.82,19.573,21.144,46.51,50.24,400,1999,2,98.98,-15.9,0.186,0.5,-0.22,2.74,1,0,0.16,111115,OK
60,12:14:02,500,sun,young,4,9084,0,6.68,0.0425,1.61E+03,1.02,2.34,30.66,6,1.42,1,2.84,29.62,30.66,29.55,1950.49,1937.49,19.593,21.095,46.53,50.1,399.9,2000,2,98.98,-19.5,0.186,0.8,-0.22,2.74,1,0,0.16,111115,OK
