Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
7,10:55:17,11,shade,mature,1,2747.0,0,0.102,0.00278,184,0.0678,2.34,31.41,6,1.42,1,2.84,30.14,31.41,30.13,251.27,251.10,22.787,22.886,52.78,53.01,400.0,1500,21,99.47,-0.733,0.186,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,10:57:53,11,shade,mature,1,2903.0,0,0.328,0.00375,199,0.0906,2.33,31.41,6,1.42,1,2.84,30.14,31.41,30.13,350.48,349.95,22.915,23.048,53.07,53.38,399.9,1500,4,99.47,-2.4,0.192,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:03:06,11,shade,mature,1,3216.5,0,1.83,0.00861,192,0.205,2.29,31.41,6,1.42,1,2.84,30.15,31.41,30.13,549.76,546.84,23.083,23.383,53.44,54.14,399.9,1501,7,99.47,-6.29,0.181,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:06:35,11,shade,mature,1,3426.0,0,4.55,0.0152,243,0.354,2.24,31.35,6,1.42,1,2.84,30.15,31.35,30.13,749.78,742.57,23.186,23.704,53.67,54.87,400.0,1499,8,99.47,-10.6,0.192,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:10:22,11,shade,mature,1,3651.5,0,8.76,0.0241,374,0.55,2.21,31.36,6,1.42,1,2.84,30.17,31.36,30.13,1000.23,986.27,23.261,24.066,53.76,55.62,399.9,1499,6,99.46,-16.4,0.195,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,11:13:39,11,shade,mature,1,3849.5,0,12.8,0.0318,550,0.71,2.17,31.30,6,1.42,1,2.84,30.18,31.30,30.13,1250.01,1229.56,23.331,24.370,53.90,56.30,399.9,1500,5,99.46,-22.4,0.197,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,11:17:47,11,shade,mature,1,4097.5,0,16.4,0.0389,754,0.845,2.11,31.19,6,1.42,1,2.84,30.15,31.19,30.13,1500.86,1474.41,23.381,24.618,54.11,56.97,399.9,1501,5,99.45,-29.4,0.192,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,11:23:09,11,shade,mature,1,4419.5,0,18.4,0.0454,1.02E+03,0.968,2.08,31.16,6,1.42,1,2.84,30.16,31.16,30.13,1751.10,1721.02,23.485,24.900,54.32,57.60,400.0,1499,8,99.45,-36.1,0.188,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,11:26:02,11,shade,mature,1,4592.0,0,19.2,0.048,1.26E+03,1.02,2.07,31.20,6,1.42,1,2.84,30.17,31.20,30.13,2001.04,1969.21,23.566,25.058,54.46,57.91,399.9,1499,6,99.45,-43.3,0.193,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,11:35:11,11,shade,mature,1,5141.0,0,19.9,0.0536,1.55E+03,1.12,2.05,31.26,6,1.42,1,2.84,30.21,31.26,30.13,2250.71,2217.18,23.805,25.449,54.90,58.69,399.9,1499,8,99.43,-50.6,0.215,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,11:37:36,11,shade,mature,1,5286.5,0,19.8,0.0535,1.55E+03,1.12,2.05,31.29,6,1.42,1,2.84,30.22,31.29,30.13,2250.84,2217.41,23.899,25.540,55.09,58.87,399.9,1499,8,99.43,-50.6,0.215,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
