Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,10:21:30,11,shade,old,1,501,0,-0.169,0.017,111,0.42,2.4,30.41,6,1.42,1,2.84,29.65,30.41,30.13,98.83,99.03,19.031,19.649,45.39,46.87,400.1,1501,6,99.61,0.326,0.134,0.3,-0.22,2.74,1,0,0.16,111115,OK
3,10:24:24,11,shade,old,1,675,0,-0.484,0.0171,94.8,0.425,2.41,30.49,6,1.42,1,2.84,29.69,30.49,30.13,51.6,52.29,19.206,19.831,45.72,47.21,399.9,1500,3,99.62,0.838,0.139,0.3,-0.22,2.74,1,0,0.16,111135,OK
4,10:29:56,11,shade,old,1,1007,0,0.0144,0.0177,95.8,0.436,2.39,30.55,6,1.42,1,2.84,29.72,30.55,30.13,101.05,100.96,19.495,20.135,46.33,47.85,399.9,1499,3,99.61,0.327,0.142,1,-0.22,2.74,1,0,0.16,111115,OK
5,10:33:45,11,shade,old,1,1236.5,0,0.223,0.0184,125,0.452,2.39,30.61,6,1.42,1,2.84,29.59,30.61,30.13,150.45,150.01,19.642,20.307,47.03,48.62,400,1501,4,99.61,-0.165,0.147,0.7,-0.22,2.74,1,0,0.16,111115,OK
6,10:36:27,11,shade,old,1,1399.5,0,0.853,0.0193,169,0.474,2.39,30.65,6,1.42,1,2.84,29.46,30.65,30.13,250.35,248.9,19.741,20.437,47.62,49.3,400,1500,5,99.6,-1.57,0.16,0.7,-0.22,2.74,1,0,0.16,111115,OK
7,10:41:43,11,shade,old,1,1714.5,0,1.79,0.0208,294,0.51,2.37,30.69,6,1.42,1,2.84,28.63,30.69,30.13,450.16,447.13,19.928,20.677,50.42,52.31,399.9,1499,5,99.6,-4.38,0.186,0.7,-0.22,2.74,1,0,0.16,111115,OK
8,10:45:01,11,shade,old,1,1913,0,2.49,0.0224,350,0.546,2.37,30.75,6,1.42,1,2.84,29.6,30.75,30.13,550.81,546.63,20.102,20.904,48.09,50.01,399.9,1499,6,99.6,-7.11,0.162,1,-0.22,2.74,1,0,0.16,111115,OK
9,10:47:40,11,shade,old,1,2072,0,3.86,0.0233,453,0.564,2.35,30.75,6,1.42,1,2.84,29.59,30.75,30.13,750.49,744.07,20.187,21.015,48.33,50.32,400,1499,3,99.6,-11.6,0.166,0.7,-0.22,2.74,1,0,0.16,111115,OK
10,10:51:09,11,shade,old,1,2280.5,0,4.85,0.0245,643,0.589,2.33,30.73,6,1.42,1,2.84,29.62,30.73,30.13,1001.44,993.28,20.293,21.158,48.48,50.55,399.9,1499,5,99.59,-17.5,0.161,1,-0.22,2.74,1,0,0.16,111115,OK
11,11:00:37,11,shade,old,1,2848.5,0,9.47,0.0267,1.64E+03,0.642,2.34,30.85,6,1.42,1,2.84,29.78,30.85,30.13,2300.28,2283.86,20.529,21.471,48.6,50.83,399.7,1500,13,99.57,-54.3,0.173,0.3,-0.22,2.74,1,0,0.16,111115,OK
12,11:03:59,11,shade,old,1,3050,0,9.5,0.0267,1.82E+03,0.641,2.33,30.88,6,1.42,1,2.84,29.79,30.88,30.13,2489.47,2472.85,20.625,21.565,48.79,51.02,400.2,1500,67,99.57,-60.1,0.169,0.3,-0.22,2.74,1,0,0.16,111115,OK
