Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,11:26:43,118,dappled,young/mature,2,1211,0,-0.279,0.0152,76.4,0.39,2.48,30.58,6,1.42,1,2.84,30.11,30.58,30.13,49.26,49.57,18.93,19.389,43.91,44.98,499.3,999,6,99.46,-0.454,0.0278,0.7,-0.22,2.74,1,0,0.16,111135,OK
4,11:32:42,118,dappled,young/mature,2,1570,0,0.146,0.0218,85.9,0.549,2.44,30.52,6,1.42,1,2.84,30.11,30.52,30.13,100.67,100.43,18.909,19.555,43.85,45.35,499.4,999,7,99.44,-1.02,0.0209,0.7,-0.22,2.74,1,0,0.16,111115,OK
5,11:36:35,118,dappled,young/mature,2,1804,0,0.793,0.0268,97.4,0.67,2.43,30.53,6,1.42,1,2.84,30.12,30.53,30.13,151.28,150.21,18.933,19.721,43.88,45.71,499.8,999,7,99.44,-1.73,0.0226,0.3,-0.22,2.74,1,0,0.16,111115,OK
6,11:39:38,118,dappled,young/mature,2,1986,0,2.21,0.0304,123,0.752,2.41,30.49,6,1.42,1,2.84,30.12,30.49,30.13,250.46,247.59,18.948,19.834,43.93,45.98,499.4,999,7,99.43,-3.38,0.0185,0.7,-0.22,2.74,1,0,0.16,111115,OK
7,11:42:58,118,dappled,young/mature,2,2187,0,3.92,0.0355,157,0.868,2.38,30.44,6,1.42,1,2.84,30.11,30.44,30.13,349.8,344.74,18.988,20.01,44.03,46.4,499.3,999,6,99.43,-5.26,0.0222,0.7,-0.22,2.74,1,0,0.16,111115,OK
8,11:46:09,118,dappled,young/mature,2,2377.5,0,7.11,0.0398,236,0.962,2.36,30.4,6,1.42,1,2.84,30.1,30.4,30.13,550.25,541.08,18.968,20.1,44,46.63,499.5,999,7,99.42,-9.71,0.0157,1,-0.22,2.74,1,0,0.16,111115,OK
9,11:49:16,118,dappled,young/mature,2,2564,0,10.4,0.0443,334,1.06,2.34,30.36,6,1.42,1,2.84,30.1,30.36,30.13,750.08,736.61,18.987,20.235,44.05,46.94,499.5,999,6,99.42,-14.5,0.0189,0.7,-0.22,2.74,1,0,0.16,111115,OK
10,11:56:53,118,dappled,young/mature,2,3022,0,16.6,0.0547,650,1.3,2.33,30.47,6,1.42,1,2.84,30.16,30.47,30.13,1201.52,1179.73,19.014,20.545,43.96,47.5,499.4,1000,6,99.41,-26.4,0.0216,0.7,-0.22,2.74,1,0,0.16,111115,OK
11,12:00:06,118,dappled,young/mature,2,3214.5,0,17.8,0.0569,920,1.34,2.32,30.42,6,1.42,1,2.84,30.15,30.42,30.13,1499.65,1475.88,19.031,20.61,44.03,47.69,499.3,1001,10,99.4,-34.7,0.0238,0.7,-0.22,2.74,1,0,0.16,111115,OK
12,12:03:37,118,dappled,young/mature,2,3426,0,18.9,0.0581,1.38E+03,1.36,2.31,30.39,6,1.42,1,2.84,30.14,30.39,30.13,1999.4,1973.43,19.034,20.639,44.06,47.78,499.5,1001,8,99.39,-49.8,0.0241,0.7,-0.22,2.74,1,0,0.16,111115,OK
13,12:08:16,118,dappled,young/mature,2,3704.5,0,19.9,0.0575,1.73E+03,1.34,2.29,30.33,6,1.42,1,2.84,30.11,30.33,30.13,2399.22,2371.48,19.029,20.61,44.11,47.78,499.5,1001,10,99.39,-62.7,0.03,1,-0.22,2.74,1,0,0.16,111115,OK
14,12:12:33,118,dappled,young/mature,2,3962.5,0,20,0.0543,1.70E+03,1.28,2.31,30.4,6,1.42,1,2.84,30.13,30.4,30.13,2399.02,2371.38,19.092,20.599,44.21,47.7,499.5,1001,6,99.39,-62.8,0.0315,0.7,-0.22,2.74,1,0,0.16,111115,OK
