Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,9:51:13,504,sun,old,1,1348.5,0,-0.236,0.0425,68,1.43,3.31,29.78,6,1.42,1,2.84,29.73,29.78,30.13,62.36,62.58,6.911,9.03,16.42,21.45,400.4,999,4,99.63,1.93,0.19,0.7,-0.22,2.74,1,0,0.16,111135,OK
3,9:53:39,504,sun,old,1,1495,0,0.244,0.0507,85.8,1.67,3.26,29.71,6,1.42,1,2.84,29.74,29.71,30.14,99.13,98.52,6.905,9.386,16.39,22.28,400.4,1001,4,99.63,1.65,0.187,1,-0.22,2.74,1,0,0.16,111115,OK
4,9:55:36,504,sun,old,1,1611.5,0,1.02,0.0523,111,1.72,3.25,29.73,6,1.42,1,2.84,29.75,29.73,30.13,151.22,149.3,6.91,9.46,16.4,22.45,400.5,1000,4,99.64,1.09,0.187,0.7,-0.22,2.74,1,0,0.16,111115,OK
5,9:57:46,504,sun,old,1,1741.5,0,2.16,0.0483,163,1.61,3.29,29.84,6,1.42,1,2.84,29.76,29.84,30.13,250.5,246.67,6.913,9.306,16.39,22.07,400.5,1001,5,99.64,-0.258,0.196,0.7,-0.22,2.74,1,0,0.16,111115,OK
6,10:00:11,504,sun,old,1,1887.5,0,2.82,0.0425,222,1.44,3.33,29.9,6,1.42,1,2.84,29.77,29.9,30.13,349.67,344.7,6.911,9.045,16.38,21.43,400.5,1001,5,99.64,-1.78,0.199,0.7,-0.22,2.74,1,0,0.16,111115,OK
7,10:03:18,504,sun,old,1,2074.5,0,3.77,0.0404,273,1.37,3.34,29.88,6,1.42,1,2.84,29.78,29.88,30.13,450.21,443.65,6.901,8.935,16.35,21.16,400.5,1000,4,99.64,-3.5,0.204,0.7,-0.22,2.74,1,0,0.16,111115,OK
8,10:05:49,504,sun,old,1,2224,0,4.68,0.0398,329,1.35,3.35,29.89,6,1.42,1,2.84,29.78,29.89,30.13,550.84,542.73,6.897,8.907,16.34,21.1,400.6,1000,5,99.64,-5.39,0.205,0.7,-0.22,2.74,1,0,0.16,111115,OK
9,10:08:09,504,sun,old,1,2364.5,0,6.36,0.039,443,1.33,3.36,29.95,6,1.42,1,2.84,29.8,29.95,30.13,750.53,739.52,6.898,8.878,16.32,21.01,400.5,1000,5,99.64,-9.69,0.206,0.7,-0.22,2.74,1,0,0.16,111115,OK
10,10:10:30,504,sun,old,1,2506,0,7.95,0.0364,589,1.25,3.39,29.99,6,1.42,1,2.84,29.81,29.99,30.13,999.8,986.04,6.896,8.757,16.31,20.71,400.8,999,5,99.64,-15.6,0.213,0.7,-0.22,2.74,1,0,0.16,111115,OK
11,10:18:10,504,sun,old,1,2966.5,0,8.02,0.0279,671,0.985,3.46,30.1,6,1.42,1,2.84,25.28,30.1,30.13,1200.72,1186.96,6.86,8.323,21.15,25.66,400.6,1000,6,99.64,-11.3,0.282,1,-0.22,2.74,1,0,0.16,111115,OK
12,10:20:56,504,sun,old,1,3132,0,9.17,0.0274,878,0.968,3.46,30.1,6,1.42,1,2.84,25.34,30.1,30.13,1500.18,1484.29,6.866,8.304,21.09,25.51,400.5,999,5,99.64,-16.8,0.286,0.7,-0.22,2.74,1,0,0.16,111115,OK
13,10:23:57,504,sun,old,1,3312.5,0,10.7,0.0259,1.22E+03,0.919,3.47,30.13,6,1.42,1,2.84,25.46,30.13,30.13,2001.27,1982.52,6.869,8.234,20.94,25.1,400.7,999,4,99.63,-27.8,0.284,0.7,-0.22,2.74,1,0,0.16,111115,OK
14,10:27:11,504,sun,old,1,3506.5,0,10.9,0.0243,1.45E+03,0.866,3.49,30.17,6,1.42,1,2.84,25.5,30.17,30.13,2300.6,2281.26,6.866,8.152,20.89,24.8,400.7,999,5,99.64,-34.5,0.285,1,-0.22,2.74,1,0,0.16,111115,OK
15,10:40:15,504,sun,old,1,4290,0,0.975,0.109,78.9,3.33,3.07,29.97,6,1.42,1,2.84,26.29,29.97,30.13,100.06,98.11,6.938,11.876,20.13,34.47,399.4,1001,4,99.64,2.24,0.26,0.7,-0.22,2.74,1,0,0.16,111115,OK
