Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,10:57:32,500,shade,old,1,3716.5,0,5.52,0.0398,153,1.31,3.23,30.43,6,1.42,1,2.84,30.06,30.43,30.13,398.86,391.62,9.851,11.404,22.95,26.56,500,1000,4,99.6,-34.4,0.107,0.7,-0.22,2.74,1,0,0.16,111115,OK
2,11:00:59,500,shade,old,1,3923.5,0,4.22,0.0456,132,1.49,3.22,30.51,6,1.42,1,2.84,30.11,30.51,30.13,298.86,293.27,9.965,11.733,23.15,27.25,500.2,999,1,99.6,-23.9,0.101,1,-0.22,2.74,1,0,0.16,111115,OK
3,11:03:39,500,shade,old,1,4083,0,2.5,0.0477,102,1.55,3.21,30.53,6,1.42,1,2.84,30.12,30.52,30.13,198.77,195.39,10.064,11.923,23.36,27.67,500.3,1000,2,99.6,-14.4,0.104,1,-0.22,2.74,1,0,0.16,111115,OK
4,11:06:20,500,shade,old,1,4244,0,0.672,0.0541,73.5,1.73,3.16,30.45,6,1.42,1,2.84,30.11,30.44,30.13,99.12,98.03,10.162,12.245,23.6,28.44,500,1000,3,99.59,-6.29,0.0943,1,-0.22,2.74,1,0,0.16,111115,OK
5,11:09:03,500,shade,old,1,4407.5,0,-0.12,0.0664,50.3,2.08,3.1,30.42,6,1.42,1,2.84,30.14,30.42,30.13,49.94,49.96,10.223,12.686,23.71,29.42,500.3,999,2,99.59,-2.8,0.0872,0.3,-0.22,2.74,1,0,0.16,111115,OK
6,11:11:59,500,shade,old,1,4583,0,3.66,0.0774,111,2.37,3.04,30.34,6,1.42,1,2.84,30.14,30.34,30.13,200.95,195.92,10.292,13.108,23.86,30.39,500.2,999,1,99.59,-14.6,0.0826,1,-0.22,2.74,1,0,0.16,111115,OK
7,11:14:40,500,shade,old,1,4743.5,0,8.52,0.0828,205,2.51,3.01,30.3,6,1.42,1,2.84,30.15,30.3,30.13,400.42,388.92,10.321,13.283,23.92,30.79,500.3,999,1,99.58,-34.1,0.0851,0.7,-0.22,2.74,1,0,0.16,111115,OK
8,11:17:21,500,shade,old,1,4905.5,0,12.1,0.0784,308,2.39,3.03,30.32,6,1.42,1,2.84,30.15,30.32,30.13,599.64,583.42,10.35,13.176,23.99,30.54,500.3,999,1,99.58,-56.9,0.0941,1,-0.22,2.74,1,0,0.16,111115,OK
9,11:20:03,500,shade,old,1,5067.5,0,13.8,0.0652,405,2.04,3.1,30.46,6,1.42,1,2.84,30.16,30.46,30.13,798.97,780.51,10.336,12.757,23.94,29.54,500.5,999,2,99.59,-82,0.102,1,-0.22,2.74,1,0,0.16,111115,OK
10,11:22:33,500,shade,old,1,5217.5,0,14.2,0.0487,471,1.58,3.19,30.6,6,1.42,1,2.84,30.17,30.6,30.13,1000.1,981.23,10.38,12.25,24.03,28.36,500.2,999,1,99.58,-109,0.119,1,-0.22,2.74,1,0,0.16,111115,OK
11,11:25:15,500,shade,old,1,5379,0,13.9,0.0349,493,1.17,3.27,30.72,6,1.42,1,2.84,30.18,30.73,30.13,1200.01,1182.04,10.407,11.716,24.08,27.11,500.4,999,1,99.58,-138,0.126,0.7,-0.22,2.74,1,0,0.16,111115,OK
12,11:29:54,500,shade,old,1,5658.5,0,13.7,0.0176,664,0.609,3.36,30.87,6,1.42,1,2.84,30.18,30.87,30.13,2000.99,1983.15,10.485,11.208,24.25,25.92,500.3,999,1,99.58,-260,0.142,1,-0.22,2.74,1,0,0.16,111115,OK
