Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,14:49:02,504,sun,mature,7,2649,0,5.96,0.171,217,4.9,2.93,30.79,6,1.42,1,2.84,30.31,30.79,30.13,298.99,287.93,8.118,15.361,18.58,35.15,400,1500,4,99.25,-0.599,0.128,0.8,-0.22,2.74,1,0,0.16,111115,OK
18,14:52:01,504,sun,mature,7,2828,0,21.1,0.155,2.14E+03,4.5,2.95,30.79,6,1.42,1,2.84,30.29,30.79,30.13,2530,2481.67,8.491,15.138,19.46,34.68,400,1499,3,99.25,-54.7,0.146,0.8,-0.22,2.74,1,0,0.16,111115,OK
21,14:57:16,504,sun,mature,7,3143.5,0,2.02,0.147,118,4.27,2.94,30.87,6,1.42,1,2.84,30.31,30.87,30.13,150.95,146.98,9.203,15.515,21.06,35.51,400,1500,2,99.25,1.13,0.131,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,14:59:16,504,sun,mature,7,3263.5,0,4.8,0.146,178,4.23,2.93,30.9,6,1.42,1,2.84,30.3,30.9,30.13,251.32,242.59,9.48,15.718,21.71,35.99,400,1501,3,99.24,0.009,0.139,0.8,-0.22,2.74,1,0,0.16,111115,OK
23,15:01:06,504,sun,mature,7,3373,0,7.33,0.145,240,4.17,2.9,30.86,6,1.42,1,2.84,30.28,30.86,30.13,350.8,337.7,9.732,15.886,22.31,36.41,400,1501,3,99.24,-1.36,0.141,0.8,-0.22,2.74,1,0,0.16,111115,OK
24,15:03:01,504,sun,mature,7,3488,0,11.9,0.145,372,4.09,2.86,30.76,6,1.42,1,2.84,30.27,30.76,30.13,551.14,530.07,10.013,16.047,22.97,36.81,400,1499,2,99.24,-4.88,0.141,0.8,-0.22,2.74,1,0,0.16,111115,OK
25,15:04:55,504,sun,mature,7,3602,0,15,0.144,520,4.03,2.83,30.74,6,1.42,1,2.84,30.26,30.74,30.13,750.67,723.73,10.304,16.246,23.65,37.29,400,1499,2,99.24,-8.75,0.138,0.8,-0.22,2.74,1,0,0.16,111115,OK
26,15:07:07,504,sun,mature,7,3734.5,0,17.9,0.142,718,3.94,2.81,30.73,6,1.42,1,2.84,30.26,30.73,30.13,1001.03,968.41,10.681,16.49,24.52,37.85,399.7,1500,3,99.24,-14.4,0.145,1,-0.22,2.74,1,0,0.16,111115,OK
27,15:09:07,504,sun,mature,7,3854,0,19.1,0.141,892,3.89,2.78,30.74,6,1.42,1,2.84,30.24,30.74,30.13,1200.16,1164.78,11.024,16.755,25.32,38.49,400,1499,3,99.24,-18.9,0.144,0.8,-0.22,2.74,1,0,0.16,111115,OK
28,15:11:13,504,sun,mature,7,3980.5,0,20.2,0.139,1.16E+03,3.81,2.77,30.81,6,1.42,1,2.84,30.24,30.81,30.13,1500.18,1461.57,11.416,17.03,26.22,39.11,400,1500,4,99.23,-26.4,0.147,0.8,-0.22,2.74,1,0,0.16,111115,OK
29,15:13:02,504,sun,mature,7,4089,0,21.2,0.137,1.62E+03,3.74,2.75,30.82,6,1.42,1,2.84,30.24,30.82,30.13,2000.07,1957.32,11.771,17.291,27.04,39.72,400,1499,3,99.23,-40,0.155,0.8,-0.22,2.74,1,0,0.16,111115,OK
30,15:15:33,504,sun,mature,7,4240,0,21.7,0.135,1.89E+03,3.64,2.72,30.84,6,1.42,1,2.84,30.25,30.84,30.13,2300.18,2255.37,12.276,17.637,28.19,40.5,400,1500,3,99.22,-48.6,0.148,0.8,-0.22,2.74,1,0,0.16,111115,OK
