Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,12:41:17,9,shade,mature_last_season,3,6805.5,0,0.233,0.0763,89.8,1.64,2.12,30.14,6,1.42,1,2.84,30.01,30.14,30.13,98.72,98.13,19.512,21.921,45.40,51.01,400.0,1500,39,99.19,1.84,0.253,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,12:43:29,9,shade,mature_last_season,3,6937.5,0,-0.682,0.0813,62.7,1.73,2.11,30.16,6,1.42,1,2.84,30.02,30.16,30.13,50.04,50.93,19.565,22.109,45.50,51.42,400.0,1500,50,99.19,2.22,0.245,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,12:45:42,9,shade,mature_last_season,3,7070.5,0,0.457,0.0876,87.5,1.84,2.08,30.14,6,1.42,1,2.84,30.02,30.14,30.13,100.22,99.26,19.623,22.326,45.63,51.91,400.0,1500,55,99.19,1.81,0.24,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,12:47:54,9,shade,mature_last_season,3,7202.5,0,1.41,0.095,119,1.96,2.05,30.10,6,1.42,1,2.84,30.02,30.10,30.13,150.42,147.87,19.660,22.540,45.72,52.41,400.0,1500,54,99.19,1.23,0.239,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,12:50:19,9,shade,mature_last_season,3,7348.0,0,3.49,0.102,182,2.08,2.02,30.06,6,1.42,1,2.84,30.01,30.06,30.13,251.61,245.61,19.689,22.737,45.82,52.91,400.0,1500,56,99.2,-0.0536,0.235,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:52:41,9,shade,mature_last_season,3,7490.0,0,5.64,0.109,246,2.18,2,30.04,6,1.42,1,2.84,30.01,30.04,30.13,351.43,341.86,19.705,22.900,45.85,53.29,400.0,1500,56,99.2,-1.64,0.237,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:55:36,9,shade,mature_last_season,3,7665.0,0,8.18,0.112,401,2.24,1.98,30.03,6,1.42,1,2.84,30.02,30.03,30.13,551.22,537.15,19.751,23.028,45.95,53.57,400.0,1500,50,99.2,-5.42,0.235,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,12:57:49,9,shade,mature_last_season,3,7798.0,0,9.54,0.11,569,2.2,1.99,30.06,6,1.42,1,2.84,30.02,30.06,30.13,751.07,734.34,19.783,23.005,46.00,53.49,400.0,1499,45,99.2,-9.71,0.241,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,13:00:01,9,shade,mature_last_season,3,7929.5,0,10.7,0.102,779,2.08,2.02,30.10,6,1.42,1,2.84,30.03,30.10,30.13,999.93,980.84,19.810,22.856,46.04,53.12,400.0,1500,46,99.2,-15.8,0.251,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,13:02:14,9,shade,mature_last_season,3,8062.5,0,11.6,0.0908,982,1.89,2.06,30.15,6,1.42,1,2.84,30.03,30.15,30.13,1250.46,1229.59,19.831,22.596,46.08,52.50,400.0,1500,55,99.19,-22.3,0.261,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,13:04:35,9,shade,mature_last_season,3,8203.5,0,12.4,0.0773,1.17E+03,1.65,2.1,30.22,6,1.42,1,2.84,30.05,30.22,30.13,1500.92,1478.65,19.875,22.295,46.15,51.77,400.0,1499,50,99.18,-29.1,0.269,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,13:06:52,9,shade,mature_last_season,3,8340.5,0,12.7,0.0657,1.36E+03,1.43,2.14,30.28,6,1.42,1,2.84,30.05,30.28,30.13,1749.74,1726.95,19.925,22.029,46.25,51.13,400.0,1499,57,99.17,-36.5,0.277,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,13:09:04,9,shade,mature_last_season,3,8472.5,0,13.2,0.0563,1.53E+03,1.25,2.17,30.29,6,1.42,1,2.84,30.04,30.29,30.13,1999.32,1975.78,19.966,21.799,46.36,50.62,400.0,1499,59,99.17,-44.1,0.281,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,13:11:19,9,shade,mature_last_season,3,8608.5,0,13.1,0.0487,1.72E+03,1.1,2.2,30.36,6,1.42,1,2.84,30.06,30.36,30.13,2249.81,2226.46,20.026,21.640,46.44,50.18,400.2,1499,58,99.16,-51.6,0.289,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
