Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,14:08:17,504,sun,old,6,197.5,0,5.01,0.132,308,4.33,3.31,30.48,6,1.42,1,2.84,30.31,30.48,30.13,400.42,390.35,4.343,10.782,9.94,24.68,399.1,1499,22,99.31,-2.22,0.154,0.8,-0.22,2.74,1,0,0.16,111115,OK
2,14:13:34,504,sun,old,6,521,0,3.46,0.0919,216,3.24,3.51,30.74,6,1.42,1,2.84,30.36,30.74,30.13,299.63,293,4.543,9.368,10.38,21.39,399.1,1500,11,99.3,-0.624,0.174,0.8,-0.22,2.74,1,0,0.16,111115,OK
3,14:16:42,504,sun,old,6,709,0,12.3,0.0777,2.10E+03,2.79,3.57,30.76,6,1.42,1,2.84,30.35,30.76,30.13,2527.55,2498.49,4.69,8.855,10.72,20.23,399.1,1500,3,99.3,-55.6,0.197,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,14:22:00,504,sun,old,6,1027.5,0,0.909,0.0605,117,2.24,3.65,30.9,6,1.42,1,2.84,30.37,30.9,30.13,151.09,149.22,5.032,8.371,11.48,19.1,399.1,1499,23,99.29,1.11,0.199,0.8,-0.22,2.74,1,0,0.16,111135,OK
7,14:24:11,504,sun,old,6,1158,0,2.15,0.0586,175,2.16,3.64,30.88,6,1.42,1,2.84,30.36,30.88,30.13,251.61,247.58,5.223,8.447,11.92,19.28,399.1,1500,5,99.28,-0.0776,0.195,0.8,-0.22,2.74,1,0,0.16,111135,OK
8,14:26:04,504,sun,old,6,1271,0,3.39,0.0561,229,2.07,3.64,30.87,6,1.42,1,2.84,30.35,30.87,30.13,350.35,344.19,5.387,8.472,12.3,19.35,399.1,1500,5,99.28,-1.56,0.2,0.8,-0.22,2.74,1,0,0.16,111135,OK
9,14:27:59,504,sun,old,6,1386,0,5.67,0.0528,339,1.95,3.64,30.87,6,1.42,1,2.84,30.34,30.87,30.13,550.73,540.62,5.561,8.467,12.7,19.34,399.1,1501,6,99.28,-5,0.205,0.8,-0.22,2.74,1,0,0.16,111135,OK
10,14:29:55,504,sun,old,6,1502.5,0,7.31,0.0485,456,1.79,3.64,30.85,6,1.42,1,2.84,30.34,30.85,30.13,750.24,737.28,5.75,8.419,13.14,19.24,399.9,1500,5,99.27,-8.99,0.21,0.8,-0.22,2.74,1,0,0.16,111135,OK
11,14:31:41,504,sun,old,6,1608.5,0,8.92,0.0446,612,1.65,3.64,30.87,6,1.42,1,2.84,30.34,30.87,30.13,1000.33,984.51,5.935,8.396,13.56,19.19,400,1500,5,99.27,-14.6,0.212,0.8,-0.22,2.74,1,0,0.16,111135,OK
12,14:33:31,504,sun,old,6,1718,0,9.81,0.0409,737,1.52,3.64,30.87,6,1.42,1,2.84,30.34,30.87,30.13,1200.68,1183.27,6.142,8.403,14.04,19.2,400,1500,5,99.27,-19.4,0.21,0.8,-0.22,2.74,1,0,0.16,111115,OK
13,14:35:31,504,sun,old,6,1838,0,10.7,0.038,951,1.41,3.63,30.86,6,1.42,1,2.84,30.33,30.86,30.13,1500.66,1481.43,6.372,8.468,14.57,19.36,400,1500,6,99.27,-26.9,0.215,0.8,-0.22,2.74,1,0,0.16,111115,OK
14,14:38:18,504,sun,old,6,2005,0,11.8,0.0348,1.33E+03,1.29,3.62,30.87,6,1.42,1,2.84,30.33,30.87,30.13,2001.05,1979.45,6.719,8.638,15.36,19.75,399.9,1500,19,99.27,-40.4,0.219,1,-0.22,2.74,1,0,0.16,111115,OK
15,14:40:29,504,sun,old,6,2136,0,12.1,0.033,1.57E+03,1.22,3.61,30.88,6,1.42,1,2.84,30.34,30.88,30.13,2299.52,2277.26,7.004,8.814,16.01,20.14,400,1499,9,99.26,-48.8,0.22,0.8,-0.22,2.74,1,0,0.16,111115,OK
