unique,Variety,Row,Position,SampleID,leaf.area.cm2,leaf.dry.mass.g,lma.g.m2,leafn,leafc
42,cs,r12,p2,cs_r12_p2,50.637,0.366,72.27916346,3.1963,41.1
43,cs,r12,p3,cs_r12_p3,61.179,0.398,65.05500253,2.9792,43.683
44,cs,r12,p4,cs_r12_p4,68.946,0.531,77.01679575,3.0963,41.696
45,cs,r12,p5,cs_r12_p5,51.024,0.312,61.1476952,3.1817,41.691
46,cs,r12,p6,cs_r12_p6,38.132,0.278,72.90464702,2.6676,40.702
47,cs,r12,p7,cs_r12_p7,66.902,0.399,59.63947266,3.4641,42.7556
48,cs,r12,p8,cs_r12_p8,34.693,0.262,75.51955726,2.6082,41.553
49,cs,r12,p9,cs_r12_p9,52.747,0.343,65.02739492,3.0503,41.833
50,cs,r12,p10,cs_r12_p10,52.802,0.364,68.9367827,2.5223,40.936
51,cs,r13,p1,cs_r13_p1,41.665,0.279,66.96267851,3.0611,41.819
52,cs,r13,p10,cs_r13_p10,56.392,0.416,73.76932898,2.8876,43.032
53,cs,r13,p2,cs_r13_p2,68.012,0.478,70.28171499,3.2657,43.377
54,cs,r13,p3,cs_r13_p3,56.107,0.371,66.12365658,3.3522,44.18
55,cs,r13,p4,cs_r13_p4,36.554,0.24,65.65628933,3.1554,41.973
56,cs,r13,p5,cs_r13_p5,90.231,0.663,73.47807295,2.8369,43.135
57,cs,r13,p6,cs_r13_p6,49.426,0.329,66.56415652,2.7421,42.892
58,cs,r13,p7,cs_r13_p7,53.906,0.398,73.83222647,2.5052,42.366
59,cs,r13,p8,cs_r13_p8,76.849,0.526,68.44591341,3.3522,43.8
60,cs,r13,p9,cs_r13_p9,38.127,0.256,67.14401867,3.0225,43.156
61,m,r18,p1,m_r18_p1,40.001,0.277,69.24826879,,
62,m,r18,p10,m_r18_p10,42.676,0.319,74.7492736,3.2334,41.014
63,m,r18,p2,m_r18_p2,43.671,0.301,68.92445788,2.2522,41.228
64,m,r18,p3,m_r18_p3,60.499,0.329,54.38106415,3.8136,44.633
65,m,r18,p4,m_r18_p4,174.255,1.32,75.75105449,3.8136,44.633
66,m,r18,p5,m_r18_p5,178.415,1.202,67.37101701,3.5767,43.846
67,m,r18,p6,m_r18_p6,126.956,0.804,63.32902738,3.52,43.118
68,m,r18,p7,m_r18_p7,217.627,1.499,68.87932104,3.5273,44.914
69,m,r18,p8,m_r18_p8,214.625,1.344,62.62085032,3.5797,43.94
70,m,r18,p9,m_r18_p9,63.662,0.455,71.47120731,2.7682,42.325
