SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type
pn_r39_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
pn_r39_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r29_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r30_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
sb_r31_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_P3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p7,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p8,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r25_p9,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p1,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p10,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p2,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p3,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p4,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p5,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
vio_r26_p6,Cui_et_al_2025,"Niagara College Canada, Teaching Vineyard",Vitis vinifera subsp. vinifera,Sun,Mature,Agricultural
