Obs,Curve,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
4,c13,11:13:59,4700.5,0.257,0.0357,85.6,0.165,0.467,6,1,2.84,19.84,19.62,20,98.22,97.9,17.7,17.894,77.67,78.52,500.2,1000,292,101.9,4.54,-0.399,0.7,111115
5,c13,11:16:28,4849.5,-0.394,0.0984,55.2,0.434,0.456,6,1,2.84,19.88,19.63,19.99,48.5,48.95,17.513,18.024,76.64,78.88,500.2,1000,165,101.9,3.54,-0.419,1,111115
6,c13,11:19:12,5013.5,5.17,0.0754,282,0.351,0.478,6,1,2.84,19.82,19.58,19.96,403.21,396.84,17.336,17.749,76.14,77.95,500.2,1000,159,101.9,3.78,-0.37,0.7,111115
7,c13,11:21:39,5161.5,4.7,0.0628,271,0.293,0.476,6,1,2.84,19.91,19.65,19.96,400.81,395.03,17.513,17.859,76.48,77.99,500.2,1000,157,101.9,4.08,-0.374,1,111115
8,c13,11:24:07,5309,7.99,0.0388,255,0.166,0.434,6,1,2.84,19.8,19.61,19.97,600.72,591.02,18.017,18.213,79.23,80.09,500.2,1000,156,101.9,2.21,-0.396,1,111115
9,c13,11:26:34,5455,9.72,0.0516,577,0.223,0.439,6,1,2.84,19.85,19.62,19.97,900.47,888.57,17.916,18.178,78.55,79.7,500.2,1000,156,101.9,0.765,-0.369,1,111115
10,c13,11:29:11,5612,10.2,0.0393,760,0.167,0.431,6,1,2.84,19.88,19.7,19.98,1198.97,1186.51,18.176,18.373,79.52,80.39,500.2,1001,237,101.9,-0.519,-0.375,1,111115
11,c13,11:31:42,5763,11.5,0.0552,1140,0.229,0.422,6,1,2.84,19.91,19.66,19.99,1500.29,1486.12,18.134,18.403,79.22,80.4,500.1,1001,327,101.9,-3.54,-0.422,0.7,111115
1,c14,15:28:26,13141,17.3,0.135,161,0.858,0.663,6,1,2.84,20.36,21.39,19.98,399.97,378.77,17.602,18.612,74.57,78.85,500.2,999,47,101.7,-13.3,-0.447,1,111115
2,c14,15:30:58,13292.5,5.91,0.14,218,0.898,0.671,6,1,2.84,20.33,21.31,19.98,298.72,291.32,17.358,18.416,73.68,78.17,500.2,1001,40,101.7,-0.785,-0.518,1,111115
3,c14,15:33:37,13451.5,3.69,0.146,149,0.94,0.674,6,1,2.84,20.28,21.2,19.98,197.94,193.29,17.106,18.213,72.86,77.58,500.2,1000,35,101.7,-0.591,-0.526,0.7,111115
4,c14,15:36:07,13602.5,1.1,0.151,83.1,0.983,0.682,6,1,2.84,20.25,21.11,19.98,97.69,96.25,16.847,18.006,71.9,76.84,500.2,1001,33,101.7,-0.315,-0.537,0.7,111115
5,c14,15:39:22,13797.5,-0.686,0.149,53,0.997,0.702,6,1,2.84,20.23,21.07,19.98,45.1,45.86,16.575,17.75,70.8,75.82,500.2,1001,33,101.7,-0.341,-0.547,0.7,111115
6,c14,15:42:54,14009.5,7.08,0.149,309,1.02,0.715,6,1,2.84,20.21,21.02,19.98,401.56,392.6,16.347,17.544,69.9,75.02,500.2,1001,31,101.7,-1.34,-0.52,0.7,111115
7,c14,15:45:24,14159.5,7.42,0.149,305,1.03,0.721,6,1,2.84,20.2,20.96,19.98,401.12,391.73,16.183,17.394,69.25,74.43,500.2,1001,29,101.7,-1.3,-0.518,1,111115
8,c14,15:48:16,14331.5,9.28,0.152,480,1.07,0.738,6,1,2.84,20.2,20.97,19.99,599.9,588.01,15.983,17.246,68.41,73.81,500.2,1001,29,101.7,-2.86,-0.506,1,111115
9,c14,15:50:46,14481.5,10.5,0.154,764,1.09,0.747,6,1,2.84,20.2,20.96,19.98,901.32,887.61,15.841,17.13,67.81,73.34,500.2,1001,28,101.7,-5.36,-0.491,1,111115
10,c14,15:53:19,14634.5,10.6,0.153,1060,1.1,0.755,6,1,2.84,20.19,20.93,19.98,1200.1,1185.82,15.717,17.016,67.3,72.87,500.2,1001,27,101.7,-7.55,-0.466,1,111115
11,c14,15:55:49,14783.5,11.1,0.152,1350,1.11,0.763,6,1,2.84,20.18,20.91,19.98,1500.32,1485.03,15.599,16.905,66.84,72.44,500.2,1001,27,101.7,-11.6,-0.463,0.7,111115
