Obs,Curve,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,c1,12:45:23,1689.500011,0,9.891178426,0.078404063,179.0138015,0.474085663,0.61929113,19.17866707,6,1.420000017,1,2.840000033,19.47258377,19.17866707,20.15258217,400.5428467,388.4454651,15.29417515,15.85438156,68.40995789,70.91634369,499.7115173,999.0632935,315.9121399,101.5868149,8.134360313,0.203384608,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832852529,0.000474086,292.3286671,292.6225838,159.8501234,1.69679704,2.229887255,21.95055783,6.096176269,19.32562542,2.250390773,0.076297707,1.610596125,0.639794648,0.04787094,18.18544192,0.460846676,72.45310263,383.7436726,0.018675137
2,c1,12:47:56,1842.500011,0,7.593211492,0.095179483,158.1080309,0.551570712,0.597048381,18.94669533,6,1.420000017,1,2.840000033,19.37148094,18.94669533,20.15362549,300.8706055,291.559967,15.10635185,15.75821304,67.99446106,70.92807007,499.6882324,1000.707397,369.3804932,101.5856018,9.140067101,0.203100413,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832813721,0.000551571,292.0966953,292.5214809,160.11318,1.676403664,2.197855937,21.63550639,5.877293345,19.15908813,2.227168017,0.092093084,1.600807555,0.626360462,0.057827736,16.06149947,0.542283059,73.21505299,287.950518,0.019306698
3,c1,12:50:28,1994.000011,0,4.93755941,0.076360543,86.74908722,0.440494604,0.59034183,19.13357925,6,1.420000017,1,2.840000033,19.45530128,19.13357925,20.15036583,199.9449463,193.9138031,15.55751801,16.07792091,69.67437744,71.99280548,499.70401,1000.035095,418.2741699,101.5857544,9.768713951,0.19413206,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832840017,0.000440495,292.2835793,292.6053013,160.0056117,1.720009182,2.223629555,21.88918681,5.811265895,19.29444027,2.246026085,0.074361156,1.633287725,0.61273836,0.046651313,8.812471469,0.447359011,73.64627816,191.5667238,0.018982048
4,c1,12:53:01,2147.500011,0,1.86101065,0.070105337,52.39697964,0.407217825,0.592965438,19.25273132,6,1.420000017,1,2.840000033,19.50214005,19.25273132,20.15368271,98.75622559,96.47460938,15.73711491,16.21811676,70.25210571,72.39565277,499.723877,999.7524414,495.2114868,101.5675659,10.15487576,0.173410624,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832873128,0.000407218,292.4027313,292.65214,159.960387,1.727441684,2.240200082,22.05625449,5.838137727,19.37743568,2.2576586,0.068416478,1.647234643,0.610423957,0.042908892,5.321833684,0.543116785,73.66435662,95.58997404,0.014341478
5,c1,12:55:35,2301.000011,0,0.345888684,0.082321219,43.07400753,0.464529116,0.578361189,19.29499054,6,1.420000017,1,2.840000033,19.50946236,19.29499054,20.15318489,50.83942413,50.39599991,15.87205791,16.42066765,70.8194046,73.26241302,499.7008362,999.6448364,575.6765747,101.5635834,10.0995245,0.189375132,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832834727,0.000464529,292.4449905,292.6594624,159.9431703,1.692475289,2.246103037,22.11524015,5.6945725,19.40222645,2.261143464,0.080002246,1.667741848,0.593401617,0.050204703,4.374750555,0.854710842,74.48418239,50.23158099,0.005128892
6,c1,12:58:09,2455.000011,0,10.5742851,0.125386444,244.62992,0.69023942,0.572396921,19.42149734,6,1.420000017,1,2.840000033,19.57474709,19.42149734,20.15326309,400.5716248,387.5539246,15.83970165,16.6546669,70.39692688,74.00853729,499.7099304,999.1931152,437.5044861,101.5606461,8.253088951,0.173149318,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832849884,0.000690239,292.5714973,292.7247471,159.8708949,1.564655411,2.263855651,22.29067792,5.636011023,19.49812222,2.274668069,0.120084686,1.69145873,0.583209339,0.075511907,24.84477272,0.631215179,75.30404089,382.5274159,0.020816453
7,c1,13:00:43,2609.000011,0,10.91500119,0.135359561,249.1120288,0.751687119,0.579348495,19.40491867,6,1.420000017,1,2.840000033,19.54980087,19.40491867,20.15257263,399.7894592,386.3349609,15.67712402,16.56473541,69.75982666,73.71674347,499.7022095,998.9403687,410.668335,101.5514984,8.287573814,0.182720393,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832837016,0.000751687,292.5549187,292.6998009,159.8304554,1.530778744,2.261522197,22.2697078,5.70497239,19.47735977,2.271733851,0.129201579,1.682173702,0.589560149,0.08128255,25.29769979,0.644808402,75.06360604,381.1464921,0.02149618
8,c1,13:03:16,2762.000011,0,13.92978763,0.1394363,410.9213056,0.805441965,0.603437671,19.50166893,6,1.420000017,1,2.840000033,19.58732033,19.50166893,20.15118408,599.5534668,582.2647095,15.51093006,16.46211243,68.86845398,73.09043121,499.7039795,998.9990845,402.2769775,101.5502701,5.57883358,0.184402674,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832839966,0.000805442,292.6516689,292.7373203,159.8398499,1.494777191,2.275169635,22.40436813,5.942255703,19.54449463,2.281233571,0.132910743,1.671731963,0.609501608,0.083631842,41.72916956,0.705729368,74.21745973,575.6431556,0.017959624
9,c1,13:05:50,2916.500011,0,15.62064793,0.135301959,680.5204653,0.78841124,0.607997517,19.35752869,6,1.420000017,1,2.840000033,19.52964973,19.35752869,20.15484238,899.9378662,880.3492432,15.28657913,16.21784973,68.10405731,72.25849152,499.7204285,1000.775818,374.9429932,101.5465164,-0.340966225,0.206239909,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832867381,0.000788411,292.5075287,292.6796497,160.1241273,1.51855094,2.254863661,22.2052291,5.987379367,19.44358921,2.266968369,0.129149098,1.646866144,0.620102225,0.081249316,69.10448261,0.773011928,73.75820959,872.9239353,0.013198756
10,c1,13:08:24,3070.000011,0,16.3435961,0.133308367,964.4022248,0.793472723,0.620543689,19.48411942,6,1.420000017,1,2.840000033,19.58290672,19.48411942,20.15048409,1199.809937,1179.062988,15.33312798,16.27034378,68.09181213,72.25310516,499.7115784,1000.4198,357.5579834,101.5433426,-7.698754311,0.20393011,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832852631,0.000793473,292.6341194,292.7329067,160.0671644,1.505517329,2.272688782,22.38146514,6.111121356,19.53351307,2.27967728,0.127331483,1.652145093,0.627532187,0.080098414,97.92862551,0.817939529,73.40585215,1171.294025,0.010242651
