PlotName,ForestPlotsCode,Subplot,PlotCensusNumber,CensusDate,TagNumber,HPOM_m,D_POM_cm,Height_m,Alive_1_Dead_0_At2015Census,Comments,Family,Genus,SpeciesName,GenusSpecies,SpeciesIDsource,Group,WoodDensity,CrownProjection_Area_m2_in2016,X_m,Y_m,GirdlingDeathDate,Time_since_Girdle,Survived,Biomass_kgPerStem,Carbon_kgCperStem
Tower,SAF-05,14,4,04/08/2015 00:00,191,1.3,17.9,13.1,1,tag lost,Dipterocarpaceae,Parashorea,malaanonan,Parashorea malaanonan,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.415,24.554,567807.854,521251.698,07/11/2016 00:00,278,0,88.66316632,42.29233033
Tower,SAF-05,14,4,04/08/2015 00:00,192,1.3,38.8,14.9,1,tag lost,Dipterocarpaceae,Shorea,johorensis,Shorea johorensis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.393333333,41.153,567802.649,521255.129,03/12/2016 00:00,304,0,449.0846952,214.2133996
Tower,SAF-05,14,4,04/08/2015 00:00,193,1.3,18,14.3,1,tag lost,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,12.555,567801.634,521251.643,07/11/2016 00:00,278,0,146.2145256,69.74432871
Tower,SAF-05,14,4,04/08/2015 00:00,194,1.3,23.1,17.7,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,30.146,567801.717,521249.34,07/11/2016 00:00,278,0,298.0620595,142.1756024
Tower,SAF-05,14,4,04/08/2015 00:00,1443,1.3,11.2,12.3,1,NA,Fagaceae,Lithocarpus,gracilis,Lithocarpus gracilis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.49,30.635,567798.929,521238.557,20/09/2016 00:00,230,0,38.48176819,18.35580343
Tower,SAF-05,14,4,04/08/2015 00:00,1444,1.3,11.3,11,1,NA,Burseraceae,NA,NA,NA,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.540105327,11.674,567798.781,521237.275,20/09/2016 00:00,230,0,38.61409095,18.41892138
Tower,SAF-05,14,4,04/08/2015 00:00,2830,1.3,12.2,8.855425288,1,NA,NA,NA,NA,NA,NA,other,0.499120331,,,,29/06/2016 00:00,147,0,33.48514067,15.9724121
Tower,SAF-05,15,4,04/08/2015 00:00,195,1.3,11.3,5,1,NA,Dipterocarpaceae,Dryobalanops,lanceolata,Dryobalanops lanceolata,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",Dipterocarp,0.62,4.533,567815.651,521249.415,09/04/2016 00:00,66,0,20.1482051,9.610693833
Tower,SAF-05,15,4,04/08/2015 00:00,196,1.3,11.9,4.3,1,NA,Myristicaceae,Knema,pulchra,Knema pulchra,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.533326316,4.601,567815.647,521251.056,,,1,16.5300122,7.884815821
Tower,SAF-05,15,4,04/08/2015 00:00,197,1.3,12,6.5,1,NA,Achariaceae,Hydnocarpus,borneensis,Hydnocarpus borneensis,"Collected by SAFE Carbon Team, identified by MinSheng Khoo, 2014-2015, verified by Magat bin Japar (2016)",other,0.82,4.035,567818.118,521249.422,,,1,39.066768,18.63484834
