SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,LMA,Narea,Nmass,Parea,Pmass,LWC
W9_919,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,75.37214999,2.228000754,29.56,NA,NA,NA
W9_920,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,90.08648306,2.860335924,31.751,NA,NA,NA
W9_921,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,115.1543068,3.374251498,29.302,NA,NA,NA
W9_922,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,89.90110881,2.881780043,32.055,NA,NA,NA
W9_923,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,136.259323,3.992806942,29.303,NA,NA,NA
W9_924,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,85.0140713,3.075256508,36.1735,NA,NA,NA
W9_925,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,92.8755468,2.876494998,30.9715,NA,NA,NA
W9_926,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,70.60207883,2.302969209,32.619,NA,NA,NA
W9_927,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,140.8377237,4.882491786,34.6675,NA,NA,NA
W9_928,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,115.4091054,3.294583732,28.547,NA,NA,NA
W9_929,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,72.99270073,2.029854015,27.809,NA,NA,NA
W9_930,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,92.26123909,2.728718407,29.576,NA,NA,NA
W9_931,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,75.94936707,2.646987341,34.852,NA,NA,NA
W9_932,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,81.40350876,2.056496842,25.263,NA,NA,NA
W9_933,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,80.98477486,2.705093942,33.4025,NA,NA,NA
W9_934,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,90.98112877,2.858536085,31.419,NA,NA,NA
W9_935,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,113.4828425,2.829354229,24.932,NA,NA,NA
W9_936,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,104.4932079,3.368808776,32.2395,NA,NA,NA
W9_937,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,96.39287704,2.622946577,27.211,NA,NA,NA
W9_940,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,136.9341955,3.910635222,28.5585,NA,NA,NA
W9_941,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,143.9119009,4.358731699,30.2875,NA,NA,NA
W9_942,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,111.831805,3.754696937,33.5745,NA,NA,NA
W9_943,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,88.73852639,3.388702477,38.1875,NA,NA,NA
W9_944,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,80.33972224,2.583363938,32.1555,NA,NA,NA
W9_945,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,74.88392991,2.532312416,33.8165,NA,NA,NA
W9_946,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,86.78596844,2.315406245,26.6795,NA,NA,NA
W9_947,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,92.16589862,3.119907834,33.851,NA,NA,NA
W9_948,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,86.46779075,2.448335495,28.315,NA,NA,NA
W9_950,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,239.5783421,4.871705797,20.3345,NA,NA,NA
W9_951,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,117.2202065,2.837080658,24.203,NA,NA,NA
W9_952,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,155.3319376,3.481998379,22.4165,NA,NA,NA
W9_953,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,109.5770327,3.297063337,30.089,NA,NA,NA
W9_954,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,114.4655888,2.155501503,18.831,NA,NA,NA
W9_955,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,153.1198163,3.541048872,23.126,NA,NA,NA
W9_956,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,121.0653753,2.435835351,20.12,NA,NA,NA
W9_957,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,120.6563707,2.001749518,16.5905,NA,NA,NA
W9_958,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,143.2664756,3.06153295,21.3695,NA,NA,NA
W9_959,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,152.768937,3.956486315,25.8985,NA,NA,NA
W9_960,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,98.42234764,1.828834853,18.5815,NA,NA,NA
W9_962,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,116.5436484,2.719429492,23.334,NA,NA,NA
W9_963,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,102.7997823,2.406645703,23.411,NA,NA,NA
W9_965,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,189.1496862,3.968549566,20.981,NA,NA,NA
W9_966,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,136.532085,2.337497561,17.1205,NA,NA,NA
W9_967,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,119.8402131,3.455412784,28.8335,NA,NA,NA
W9_968,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,130.740317,2.620885765,20.0465,NA,NA,NA
W9_969,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,95.48818334,2.434566722,25.496,NA,NA,NA
W9_970,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,109.9365751,2.818169134,25.6345,NA,NA,NA
W9_971,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,156.897201,3.580315678,22.8195,NA,NA,NA
W9_972,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,133.3751765,2.928118625,21.954,NA,NA,NA
W9_973,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,104.0672968,2.538669672,24.3945,NA,NA,NA
W9_974,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,138.4712771,3.620539247,26.1465,NA,NA,NA
W9_975,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,227.0850537,5.779995872,25.453,NA,NA,NA
W9_977,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,132.4423575,3.51117934,26.511,NA,NA,NA
W9_978,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,102.0815765,2.498650748,24.477,NA,NA,NA
W9_979,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,132.1585903,3.046057269,23.0485,NA,NA,NA
W9_980,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,81.3228517,1.757956085,21.617,NA,NA,NA
W9_981,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,132.4045823,2.946134361,22.251,NA,NA,NA
W9_982,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,124.1096482,2.389793331,19.2555,NA,NA,NA
W9_983,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,113.4787543,3.015697896,26.575,NA,NA,NA
W9_984,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,116.0714286,2.045468751,17.6225,NA,NA,NA
W9_985,Ting_et_al_2023,AAPF,Oryza sativa,NA,Mature,Agricultural,Pot,113.6708093,2.165428917,19.05,NA,NA,NA
