SampleID,Predawn_A,Tleaf_Predawn_A
W6_902,-2.888527873,26.9978
W6_903,-2.152810443,26.85043333
W6_904,-1.764280529,27.02046667
W6_905,-2.448475615,26.99233333
W6_906,-2.649164411,27.02213333
W6_907,-2.496753071,26.94506667
W6_908,-1.994799849,26.40736667
W6_909,-2.981991539,27.10536667
W6_910,-2.745984534,27.00246667
W6_911,-2.071324457,27.09416667
W6_912,-1.735186213,27.0149
W6_913,-2.595053701,26.99433333
W6_914,-2.018959834,26.62293333
W6_915,-2.116268927,27.0248
W6_916,-2.095990393,27.0097
W6_917,-2.982487571,26.98653333
W6_918,-2.626595412,26.99993333
W6_919,-2.057608735,25.97616667
W6_920,-1.606961868,26.29103333
W6_921,-2.071327372,26.88686667
W6_922,-1.593506119,26.82886667
W6_923,-2.311018117,26.88063333
W6_924,-1.672920023,27.03246667
W6_925,-2.243052831,27.04706667
W6_926,-1.826125238,26.98216667
W6_927,-1.834147106,27.0015
W6_928,-2.120639907,27.0567
W6_929,-2.333151827,27.01976667
W6_930,-2.538571823,26.96563333
W6_931,-2.574642537,27.01233333
W6_932,-1.915223348,26.9974
W6_933,-2.926546712,27.01913333
W6_934,-2.098786737,27.06006667
W6_935,-2.331329479,27.00403333
W6_936,-1.865784629,26.67486667
W6_937,-3.988396282,27.03023333
W6_938,-2.210494062,26.92216667
W6_939,-1.95086784,26.29116667
W6_940,-2.728499219,27.01213333
W6_941,-2.151639833,26.8282
W6_942,-2.26709119,26.9787
W6_943,-1.825758308,26.93
W6_944,-1.790802363,26.9972
W6_945,-1.91061117,26.44953333
W6_946,-1.931220534,27.01356667
W6_947,-2.280491216,26.9155
W6_948,-1.490796807,26.56676667
W6_950,-2.255332404,26.85563333
W6_951,-2.800472072,26.90613333
W6_952,-2.277272479,26.8682
W6_953,-2.264704556,26.94856667
W6_954,-3.521237875,27.1502
W6_955,-2.158550695,26.84856667
W6_956,-2.273348394,26.9423
W6_957,-1.945168812,26.92196667
W6_958,-2.681179075,26.9424
W6_959,-2.520279899,27.10023333
W6_960,-2.101982907,27.01986667
W6_961,-2.675974746,27.0469
W6_962,-2.05816893,26.98883333
W6_963,-2.306990841,26.66933333
W6_964,-2.419399963,26.97183333
W6_965,-2.113807132,27.03003333
W6_966,-2.062713113,27.03676667
W6_967,-2.299787798,26.7603
W6_968,-5.219057153,27.0099
W6_969,-2.445209955,26.89123333
W6_970,-1.744037787,27.01803333
W6_971,-2.290472409,26.9303
W6_972,-1.818787558,26.9006
W6_973,-2.268044043,26.9477
W6_974,-1.909515048,26.05216667
W6_975,-1.795616499,27.03206667
W6_976,-2.321326919,26.99286667
W6_977,-2.138042397,27.00483333
W6_978,-2.456867582,27.03736667
W6_979,-2.657676057,27.0609
W6_980,-2.42171761,26.7493
W6_981,-2.091918003,26.94686667
W6_982,-2.75051024,26.99546667
W6_983,-2.70694706,26.0343
W6_984,-2.669043027,27.023
W6_985,-2.432833609,26.5269
W6_986,-2.520262275,26.9751
W6_987,-2.28538435,26.8816
W6_988,-2.417467493,26.5375
W6_989,-1.774178304,26.56163333
W6_990,-1.872581934,26.95486667
W6_991,-2.704717049,26.84343333
W6_992,-2.506845814,26.8617
W6_993,-1.911520472,26.99653333
W6_994,-1.950112666,26.9019
W6_995,-2.773431764,25.5555
W6_996,-1.891786538,26.88636667
