"SampleID","LMA","Nmass"
"W9_902",101.807707592444,32.2395
"W9_903",85.237362409466,30.327
"W9_904",113.668655868144,32.693
"W9_905",80.4306131486557,25.754
"W9_906",90.8771106755353,34.631
"W9_907",77.9249694039686,31.741
"W9_908",140.114894213255,34.8835
"W9_909",70.1874193673327,31.0975
"W9_910",80.3470994697091,33.2275
"W9_911",57.6179109249441,33.9955
"W9_912",79.8118121750187,30.5645
"W9_914",117.377452343783,28.766
"W9_915",92.0030913038678,34.0275
"W9_916",96.7385295476123,30.333
"W9_917",83.6726725284969,36.2675
"W9_918",78.1567511801669,33.7875
"W9_919",75.3721499905785,29.56
"W9_920",90.086483059772,31.751
"W9_921",115.154306771073,29.302
"W9_922",89.9011088072823,32.055
"W9_923",136.259323014128,29.303
"W9_924",85.0140712995435,36.1735
"W9_925",92.8755468035047,30.9715
"W9_926",70.6020788334495,32.619
"W9_927",140.837723652435,34.6675
"W9_928",115.409105383208,28.547
"W9_929",72.992700729927,27.809
"W9_930",92.2612390860813,29.576
"W9_931",75.9493670693799,34.852
"W9_932",81.4035087627898,25.263
"W9_933",80.9847748623259,33.4025
"W9_934",90.981128774333,31.419
"W9_935",113.48284247378,24.932
"W9_936",104.493207941484,32.2395
"W9_937",96.392877039483,27.211
"W9_940",136.934195507435,28.5585
"W9_941",143.911900892101,30.2875
"W9_942",111.831804965332,33.5745
"W9_943",88.7385263858462,38.1875
"W9_944",80.3397222356617,32.1555
"W9_945",74.8839299086416,33.8165
"W9_946",86.7859684446219,26.6795
"W9_947",92.1658986175115,33.851
"W9_948",86.4677907479464,28.315
"W9_950",239.578342117872,20.3345
"W9_951",117.220206530186,24.203
"W9_952",155.331937596033,22.4165
"W9_953",109.577032653956,30.089
"W9_954",114.465588782372,18.831
"W9_955",153.119816264036,23.126
"W9_956",121.065375302663,20.12
"W9_957",120.656370656371,16.5905
"W9_958",143.266475644699,21.3695
"W9_959",152.768936990593,25.8985
"W9_960",98.4223476396764,18.5815
"W9_962",116.543648377632,23.334
"W9_963",102.799782304478,23.411
"W9_965",189.14968617697,20.981
"W9_966",136.53208504531,17.1205
"W9_967",119.840213055651,28.8335
"W9_968",130.740317045269,20.0465
"W9_969",95.488183337312,25.496
"W9_970",109.936575054714,25.6345
"W9_971",156.897200953935,22.8195
"W9_972",133.37517652283,21.954
"W9_973",104.067296848354,24.3945
"W9_974",138.471277095329,26.1465
"W9_975",227.085053655897,25.453
"W9_977",132.442357481936,26.511
"W9_978",102.081576489624,24.477
"W9_979",132.158590302548,23.0485
"W9_980",81.322851699289,21.617
"W9_981",132.404582343796,22.251
"W9_982",124.109648181485,19.2555
"W9_983",113.478754258315,26.575
"W9_984",116.07142857661,17.6225
"W9_985",113.670809340469,19.05
"W9_986",127.226463104326,14.737
"W9_987",153.702218646814,23.4645
"W9_988",102.78304870579,25.5255
"W9_989",130.349771882236,26.5475
"W9_990",94.5021957495405,26.9295
"W9_991",144.319668064763,22.379
"W9_992",154.60167333857,32.219
"W9_993",219.798111346483,19.702
"W9_994",91.7665052443062,22.9535
"W9_995",122.033898311704,23.913
"W9_996",124.499296308999,17.7695
