"SampleID","A","Ci","Patm","Qin","Tleaf","gsw"
"20221020_ACSA_1",1.32185220086997,210.463261568418,100.9045,2000.00999999999,19.9964033333333,0.0245563271053957
"20221020_CECA_3",2.41486063229744,190.45665354001,101.011032258064,1999.98870967741,28.6751548387096,0.0186046899037291
"20221021_QUPH_5",4.18827193008892,215.748675261021,101.289258064516,1999.99580645161,20.480164516129,0.0744537608792093
"20221020_QUPH_6",7.31583100452746,232.502543747381,100.947266666666,2000.004,19.8840966666666,0.0933843372883246
"20221020_ACSA_7",2.66707151281661,274.692679310367,100.930666666666,1999.95833333333,19.9640199999999,0.0476914239598997
"20221020_TITO_8",8.21897077287868,271.864098417967,100.996,1999.99580645161,19.983693548387,0.137871974145761
"20221020_TITO_9",5.08825357740519,225.737467500607,100.870838709677,1999.98806451612,20.0509806451612,0.0652370466681067
"20221021_QUPH_11",6.89578089730202,337.14043472078,101.268258064516,1999.97612903225,20.2149774193548,0.246801813438779
"20221021_CECA_12",5.09157470538118,109.911662345149,101.359612903225,1999.9629032258,20.3329483870967,0.0939891031831974
"20221021_ACRU_13",3.34980849007275,275.70000771898,101.286193548387,1999.99806451612,20.0746064516129,0.0514354556088834
"20221021_QUPA_14",6.90761062097554,315.681258491997,101.262266666666,1999.99033333333,20.17159,0.186357100948835
"20221021_QUPH_15",2.98782823165498,260.972048956982,101.270064516129,1999.97967741935,20.2701419354838,0.046231810374103
"20221021_QUPH_16",1.85736621978722,337.516103391563,101.315099999999,1999.96399999999,19.8429866666666,0.0610521007174587
"20221021_CECA_17",4.05392895919321,211.998015753038,101.412999999999,1999.98709677419,20.3168580645161,0.0565133433911901
"20221020_TITO_18",1.98387376788796,284.015526518239,100.971838709677,2000.00741935483,20.0945354838709,0.0598117352507334
"20221020_ACSA_19",2.5478234578733,140.230271525722,100.759322580645,2000.02709677419,20.0316451612903,0.0316301917059376
"20221021_QUPH_20",7.78443466184319,292.186870920513,101.417548387096,2000.00709677419,19.9554580645161,0.133254912036372
"20221021_QUPA_22",5.78604558015746,262.346313462558,101.363612903225,2000.00548387096,20.2911193548387,0.100204899411799
"20221021_QUPA_23",6.83434321208198,243.021385260249,101.292333333333,2000.01866666666,20.6418166666666,0.12487066297771
"20221020_ACRU_25",6.76278582882751,218.98747564422,100.806258064516,2000.02612903225,19.9359354838709,0.0805818959452914
"20221020_QUPA_26",5.57285043083685,256.378682042823,100.787666666666,1999.99433333333,19.67989,0.0717739297327513
"20221021_ACRU_27",6.91777275618265,249.872894446005,101.3006,2000.00666666666,20.4061866666666,0.111287375522287
"20221021_ACRU_28",5.27537377284886,284.709815486094,101.304766666666,1999.97333333333,20.0193366666666,0.0869479673719048
