SampleID,SampleID_num,record,A,Ci,Patm,Qin,Tleaf
Identifier of the measured leaf,Integer Identifier of the measured leaf,Observation record number,Net CO2 exchange per leaf area,Intercellular CO2 concentration in air,Atmospheric pressure,In chamber photosynthetic flux density incident on the leaf in quanta per area,Leaf surface temperature
,Integer,Integer,micromol m-2 s-1,micromol mol-1,kPa,micromol m-2 s-1,degrees celcius
