SampleID,SampleID_num,Vcmax25,Jmax25,TPU25,Rday25,StdError_Vcmax25,StdError_Jmax25,StdError_TPU25,StdError_Rday25,Tleaf,sigma,AIC,model,Vcmax_method
Identifier of the measured leaf,Integer Identifier of the measured leaf,Maximum rate of carboxylation at the reference temperature 25 degrees celcius calculated assuming infinite mesophyl conductance i.e. apparent Vcmax,Maximum rate of electron transport per leaf area at the reference temperature 25 degrees celcius calculated assuming infinite mesophyll conductance and saturating light, Triose phosphate utilization rate per leaf area at the reference temperature 25 degrees celcius, CO2 release from the leaf in the light at the reference temperature of 25 degrees celcius,Standard error of Vcmax25 estimation,Standard Error of Jmax25 estimation,Standard Error of TPU25 estimation,Standard Error of Rday25 estimation, Leaf surface temperature, standard error of the residuals of the fitted A-Ci curve, Akaike information criterion, Model used for the fitting of the A-Ci curves,Method used to estimate Vcmax. Can be 'A-Ci curve' or 'One point'
,Integer,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,degrees celcius,micromol m-2 s-1,,,
