Column_Names,SampleID,SampleID_num,Dataset,Species,Growth_environment,Plant_type,Vcmax_method,Vcmax25,Jmax25,TPU25,Tleaf,Spectra,LMA,Narea,N,LWC
Definition,Identifier of the measured leaf,Integer Identifier of the measured leaf,Name of the dataset folder,Full species name for example Cecropia insignis,"Growth environment for the measured plant (Natural, Glasshouse, Managed)",Type of plant (Wild or Agricultural),Method used to estimate Vcmax (A-Ci curve or One point),Maximum rate of carboxylation at the reference temperature 25 degrees celcius calculated assuming infinite mesophyl conductance i.e. apparent Vcmax,Maximum rate of electron transport per leaf area at the reference temperature 25 degrees celcius calculated assuming infinite mesophyll conductance and saturating light, Triose phosphate utilization rate per leaf area at the reference temperature 25 degrees celcius,Leaf surface temperature during the gas exchange measurements,Reflectrance spectra from 350 nm to 2500 nm,Leaf mass per surface area,Nitrogen content per surface area,Nitrogen content in percentage of dry mass,Leaf water content
Unit,,Integer,,,,,,micromol m-2 s-1,micromol m-2 s-1,micromol m-2 s-1,Degrees celcius,percent 0 - 100,g m-2,g m-2,percent 0 - 100,percent 0 - 100
