Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
21,12:46:43,504,shade,mature,3,5041.0,0,-0.00526,0.131,96,2.8,2.13,30.78,6,1.42,1,2.84,30.62,30.78,29.94,99.83,99.42,19.424,23.526,43.45,52.63,400.1,2000,11,98.78,6.42,-0.203,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,12:48:43,504,shade,mature,3,5161.0,0,-0.908,0.138,60.4,2.95,2.13,30.85,6,1.42,1,2.84,30.63,30.85,29.94,50.28,51.42,19.364,23.683,43.29,52.94,400.1,2000,11,98.78,5.77,-0.21,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,12:50:43,504,shade,mature,3,5281.0,0,0.259,0.147,92.3,3.1,2.12,30.84,6,1.42,1,2.84,30.61,30.84,29.94,99.47,98.63,19.295,23.840,43.20,53.38,400.1,2001,10,98.77,6.34,-0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,12:52:43,504,shade,mature,3,5401.0,0,1.36,0.153,128,3.18,2.09,30.76,6,1.42,1,2.84,30.57,30.76,29.94,149.92,147.18,19.191,23.850,43.06,53.51,400.1,2000,12,98.77,6.91,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,12:54:43,504,shade,mature,3,5521.0,0,3.44,0.157,200,3.25,2.08,30.72,6,1.42,1,2.84,30.55,30.72,29.93,251.14,244.78,19.118,23.883,42.94,53.64,400.1,2001,14,98.77,7.72,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,12:56:43,504,shade,mature,3,5641.0,0,5.59,0.161,272,3.28,2.06,30.63,6,1.42,1,2.84,30.52,30.63,29.93,350.98,340.91,19.041,23.849,42.83,53.65,400.1,2001,12,98.76,8.24,-0.22,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,12:58:43,504,shade,mature,3,5761.0,0,8.97,0.159,422,3.31,2.09,30.74,6,1.42,1,2.84,30.53,30.74,29.94,549.38,533.28,19.004,23.847,42.74,53.63,400.1,2000,18,98.76,8.79,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,13:00:43,504,shade,mature,3,5881.0,0,11.6,0.162,585,3.31,2.06,30.62,6,1.42,1,2.84,30.51,30.62,29.94,749.42,728.38,18.995,23.836,42.77,53.67,400.1,2001,21,98.75,8.51,-0.22,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,13:02:46,504,shade,mature,3,6004.0,0,13.2,0.162,809,3.28,2.04,30.53,6,1.42,1,2.84,30.50,30.53,29.94,1000.72,976.08,19.001,23.800,42.80,53.61,400.1,2000,39,98.74,7.46,-0.214,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,13:04:46,504,shade,mature,3,6124.0,0,14,0.161,1.04E+03,3.26,2.05,30.55,6,1.42,1,2.84,30.49,30.55,29.94,1249.09,1222.07,19.027,23.807,42.87,53.64,400.1,2000,31,98.74,5.63,-0.219,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,13:06:58,504,shade,mature,3,6256.0,0,14.6,0.161,1.27E+03,3.29,2.05,30.61,6,1.42,1,2.84,30.53,30.61,29.94,1499.79,1470.70,19.083,23.898,42.89,53.71,400.1,1999,75,98.73,3.06,-0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,13:08:58,504,shade,mature,3,6376.0,0,15.4,0.159,1.5E+03,3.27,2.06,30.67,6,1.42,1,2.84,30.53,30.67,29.94,1750.86,1719.35,19.154,23.941,43.05,53.81,400.1,2001,62,98.72,-0.161,-0.21,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,13:10:59,504,shade,mature,3,6497.5,0,15.4,0.155,1.74E+03,3.19,2.08,30.70,6,1.42,1,2.84,30.54,30.70,29.94,2000.28,1967.77,19.212,23.889,43.17,53.68,400.1,2000,9,98.72,-3.99,-0.214,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,13:13:01,504,shade,mature,3,6619.5,0,15.8,0.151,1.97E+03,3.13,2.07,30.67,6,1.42,1,2.84,30.52,30.67,29.94,2249.52,2215.46,19.253,23.830,43.31,53.60,400.1,2000,10,98.72,-8.53,-0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
