Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
18,11:32:59,500,shade,old,2,5107.5,0,-0.57,0.00602,195,0.169,2.7,31.65,6,1.42,1,2.84,30.41,31.65,30.13,48.34,49.18,19.658,19.907,44.81,45.38,399.1,1501,5,99.41,1.86,0.184,1,-0.22,2.74,1,0,0.16,111135,OK
19,11:35:55,500,shade,old,2,5284,0,-0.43,0.00632,203,0.178,2.7,31.65,6,1.42,1,2.84,30.42,31.65,30.13,100.57,101.19,19.633,19.895,44.73,45.32,399.1,1501,4,99.41,1.4,0.187,0.8,-0.22,2.74,1,0,0.16,111115,OK
20,11:44:12,500,shade,old,2,5781,0,-0.0672,0.00709,254,0.201,2.72,31.71,6,1.42,1,2.84,30.44,31.71,30.12,250.34,250.37,19.56,19.855,44.5,45.17,398.9,1502,3,99.39,-0.446,0.196,0.8,-0.22,2.74,1,0,0.16,111115,OK
21,11:46:36,500,shade,old,2,5925,0,0.222,0.0073,287,0.207,2.73,31.73,6,1.42,1,2.84,30.43,31.73,30.13,350.3,349.86,19.574,19.878,44.54,45.23,399.2,1500,4,99.39,-1.93,0.191,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,11:52:20,500,shade,old,2,6269,0,0.647,0.00764,393,0.215,2.71,31.67,6,1.42,1,2.84,30.41,31.67,30.13,550.63,549.48,19.557,19.874,44.56,45.29,399,1500,3,99.38,-5.68,0.205,0.5,-0.22,2.74,1,0,0.16,111115,OK
23,11:55:45,500,shade,old,2,6473.5,0,1.33,0.00746,436,0.211,2.72,31.71,6,1.42,1,2.84,30.43,31.71,30.13,750.23,748,19.57,19.88,44.55,45.26,399.1,1500,3,99.38,-10,0.207,0.5,-0.22,2.74,1,0,0.16,111115,OK
24,11:58:35,500,shade,old,2,6642.5,0,1.85,0.00745,563,0.21,2.71,31.69,6,1.42,1,2.84,30.42,31.69,30.13,1000.03,996.93,19.575,19.884,44.57,45.27,399.2,1500,3,99.38,-15.7,0.214,0.2,-0.22,2.74,1,0,0.16,111115,OK
25,12:06:02,500,shade,old,2,7090,0,2.13,0.00678,654,0.191,2.7,31.64,6,1.42,1,2.84,30.43,31.64,30.13,1203.07,1199.52,19.596,19.877,44.6,45.24,398.8,1500,3,99.37,-20.8,0.156,0.5,-0.22,2.74,1,0,0.16,111115,OK
26,12:09:24,500,shade,old,2,7292.5,0,2.89,0.00679,761,0.191,2.71,31.69,6,1.42,1,2.84,30.45,31.69,30.13,1499.75,1494.97,19.623,19.905,44.6,45.24,399.1,1501,3,99.36,-28.5,0.155,0.5,-0.22,2.74,1,0,0.16,111115,OK
27,12:12:17,500,shade,old,2,7466,0,3.88,0.00713,1.05E+03,0.201,2.72,31.71,6,1.42,1,2.84,30.45,31.71,30.13,2001.42,1995,19.62,19.916,44.58,45.25,400,1500,3,99.35,-42.6,0.16,0.5,-0.22,2.74,1,0,0.16,111115,OK
28,12:14:53,500,shade,old,2,7622,0,4,0.00685,1.27E+03,0.194,2.73,31.72,6,1.42,1,2.84,30.46,31.72,30.13,2299.9,2293.23,19.586,19.871,44.49,45.14,400,1499,3,99.35,-51.2,0.162,0.2,-0.22,2.74,1,0,0.16,111115,OK
