Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,10:23:37,9,sun,young,2,3035.5,0,1.37,0.0752,257,1.78,2.34,30.04,6,1.42,1,2.84,30.04,30.04,30.13,299.46,297.18,17.264,19.358,40.27,45.15,499.5,1000,4,99.6,-4.79,0.0719,1,-0.22,2.74,1,0,0.16,111115,OK
15,10:26:06,9,sun,young,2,3184.5,0,0.542,0.0731,178,1.74,2.35,30.05,6,1.42,1,2.84,30.04,30.05,30.13,198.99,197.93,17.254,19.3,40.25,45.03,499.3,1000,4,99.6,-2.97,0.0698,1,-0.22,2.74,1,0,0.16,111115,OK
16,10:28:35,9,sun,young,2,3333.5,0,-0.422,0.0716,105,1.71,2.36,30.07,6,1.42,1,2.84,30.04,30.07,30.13,99.02,99.32,17.254,19.266,40.24,44.93,499.5,1000,7,99.6,-1.39,0.0677,1,-0.22,2.74,1,0,0.16,111115,OK
17,10:31:04,9,sun,young,2,3483,0,-0.981,0.0709,70.5,1.7,2.36,30.09,6,1.42,1,2.84,30.04,30.09,30.13,49.21,50.28,17.259,19.256,40.25,44.91,499.5,1000,7,99.6,-0.789,0.0669,1,-0.22,2.74,1,0,0.16,111115,OK
18,10:33:33,9,sun,young,2,3631.5,0,0.708,0.0705,176,1.68,2.36,30.07,6,1.42,1,2.84,30.04,30.07,30.13,201.49,200.23,17.275,19.258,40.3,44.93,499.5,1000,7,99.6,-2.98,0.0708,1,-0.22,2.74,1,0,0.16,111115,OK
19,10:36:02,9,sun,young,2,3780.5,0,2.5,0.0692,324,1.66,2.37,30.09,6,1.42,1,2.84,30.04,30.09,30.13,400.78,396.99,17.301,19.252,40.35,44.9,499.4,1000,6,99.6,-6.95,0.0807,1,-0.22,2.74,1,0,0.16,111115,OK
20,10:38:31,9,sun,young,2,3929.5,0,3.8,0.0672,480,1.61,2.37,30.1,6,1.42,1,2.84,30.04,30.1,30.13,599.03,593.31,17.305,19.208,40.36,44.79,499.4,1000,6,99.6,-11.5,0.0836,1,-0.22,2.74,1,0,0.16,111115,OK
21,10:41:00,9,sun,young,2,4078.5,0,4.95,0.0655,641,1.58,2.38,30.13,6,1.42,1,2.84,30.05,30.13,30.13,799.66,792.21,17.325,19.188,40.38,44.72,499.5,1000,7,99.59,-16.7,0.0852,1,-0.22,2.74,1,0,0.16,111115,OK
22,10:43:29,9,sun,young,2,4227.5,0,5.78,0.064,808,1.55,2.39,30.17,6,1.42,1,2.84,30.05,30.17,30.13,1000.04,991.26,17.388,19.213,40.52,44.77,499.5,1000,7,99.59,-22.1,0.0857,1,-0.22,2.74,1,0,0.16,111115,OK
23,10:45:58,9,sun,young,2,4376.5,0,6.38,0.064,985,1.55,2.39,30.17,6,1.42,1,2.84,30.05,30.17,30.13,1200.32,1190.44,17.429,19.251,40.62,44.87,499.5,1000,6,99.59,-27.7,0.0993,1,-0.22,2.74,1,0,0.16,111115,OK
24,10:49:21,9,sun,young,2,4579.5,0,7.48,0.0629,1.72E+03,1.52,2.39,30.21,6,1.42,1,2.84,30.06,30.21,30.13,1999.26,1986.64,17.506,19.301,40.77,44.95,499.5,1000,6,99.59,-51.8,0.0982,1,-0.22,2.74,1,0,0.16,111115,OK
