Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
22,07:23:40,118,sun,old,2,3737.5,0,-0.567,0.0364,74.9,0.906,2.43,30.63,6,1.25,1,2.5,29.65,30.63,29.55,51.46,52.24,18.651,19.985,44.39,47.56,399.5,2000,7,99.39,6.17,0.265,0.8,-0.207,2.49,1.00,0.00,0.16,111134,OK
23,07:25:26,118,sun,old,2,3843.0,0,-0.101,0.0391,99.9,0.962,2.41,30.57,6,1.25,1,2.5,29.65,30.57,29.55,99.72,99.72,18.666,20.081,44.42,47.79,399.5,2000,10,99.39,6.15,0.264,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
24,07:26:59,118,sun,old,2,3936.0,0,0.511,0.041,123,1.01,2.4,30.58,6,1.25,1,2.5,29.66,30.58,29.55,150.08,149.09,18.694,20.174,44.48,48.00,399.5,2000,11,99.38,6.09,0.221,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
25,07:29:05,118,sun,old,2,4062.0,0,1.78,0.0446,175,1.08,2.37,30.53,6,1.25,1,2.5,29.66,30.53,29.55,251.09,248.01,18.721,20.313,44.53,48.32,399.5,2000,8,99.38,5.77,0.223,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
26,07:30:46,118,sun,old,2,4163.0,0,3.09,0.0473,229,1.14,2.36,30.52,6,1.25,1,2.5,29.66,30.52,29.55,351.69,346.46,18.745,20.421,44.58,48.56,399.6,1999,9,99.38,5.23,0.217,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
27,07:32:38,118,sun,old,2,4275.0,0,5.74,0.0506,340,1.21,2.35,30.55,6,1.25,1,2.5,29.67,30.55,29.55,551.50,541.89,18.769,20.553,44.62,48.87,399.6,1999,8,99.37,3.81,0.222,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
28,07:34:30,118,sun,old,2,4387.5,0,8.44,0.0536,456,1.28,2.34,30.55,6,1.25,1,2.5,29.66,30.55,29.55,750.41,736.32,18.779,20.659,44.65,49.13,399.5,2000,8,99.37,1.89,0.22,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
29,07:36:18,118,sun,old,2,4495.0,0,11,0.0563,584,1.34,2.34,30.56,6,1.25,1,2.5,29.66,30.56,29.55,950.46,932.07,18.790,20.759,44.69,49.37,399.5,2000,8,99.37,-0.325,0.218,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
30,07:38:14,118,sun,old,2,4611.0,0,13.2,0.0597,734,1.4,2.31,30.50,6,1.25,1,2.5,29.66,30.50,29.55,1151.46,1129.33,18.802,20.862,44.72,49.63,399.4,2000,9,99.37,-2.8,0.216,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
34,07:44:24,118,sun,old,2,4981.0,0,18.2,0.0685,1.47E+03,1.57,2.27,30.45,6,1.25,1,2.5,29.66,30.45,29.55,2000.30,1968.29,18.852,21.166,44.84,50.35,399.4,1999,14,99.37,-15.4,0.224,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
