Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,11:24:52,9,shade,mature,4,403.0,0,-0.566,0.0269,80.9,0.918,3.31,31.57,6,1.42,1,2.84,30.36,31.57,30.13,49.85,50.63,12.240,13.599,27.90,30.99,400.0,2001,11,99.15,2.28,0.0543,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
4,11:26:51,9,shade,mature,4,521.5,0,-0.0544,0.0328,96.4,1.1,3.28,31.55,6,1.42,1,2.84,30.37,31.55,30.13,99.10,99.01,12.271,13.906,27.96,31.68,400.0,2000,12,99.15,1.91,0.0476,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:28:50,9,shade,mature,4,640.5,0,0.561,0.0396,119,1.32,3.25,31.58,6,1.42,1,2.84,30.39,31.58,30.13,150.51,149.37,12.307,14.261,28.01,32.46,400.0,1999,12,99.15,1.32,0.048,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:30:49,9,shade,mature,4,760.0,0,1.92,0.0463,170,1.53,3.22,31.59,6,1.42,1,2.84,30.40,31.59,30.13,251.65,248.20,12.337,14.592,28.06,33.19,400.0,1999,9,99.15,-0.0494,0.0401,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:32:48,9,shade,mature,4,878.5,0,3.15,0.0507,230,1.66,3.2,31.58,6,1.42,1,2.84,30.40,31.58,30.13,351.60,346.01,12.358,14.808,28.10,33.67,400.0,2001,10,99.15,-1.69,0.0399,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,11:34:47,9,shade,mature,4,997.5,0,5.06,0.0514,358,1.68,3.19,31.58,6,1.42,1,2.84,30.40,31.58,30.13,551.30,542.34,12.367,14.843,28.13,33.76,400.0,2001,10,99.14,-5.62,0.044,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:36:47,9,shade,mature,4,1117.5,0,6.28,0.0475,492,1.56,3.21,31.59,6,1.42,1,2.84,30.40,31.59,30.13,750.60,739.45,12.379,14.686,28.14,33.39,400.0,2001,12,99.13,-10.2,0.0429,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:38:48,9,shade,mature,4,1238.5,0,7.11,0.0412,664,1.37,3.24,31.59,6,1.42,1,2.84,30.40,31.59,30.13,1000.63,987.95,12.386,14.410,28.16,32.76,400.1,2001,14,99.13,-16.4,0.0538,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:40:47,9,shade,mature,4,1357.5,0,7.71,0.0346,821,1.17,3.27,31.62,6,1.42,1,2.84,30.41,31.62,30.13,1250.53,1236.79,12.396,14.120,28.17,32.09,400.0,2000,10,99.13,-23.3,0.0592,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,11:42:53,9,shade,mature,4,1483.5,0,8.31,0.0285,948,0.969,3.3,31.63,6,1.42,1,2.84,30.41,31.63,30.13,1500.82,1486.19,12.403,13.837,28.18,31.44,400.0,2000,12,99.12,-30.4,0.065,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,11:45:02,9,shade,mature,4,1613.0,0,8.81,0.0236,1.06E+03,0.815,3.35,31.73,6,1.42,1,2.84,30.44,31.73,30.13,1750.72,1735.39,12.410,13.615,28.16,30.89,400.1,2000,14,99.12,-37.8,0.0744,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,11:47:03,9,shade,mature,4,1733.5,0,8.87,0.0197,1.17E+03,0.689,3.38,31.76,6,1.42,1,2.84,30.45,31.76,30.13,2001.03,1985.67,12.428,13.447,28.17,30.48,400.0,2000,9,99.12,-45.5,0.0828,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,11:49:12,9,shade,mature,4,1862.5,0,9.11,0.0169,1.27E+03,0.597,3.41,31.82,6,1.42,1,2.84,30.46,31.82,30.13,2249.82,2234.14,12.427,13.310,28.16,30.17,400.0,2000,9,99.11,-53.5,0.0851,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
