Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,12:23:22,caferana,shade,old,4,3236,0,-0.0667,0.047,97,1.27,2.61,32,6,1.42,1,2.84,30.27,32,29.94,99.03,98.94,20.003,21.861,45.75,50,400.1,1501,27,98.96,5.19,-0.232,0.8,-0.22,2.74,1,0,0.16,111115,OK
18,12:25:21,caferana,shade,old,4,3354.5,0,-0.525,0.0483,65.5,1.29,2.59,31.93,6,1.42,1,2.84,30.25,31.93,29.94,49.68,50.37,19.971,21.862,45.73,50.06,400.1,1501,21,98.96,4.62,-0.228,0.8,-0.22,2.74,1,0,0.16,111115,OK
19,12:27:20,caferana,shade,old,4,3473.5,0,0.0693,0.0507,92.6,1.35,2.59,31.91,6,1.42,1,2.84,30.24,31.91,29.94,99.25,98.94,19.886,21.864,45.55,50.08,400.1,1500,26,98.96,5.22,-0.23,0.8,-0.22,2.74,1,0,0.16,111115,OK
20,12:29:19,caferana,shade,old,4,3592.5,0,0.839,0.0526,117,1.4,2.58,31.89,6,1.42,1,2.84,30.23,31.89,29.94,150.43,148.86,19.807,21.855,45.4,50.1,400,1501,41,98.96,5.58,-0.236,0.8,-0.22,2.74,1,0,0.16,111115,OK
21,12:31:36,caferana,shade,old,4,3729.5,0,2.2,0.0558,174,1.47,2.57,31.88,6,1.42,1,2.84,30.25,31.88,29.94,250.68,246.84,19.767,21.928,45.27,50.22,400.1,1500,40,98.95,6.08,-0.231,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,12:33:35,caferana,shade,old,4,3849,0,3.5,0.0579,234,1.53,2.58,31.9,6,1.42,1,2.84,30.25,31.9,29.94,350.57,344.53,19.709,21.956,45.12,50.27,400.1,1499,35,98.95,6.52,-0.232,0.8,-0.22,2.74,1,0,0.16,111115,OK
23,12:35:34,caferana,shade,old,4,3967.5,0,6.08,0.0595,355,1.56,2.55,31.83,6,1.42,1,2.84,30.24,31.83,29.94,550.3,539.92,19.687,21.975,45.09,50.34,400,1500,18,98.95,6.57,-0.232,1,-0.22,2.74,1,0,0.16,111115,OK
24,12:37:33,caferana,shade,old,4,4086.5,0,8.29,0.0596,484,1.55,2.54,31.78,6,1.42,1,2.84,30.22,31.78,29.94,750.96,736.81,19.695,21.974,45.16,50.39,400.1,1500,23,98.95,6.1,-0.225,0.8,-0.22,2.74,1,0,0.16,111115,OK
25,12:39:36,caferana,shade,old,4,4209.5,0,9.75,0.0571,670,1.5,2.55,31.78,6,1.42,1,2.84,30.22,31.78,29.94,1000.73,983.89,19.663,21.856,45.09,50.12,400.1,1500,46,98.94,4.55,-0.221,0.5,-0.22,2.74,1,0,0.16,111115,OK
26,12:41:43,caferana,shade,old,4,4336.5,0,10.1,0.0518,868,1.37,2.58,31.81,6,1.42,1,2.84,30.21,31.81,29.94,1249.69,1231.93,19.649,21.666,45.07,49.7,400.1,1501,27,98.94,2.22,-0.212,0.8,-0.22,2.74,1,0,0.16,111115,OK
27,12:43:54,caferana,shade,old,4,4468,0,9.96,0.0477,1.09E+03,1.28,2.6,31.84,6,1.42,1,2.84,30.22,31.84,29.94,1501,1483.21,19.627,21.504,45.01,49.31,400.1,1500,23,98.93,-0.854,-0.208,0.8,-0.22,2.74,1,0,0.16,111115,OK
28,12:45:54,caferana,shade,old,4,4587.5,0,9.21,0.0445,1.33E+03,1.2,2.62,31.85,6,1.42,1,2.84,30.21,31.85,29.94,1749.31,1732.37,19.647,21.411,45.07,49.12,400.1,1500,29,98.92,-4.31,-0.206,0.8,-0.22,2.74,1,0,0.16,111115,OK
29,12:47:58,caferana,shade,old,4,4711.5,0,9.07,0.0419,1.55E+03,1.14,2.64,31.91,6,1.42,1,2.84,30.22,31.91,29.94,1999.81,1982.81,19.697,21.372,45.16,49,400,1500,41,98.92,-8.52,-0.204,0.8,-0.22,2.74,1,0,0.16,111115,OK
30,12:50:10,caferana,shade,old,4,4843.5,0,9.23,0.0395,1.77E+03,1.08,2.66,31.95,6,1.42,1,2.84,30.23,31.95,29.94,2249.66,2232.19,19.694,21.286,45.11,48.76,400.1,1499,44,98.92,-13.3,-0.203,0.8,-0.22,2.74,1,0,0.16,111115,OK
