date,SampleID,TreeID,Tair,Tleaf,RH,wind_speed,PARout,PARset,clamp_record,comment
20240829,LMF24001,186M,29.3,29.8,87.3,0,650,1800,11,N/A
20240829,LMF24003,186M,31.8,28.9,72.3,0,533,400,8,N/A
20240829,LMF24004,184J,32.4,32.3,69.3,0,610,400,7,N/A
20240829,LMF24005,184J,33.2,31.1,75.2,0,522,1800,6,N/A
20240829,LMF24006,317,32.4,33.1,72.3,0,731,400,7,N/A
20240829,LMF24007,317,32.5,31.2,68.9,0,1110,1800,10,N/A
20240829,LMF24008,275E,32.5,31.1,69.7,0,189,1800,6,N/A
20240829,LMF24009,275E,32.5,30.5,69.7,0,96,400,7,battery died before I've close the file
20240829,LMF24010,165MA,31.1,29.1,74.5,0,185,400,5,N/A
20240829,LMF24011,165MA,31.1,30.4,74.2,0,106,1800,3,"I removed the leaf before closing the file, log ending 415"
20240829,LMF24012,Cecropia,33.1,33.7,81.4,0,300,400,6,N/A
20240829,LMF24013,Cecropia,32,31,70.7,0,290,1800,6,N/A
20240829,LMF24014,Cecropia,31.8,N/A,72.9,0,0,0,8,N/A
20240829,LMF24015,165MA,30.7,N/A,71.5,0,0,0,6,N/A
20240829,LMF24016,275E,29.8,N/A,71.9,0,0,0,14,N/A
20240829,LMF24029,176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240829,LMF24027,184J,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240829,LMF24028,3X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240830,LMF24017,317,27.3,28.6,82.9,0,90,1800,11,N/A
20240830,LMF24018,317,27.3,28.6,82.9,0,90,400,7,N/A
20240830,LMF24019,317,29.3,30.2,82.4,0,70,1800,5,N/A
20240830,LMF24020,324,31.8,38.3,69.6,0,1320,1800,8,N/A
20240830,LMF24021,324,31.8,32.5,69.6,0,244,400,37,"first leaf was ripped, the second was selected in following"
20240830,LMF24022,176YC,32.2,31.7,67.1,0,153,1800,4,N/A
20240830,LMF24023,176YC,32.2,32,67.1,0,15,400,7,N/A
20240830,LMF24024,165MA,33.1,33.5,69.4,0,616,1800,4,N/A
20240830,LMF24025,165MA,33.1,32.6,69.4,0,1100,400,6,N/A
20240830,LMF24026,Cecropia,33.9,43.1,51.7,0,1200,1800,5,N/A
20240830,LMF24036,Cecropia,33.9,42.4,51.7,0,1200,400,8,N/A
20240830,LMF24100,276C,33.7,31.4,57.8,0,100,1800,6,N/A
20240830,LMF24101,276C,33.9,31.3,59.1,0,100,400,9,N/A
20240830,LMF24102,275E,33.2,32.5,52.2,0,50,1800,8,leaves with old aspect.
20240830,LMF24103,275E,33.2,32.1,52.2,0,27,400,26,N/A
20240830,LMF24104,276C,32.9,N/A,53.6,0,0,0,6,N/A
20240830,LMF24105,186M,32.9,N/A,53.8,0,0,0,3,N/A
20240830,LMF24030,185X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240830,LMF24031,317M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240903,LMF24033,185X,33.1,31.7,63.6,0,80,1800,5,N/A
20240903,LMF24034,185X,33.1,32,63.6,0,55,400,6,N/A
20240903,LMF24035,176,34.9,34.2,61.6,0.7,1108,1800,3,N/A
20240903,LMF24107,176,34.9,33.3,61.6,0.7,559,400,4,N/A
20240903,LMF24108,317M,33,33.9,56.2,0,100,1800,4,leaf ripped before we close the file
20240903,LMF24109,317M,33,33.8,56.2,0,56,400,53,"Leaf broke during measurements, we clamp a new leaf"
20240903,LMF24112,184J,32.6,N/A,62.4,0,0,0,6,N/A
20240903,LMF24113,317,31.5,N/A,66.2,0,0,0,3,N/A
20240904,LMF24114,Byrsonima,30.1,31.3,77,0,589,1800,6,N/A
20240904,LMF24115,Byrsonima,30.1,31.9,77,0,988,400,6,N/A
20240904,LMF24116,Bellu_2,33.4,34.6,70,0,580,1800,8,N/A
20240904,LMF24117,Bellu_2,33.4,39,70,0,1180,400,6,N/A
20240904,LMF24118,Bellu_2,34.3,43.2,61.7,0,1456,1800,6,N/A
20240904,LMF24119,420X,34.5,35.7,58.7,0,1452,400,24,N/A
20240904,LMF24120,420X,34.5,35.5,58.7,0,1350,1800,15,N/A
20240904,LMF24121,420X,35.2,37.2,52.4,0.6,1450,1800,13,leaf broke before we close the file
20240904,LMF24122,3X,34.6,33.3,56.8,0,85,400,9,N/A
20240904,LMF24123,3X,34.6,34.1,56.8,0,100,1800,106,"Leaf broke during measurements, we clamp a new leaf"
20240904,LMF24124,168X,34.9,32.1,57,0,50,400,17,N/A
20240904,LMF24125,3X,34.9,33.7,53.1,0,70,1800,16,N/A
20240904,LMF24126,168X,31.9,31.9,53.3,0,50,1800,10,N/A
20240904,LMF24106,Bellu_2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240904,LMF24131,420X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240904,LMF24130,Byrsonima,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240904,LMF24127,176YC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240904,LMF24128,324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20240924,LMF24075,384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
