Sample_ID,Obs,HHMMSS,FTime,EBal,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
15054,2,7:34:44,5541.000009,0,6.440732614,0.055895403,205.7956589,1,1,0,0,301.2219238,461.3606873,395.2926331,#DIV/0!,0.347101016,0.143202609,-1,0.87,0.92,10.00962067,0.87500481,0.005662283,0.412567531,1.531630505,-1,1501.805542,0.5,94.09034882,0.711490341,1.250185855,26.71735954,2,4.644859791,1,9.289719582,24.82438278,26.71735954,25.02588844,399.9715576,397.2836914,22.30364227,22.58165741,71.25421906,72.14240265,500.2775879,1501.805542,4.66385603,100.5235291,-1.778922915,-0.63606292,0.049483538,0.001418133,0.085718937,0.001945529,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501387939,0.00071149,299.8673595,297.9743828,240.2888813,0.714124586,3.520173749,35.01840597,12.43674856,25.77087116,3.32877918,0.055561097,2.269987895,1.058791285,0.034755567,20.68730589,0.518006813,63.65065909,396.3477117,0.010343364,0,1314.087073,160.1387634,0.143202609,#DIV/0!
15054,3,7:36:23,5640.000009,0,4.276389354,0.053836856,165.5198669,2,2,0,0,297.0131836,450.8232117,388.8480225,#DIV/0!,0.341175929,0.137471159,-1,0.87,0.92,10.00962067,0.87500481,0.004015675,0.402933346,1.517855895,-1,1501.647095,0.5,90.31500656,0.686135673,1.251463647,26.69915199,2,4.644859791,1,9.289719582,24.82090569,26.69915199,25.02538109,299.7828979,297.9916382,22.26421928,22.53232765,71.14022064,71.99690247,500.3017578,1501.647095,4.556203842,100.5195541,-1.465907216,-0.639277935,0.071573347,0.000955143,0.074628383,0.00282072,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501508789,0.000686136,299.849152,297.9709057,240.2635298,0.718956846,3.516403176,34.98227988,12.44995223,25.76002884,3.326640445,0.053526652,2.264939529,1.061700916,0.03348189,16.63798323,0.555451381,63.56806819,297.370185,0.009141529,0,1313.948431,153.8100281,0.137471159,#DIV/0!
15054,4,7:37:52,5729.000009,0,3.383198305,0.055013256,145.6691074,3,3,0,0,296.6179199,445.000885,388.1022339,#DIV/0!,0.333444202,0.127861883,-1,0.87,0.92,10.00962067,0.87500481,0.003335723,0.383458108,1.500249496,-1,1501.726074,0.5,84.00637844,0.702123235,1.253472505,26.69805717,2,4.644859791,1,9.289719582,24.82077599,26.69805717,25.02556229,250.0329742,248.6107483,22.2346859,22.50904465,71.04969788,71.92639923,500.3078003,1501.726074,4.557269096,100.5242157,-1.271895528,-0.640422821,0.049061958,0.000807027,0.05428898,0.001310083,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501539001,0.000702123,299.8480572,297.970776,240.2761665,0.716357598,3.516176564,34.97840336,12.46935872,25.75941658,3.326519708,0.054689388,2.262704059,1.063815649,0.034209818,14.64327277,0.58593246,63.51233986,248.1190954,0.008660149,0,1314.017539,148.3829651,0.127861883,#DIV/0!
15054,5,7:39:21,5818.000009,0,1.758108468,0.061362399,124.9990943,4,4,0,0,296.3461914,442.2328186,388.2779541,#DIV/0!,0.329886478,0.122005564,-1,0.87,0.92,10.00962067,0.87500481,0.002098983,0.369841058,1.492284468,-1,1501.730469,0.5,80.1589601,0.780193231,1.249766971,26.676548,2,4.644859791,1,9.289719582,24.82530212,26.676548,25.02519035,174.9176788,174.1604919,22.19404221,22.49893379,70.90920258,71.88331604,500.2694397,1501.730469,4.45817852,100.5363235,-1.031989932,-0.63654089,0.022613386,0.003628663,0.033610936,0.001843511,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501347198,0.000780193,299.826548,297.9753021,240.2768696,0.704378194,3.511727058,34.92993312,12.43099933,25.75092506,3.32484558,0.060959735,2.261960087,1.062885493,0.038135808,12.56694938,0.717723594,63.59994047,173.9050002,0.006429694,0,1314.021384,145.8866272,0.122005564,#DIV/0!
15054,6,7:41:09,5926.000009,0,0.563469575,0.068566391,108.7096112,5,5,0,0,295.9467773,440.1983032,388.8618469,#DIV/0!,0.327696688,0.116621204,-1,0.87,0.92,10.00962067,0.87500481,0.0011898,0.355881548,1.487423878,-1,1501.775757,0.5,76.6236889,0.869330927,1.247236538,26.66853333,2,4.644859791,1,9.289719582,24.82153511,26.66853333,25.02580261,124.5883102,124.3198395,22.16742134,22.50714111,70.84160614,71.92726135,500.2739563,1501.775757,4.575030804,100.5384827,-0.95294404,-0.638984382,0.095240675,0.00342759,0.100166276,0.003206419,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501369781,0.000869331,299.8185333,297.9715351,240.2841157,0.689597556,3.510070354,34.91270468,12.40556357,25.74503422,3.323684614,0.068064018,2.262833817,1.060850797,0.042584863,10.92949936,0.874434939,63.68464082,124.237955,0.002888357,0,1314.061011,144.2515259,0.116621204,#DIV/0!
15054,7,7:42:54,6031.000009,0,-0.037185531,0.076547746,74.28210051,6,6,0,0,295.9511719,436.9592285,389.9916687,#DIV/0!,0.322703006,0.107487282,-1,0.87,0.92,10.00962067,0.87500481,0.000732715,0.333084229,1.476457166,-1,1501.747925,0.5,70.62111441,0.967055738,1.243668953,26.65514565,2,4.644859791,1,9.289719582,24.82118988,26.65514565,25.02500534,75.03308868,75.01895142,22.14042282,22.51833344,70.74667358,71.95423126,500.2660522,1501.747925,4.518099785,100.5241165,-0.973139822,-0.643447399,0.01538516,0.004476606,0.032475859,0.003326503,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501330261,0.000967056,299.8051456,297.9711899,240.2796626,0.673715499,3.507304527,34.89018007,12.37184664,25.73816776,3.322331823,0.075922144,2.263635574,1.058696249,0.047507153,7.467142527,0.990177803,63.79105368,75.02435529,-0.000316178,0,1314.036658,141.0080566,0.107487282,#DIV/0!
15054,8,7:44:23,6120.000009,0,-0.771336874,0.082863457,64.26723779,7,7,0,0,295.4973145,434.0186462,390.2130737,#DIV/0!,0.319159863,0.100930163,-1,0.87,0.92,10.00962067,0.87500481,0.000174022,0.316237015,1.468773573,-1,1501.696167,0.5,66.31068126,1.03490616,1.23008592,26.59432411,2,4.644859791,1,9.289719582,24.81952858,26.59432411,25.02536201,50.12692642,50.4144249,22.12966156,22.53406143,70.70245361,71.99447632,500.2897339,1501.696167,4.772193432,100.5001755,-0.992142141,-0.647585571,0.014017652,0.000880354,0.015326031,0.001983837,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501448669,0.001034906,299.7443241,297.9695286,240.2713813,0.664904651,3.494763048,34.77370096,12.23963953,25.70692635,3.31618288,0.082130857,2.264677128,1.051505752,0.051397106,6.458868675,1.274778755,64.08407872,50.52651706,-0.009783064,0,1313.99137,138.5213318,0.100930163,#DIV/0!
15054,12,7:50:58,6515.000009,0,7.863953458,0.056174936,239.2240025,11,11,0,0,293.5754395,447.0814819,382.1006165,#DIV/0!,0.343351377,0.145344569,-1,0.87,0.92,10.00962067,0.87500481,0.006746305,0.42331145,1.522884485,-1,1501.588989,0.5,95.48393964,0.725599282,1.268453663,26.73839188,2,4.644859791,1,9.289719582,24.82562828,26.73839188,25.02390099,475.0340271,471.7532959,22.16452789,22.44809914,70.78939056,71.69506073,500.2700195,1501.588989,4.672996521,100.5020523,-2.222084522,-0.629714072,0.051284906,0.000757142,0.075715005,0.000785741,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501350098,0.000725599,299.8883919,297.9756283,240.2542329,0.710732648,3.524533696,35.06927088,12.62117174,25.78201008,3.330977671,0.055837288,2.256080034,1.074897637,0.034928484,24.04250321,0.507095562,63.1678118,470.610491,0.010555411,0,1313.897589,153.5060425,0.145344569,#DIV/0!
15054,13,7:52:53,6630.000009,0,9.564797905,0.04949694,251.8403183,12,12,0,0,293.2397461,451.5809631,381.8031311,#DIV/0!,0.350637494,0.154518985,-1,0.87,0.92,10.00962067,0.87500481,0.008042723,0.440680155,1.53997188,-1,1501.231323,0.5,101.4868818,0.642122331,1.273126591,26.74813271,2,4.644859791,1,9.289719582,24.82866859,26.74813271,25.02492905,574.9840088,571.0140381,22.16974068,22.42066574,70.7964859,71.59779358,500.329071,1501.231323,4.619292736,100.5067368,-2.8985219,-0.630338848,0.113755696,0.001805966,0.131521329,0.001836873,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501645355,0.000642122,299.8981327,297.9786686,240.1970063,0.724260346,3.526554541,35.08774292,12.66707718,25.78840065,3.332239552,0.049234611,2.25342795,1.078811603,0.030795093,25.31164858,0.441040503,63.02705942,569.6240632,0.010583139,0,1313.584629,158.341217,0.154518985,#DIV/0!
15054,14,7:54:41,6738.000009,0,11.1604263,0.048186552,288.2526428,13,13,0,0,295.1555176,457.2950745,382.44104,#DIV/0!,0.35456222,0.163688696,-1,0.87,0.92,10.00962067,0.87500481,0.009257496,0.461664235,1.549336019,-1,1501.22168,0.5,107.5087869,0.62453937,1.271804298,26.74109268,2,4.644859791,1,9.289719582,24.83350182,26.74109268,25.02548981,675.0863037,670.4572144,22.17463112,22.41871071,70.79350281,71.57273865,500.2778015,1501.22168,4.780717373,100.5093307,-3.491573095,-0.628418267,0.294609964,0.00160879,0.280711979,0.002464486,1,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501389008,0.000624539,299.8910927,297.9835018,240.1954634,0.727738449,3.525093907,35.07230504,12.65359433,25.78729725,3.332021645,0.047937894,2.25328961,1.078732035,0.029983426,28.97208022,0.429934434,63.045302,668.8353596,0.010519965,0,1313.576191,162.1395569,0.163688696,#DIV/0!
