no,sample,Species,Plant_type,Sun_Shade,Phenological_stage,Soil,photosynthesis,conditions,experiment,Site_name,FieldSpec file,FieldSpec_original,FieldSpec_original_splice_corrected,Li6400 file,LWC,CN Ratio,N%,C%,13C
46,B22,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low nitrogen,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400404.asd.txt,ExpUrteAugust201400404.asd,ExpUrteAugust201400404.asd.sco,August2014_B22_.csv,78.07807808,26.0726,1.5,39.11,-31.87426356
47,B23,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400449.asd.txt,ExpUrteAugust201400449.asd,ExpUrteAugust201400449.asd.sco,August2014_B23_.csv,57.75896283,9.2331,4.48,41.32,-30.36163335
48,B24,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400455.asd.txt,ExpUrteAugust201400455.asd,ExpUrteAugust201400455.asd.sco,August2014_B24_.csv,67.32017307,8.4365,4.81,40.58,-30.77426794
49,B25,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400464.asd.txt,ExpUrteAugust201400464.asd,ExpUrteAugust201400464.asd.sco,August2014_B25_.csv,58.85623511,7.4913,5.69,42.61,-30.42973195
50,B26,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400473.asd.txt,ExpUrteAugust201400473.asd,ExpUrteAugust201400473.asd.sco,August2014_B26_.csv,63.20405646,9.7943,4.2,41.18,-30.44563555
51,B27,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400482.asd.txt,ExpUrteAugust201400482.asd,ExpUrteAugust201400482.asd.sco,August2014_B27_.csv,56.74157303,7.7329,5.55,42.88,-30.25113187
52,B28,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400494.asd.txt,ExpUrteAugust201400494.asd,ExpUrteAugust201400494.asd.sco,August2014_B28_.csv,73.36143309,6.8224,6.01,40.98,-32.85040299
53,B29,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400503.asd.txt,ExpUrteAugust201400503.asd,ExpUrteAugust201400503.asd.sco,August2014_B29_.csv,85.41360024,7.4491,5.17,38.49,-32.92175373
54,B30,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400509.asd.txt,ExpUrteAugust201400509.asd,ExpUrteAugust201400509.asd.sco,August2014_B30_.csv,80.93023256,7.3047,5.76,42.07,-29.28099457
55,B31,Brassica oleraceae,Agricultural,Sun,Mature,Pot,C3,low water,greenhouse August 2014,Dusseldorf_BG_Greenhouse,ExpUrteAugust201400518.asd.txt,ExpUrteAugust201400518.asd,ExpUrteAugust201400518.asd.sco,August2014_B31_.csv,78.14899357,8.4929,5.08,43.11,-29.16164139
