SampleID,date,TreeID,USDA_Code,Na,Ca,C_N,LMA,LDMC,T_Asat,Asat,Vcmax25,Vcmax,T_Rdark,Rdark25,Rdark
BNL18155,20210519,8,QURU,811.2195793,12960.26399,15.97627119,27.49896879,0.289855072,26.00385,2.144406366,11.86658143,11.54149706,26.0034,1.120892525,1.164093125
BNL18156,20210519,12,BEAL2,1226.515881,17597.35322,14.34743202,37.05486044,0.275,26.00246667,5.518264166,20.70224913,21.2837916,26.00375,2.203104955,2.266929989
BNL18157,20210519,13,ACSA3,1379.932628,17838.42637,12.92702703,37.29547642,0.244736842,26.1303463,5.776429143,26.61691335,28.31908643,26.03633022,1.888573392,2.01504475
BNL18164,20210520,16,ACRU,916.2014758,16785.37055,18.32061069,34.96952198,0.304469274,24.00258333,4.956884879,26.29334137,25.55941346,23.99538333,1.129030829,1.097004154
BNL18165,20210520,14,QURU,1381.889637,21425.95444,15.50482315,44.4337504,0.272906404,23.99201667,7.815387017,36.82543209,33.84349181,24.00066667,2.667460147,2.521260605
BNL18166,20210520,15,QUMO4,1598.171319,18655.72666,11.67317073,38.97978826,0.273033708,23.90351836,4.097267552,13.95518116,14.24329052,23.99888929,2.839309352,2.733479982
BNL18184,20210520,18,ACRU,947.9444521,16258.27031,17.15107914,34.0987213,0.272527473,24.99945,5.569424199,30.8417416,30.83262981,24.99883333,1.103391302,1.103354554
BNL18185,20210520,17,QURU,1261.071166,17176.28942,13.6203966,35.72439563,0.246484375,25.0008,8.476760126,31.59576251,31.57174116,24.9976,2.386725274,2.386403278
BNL18186,20210520,19,BEAL2,1195.019249,14647.52166,12.25714286,31.03946102,2.58,24.96688938,5.064530028,32.26310257,32.13218602,25.02829584,1.696037898,1.697658536
BNL18193,20210521,20,QURU,1116.458133,18164.77382,16.27,37.21527109,0.317808219,25.00163333,5.161924616,25.20926818,25.19183779,25.00075,2.388525631,2.388626338
BNL18194,20210521,22,ACRU,1401.475778,20747.00032,14.80368098,42.99005454,0.281118881,24.99265,7.898563245,32.96586306,32.94984739,25.00076667,1.702830765,1.702868034
BNL18214,20210521,23,BEAL2,1144.016683,16655.93519,14.5591716,33.84664742,0.03057971,25.00131667,10.24117478,43.31704571,43.28158853,25.00713333,1.592158984,1.592542411
BNL18215,20210521,25,QURU,1245.043311,22406.06352,17.99621212,47.16073147,0.031276596,25.00736667,8.02389172,28.98334552,28.97703676,25.00185,2.66354538,2.663822402
BNL18216,20210521,24,QUMO4,1635.739493,16170.35611,9.885654886,34.00705807,0.030724638,24.91874027,4.599022924,18.52446452,18.56362893,24.96938674,2.04993257,2.047560566
BNL18223,20210601,31,ACRU,670.2759063,17001.5239,25.3649635,48.92524864,0.396103896,23.99725,5.059453526,29.09180212,26.74774112,24.00225,2.270962538,2.146686796
BNL18224,20210601,30,QURU,1228.753609,25540.90472,20.7860262,53.65736285,0.355378486,23.99881667,6.193014492,29.48723417,28.66111065,23.99606667,0.841433629,0.817581143
BNL18225,20210601,27,QUMO4,1157.98845,23283.48572,20.10683761,49.48668592,0.3085,23.98474026,8.648416312,41.61731781,42.42934743,23.58750661,2.030462959,1.924363073
BNL18232,20210601,28,BEAL2,761.0054046,14994.62501,19.7037037,31.31709484,0.3525,24.00348333,8.782592501,35.730182,32.48430507,23.99923333,0.789788637,0.763466212
BNL18233,20210601,29,ACRU,1122.287914,24286.70425,21.64035088,49.22315413,0.4,23.99673333,6.899927923,35.9749299,34.964991,23.99366667,1.033971876,1.004592125
BNL18234,20210601,26,QURU,1238.072322,29241.2347,23.61835749,59.81025712,0.384955752,25.4336532,7.752200169,39.32841578,40.72816112,25.60652511,1.299128316,1.344094955
BNL18253,20210602,37,BEAL2,924.6871992,13788.11357,14.91111111,29.35514918,0.342696629,24.99996667,10.14913356,38.98750399,38.95063139,24.99933333,0.939757215,0.939736067
BNL18254,20210602,33,ACRU,1021.73106,21648.20569,21.18777293,44.61707686,0.331122449,25.00031667,7.766876495,40.47247331,40.46149839,25.003,1.34822118,1.34833665
BNL18255,20210602,32,QUAL,1311.74206,26848.1232,20.46753247,56.78537055,0.29084507,27.11103853,9.484167429,51.25281411,47.85870486,27.59759076,2.993029289,3.299158824
BNL18262,20210602,35,BEAL2,1139.062285,20146.652,17.68705036,40.9734635,0.331111111,26.00026667,12.81264254,48.36582794,53.08366184,25.99446667,0.983030647,1.016477758
BNL18263,20210602,36,ACRU,996.7853705,19676.38114,19.7398374,40.51973051,0.296478873,25.99515,4.562607208,24.38073093,25.06050294,26.00343333,0.815426366,0.839042134
BNL18264,20210602,34,QURU,1497.016362,31093.87231,20.77056277,64.80590311,0.362331839,29.28179519,5.673194134,29.69421942,42.0601653,28.96208,2.292709496,2.85635636
BNL18283,20210603,42,QURU,1441.241578,35321.17421,24.50746269,71.70356112,0.387732342,24.99651667,5.630097372,33.02593131,32.98913855,24.9989,2.083911621,2.083782759
BNL18285,20210603,40,QUMO4,1340.038499,28680.46198,21.40271493,60.63522618,0.36,28.75843207,2.729546343,27.53913378,23.79104777,28.28635025,3.191716135,3.609177065
BNL18292,20210603,43,BEAL2,1133.002887,21621.84793,19.08366534,45.13955727,0.38442623,25.99951667,13.5772337,53.02088858,58.18871087,26.00291667,1.176729178,1.217111595
BNL18293,20210603,43,BEAL2,2056.191851,36867.29227,17.9298893,75.87423805,0.387704918,25.99336667,14.83632524,58.99754419,64.71060386,25.99383333,1.35104596,1.396984934
BNL18294,20210603,41,QURU,1817.805582,47574.01347,26.17112299,97.20885467,0.377570093,29.98825836,11.11122795,60.5893324,90.82170756,29.5104742,2.821266423,3.621793649
BNL18312,20210604,44,QURU,1218.183164,31288.07285,25.68421053,64.11490338,0.37167382,25.00346667,4.365851681,26.04072746,26.02666657,25.00283333,1.51878521,1.519027138
BNL18313,20210604,48,ACRU,1025.772645,22171.74634,21.6146789,47.05379104,0.346456693,24.99966667,3.969696173,27.01505751,27.00724016,25.0027,0.799707884,0.799769527
BNL18314,20210604,47,QURU,1632.321288,45455.9979,27.84745763,92.22154169,0.3875,30.02827517,4.398761477,25.46889598,38.29951807,28.72874165,3.282383163,4.037383122
BNL18320,20210604,44,QURU,857.6275265,18773.38787,21.88990826,39.34071222,0.344210526,26.0045,1.6270987,10.27106025,10.56017978,26.0186,0.572622101,0.589459399
BNL18321,20210604,46,BEAL2,752.3950544,14896.15755,19.79831933,31.61323758,0.154151625,29.75385539,12.26509447,52.9925317,82.3108586,24.79415512,1.062729669,1.055365639
BNL18322,20210604,45,ACRU,1813.719486,46927.60521,25.87368421,95.45892029,0.85234375,26.0006,13.64204767,63.24851715,68.62730534,26.016,1.824870809,1.931759006
BNL18339,20210622,53,BEAL2,1202.983638,22322.02973,18.55555556,46.09132713,0.402803738,25.04888333,13.14037671,52.93134068,53.12576031,24.72625,0.679924457,0.673664541
BNL18340,20210622,54,QURU,1429.258903,37107.79596,25.96296296,75.62216417,0.428015564,25.9993,2.930100048,22.15179759,24.03306766,25.99783333,1.170794252,1.238114629
BNL18341,20210622,49,QURU,1888.662175,41335.1941,21.88596491,82.83606031,0.446712803,26.99558333,4.450211414,24.37629481,28.69341293,27.00338333,1.133388622,1.267546374
BNL18342,20210622,50,BEAL2,1062.230166,22288.51918,20.98275862,45.78578303,0.361956522,26.005,8.514471825,35.21949721,38.67211897,26.00005,0.805917225,0.833494177
BNL18343,20210622,53,BEAL2,1186.418565,22920.09411,19.3187251,47.26767191,0.398198198,26.00136667,11.87782972,46.30786577,50.83019384,26.00628333,0.883476813,0.913898699
BNL18344,20210622,49,QURU,1744.590953,40068.25794,22.96713615,81.90567854,0.4255,27.00693333,8.24929333,35.60354037,41.94785882,27.00428333,1.269271731,1.419584657
BNL18371,20210623,29,ACRU,1031.247995,30742.50882,29.81097561,62.8809753,0.433149171,26.00046667,3.324527918,21.3304119,21.92837977,25.9964,0.531321233,0.546599933
BNL18372,20210623,29,ACRU,1118.575553,32544.59169,29.09467456,66.18790257,0.440394089,25.99875,4.079600653,22.05761584,22.67488685,25.99638333,0.53882031,0.554314392
BNL18373,20210623,56,BEAL2,805.3760484,18655.9879,23.16431925,37.81108208,0.381944444,25.99678333,8.309529515,34.14860662,37.46739647,26.0003,0.396510449,0.410081718
BNL18374,20210623,29,ACRU,1147.353224,31495.47642,27.45054945,63.04138595,0.330808081,25.99418333,1.333646918,7.887698699,8.107401731,25.9981,0.309862205,0.318787986
BNL18375,20210623,55,QURU,1904.340712,38837.48797,20.39419087,79.01828681,0.574125874,25.99543333,2.105877897,12.3524295,13.39722073,25.99078333,1.041817277,1.101287853
BNL18376,20210623,56,BEAL2,889.1000962,19453.98219,21.88053097,39.34071222,0.363333333,26.00236667,7.699389285,31.19147555,34.24077645,25.99605,0.497006985,0.513944678
BNL18404,20210624,64,ACRU,1589.85563,37626.58325,23.66666667,76.80461983,0.417073171,25.49628333,4.817823839,27.77734498,28.15761304,25.49536667,1.137512733,1.153686274
BNL18406,20210624,65,QURU,1810.698157,44830.7026,24.75879397,90.98985711,0.43122807,25.49416667,3.899795605,20.15679424,20.97856402,25.5033,1.116332774,1.148314238
BNL18407,20210624,62,QUAL,1905.785477,36771.78911,19.29482072,75.92770827,0.44375,26.00101667,2.650161061,17.62229368,17.14109747,26.00118333,1.228520466,1.275762952
BNL18408,20210624,62,QUAL,1701.289702,34638.54668,20.36016949,72.08854668,0.420786517,26.03281667,5.453830502,38.08906258,37.01089326,25.99776667,1.267273229,1.315837055
BNL18409,20210624,65,QURU,1578.440808,38837.53609,24.605,78.92204042,0.423015873,25.49975,5.062910602,25.5770628,26.63206018,25.48358333,1.135907657,1.167159798
BNL19221,20210721,39,ACRU,1382.40616,35942.56015,26,72.37728585,0.482051282,26.0014,6.121209894,33.80805304,34.7567164,26.00036667,1.102266737,1.134091135
BNL19222,20210721,80,QURU,2329.51556,45770.83734,19.64822134,92.07571383,0.457370518,26.00075,19.40258672,89.20073019,96.78774191,25.99346667,1.249700274,1.321235508
BNL19223,20210721,81,BEAL2,1123.45787,23007.48097,20.47916667,46.8107446,0.428,26.00541667,13.03648979,51.76423503,56.84098157,26.01206667,0.638732542,0.660854971
BNL19224,20210721,80,QURU,2108.533847,46369.32948,21.99126638,92.07571383,0.457370518,25.9989,16.27830755,69.73473087,75.65455791,26.00331667,1.403515914,1.484672256
BNL19225,20210721,78,QURU,1627.526468,44747.83446,27.49438202,91.43407122,0.463414634,26.0078,6.280794015,30.16699704,32.75182141,26.00613333,1.364456227,1.443581027
