"SampleID","Record","A","Ci","CO2s","CO2r","gsw","Patm","Qin","RHs","Tleaf","Tair","SampleID_num","QC"
"2015_wet_PAR-T2_108T2",1,4.191521003,266.7125859,384.6889648,390.1773682,0.062391068,101.3537521,1299.846313,63.2919426,30.05163002,29.88281631,758,"ok"
"2015_wet_PAR-T2_108T2",2,3.141559725,209.5603111,295.7957153,299.9319153,0.064348686,101.3498917,1299.550415,63.13919067,30.05803871,29.87071228,758,"ok"
"2015_wet_PAR-T2_108T2",3,1.491384283,153.1519432,197.0596771,199.0841064,0.061812623,101.3515472,1299.790039,63.05675888,30.05175781,29.87046623,758,"ok"
"2015_wet_PAR-T2_108T2",4,0.024044044,96.54664259,99.72079468,99.87391663,0.064731709,101.3554459,1299.534546,63.07174301,30.05357933,29.87123871,758,"ok"
"2015_wet_PAR-T2_108T2",5,-0.772480656,68.41670451,50.53938675,49.67562485,0.064837461,101.3572006,1299.842041,63.07723618,30.05391502,29.86041069,758,"ok"
"2015_wet_PAR-T2_108T2",6,4.986805892,261.1004597,383.4729614,389.9840698,0.071540143,101.3501129,1299.850586,63.15230942,30.05613327,29.84771919,758,"ok"
"2015_wet_PAR-T2_108T2",7,5.006998506,261.4551594,383.3401184,389.8788147,0.072144959,101.3448029,1299.592041,63.20869446,30.05537033,29.84665489,758,"ok"
"2015_wet_PAR-T2_108T2",8,8.20251061,402.0913559,588.848938,599.5552979,0.077221263,101.3419724,1299.251465,63.41891098,30.05091476,29.86292267,758,"ok"
"2015_wet_PAR-T2_108T2",9,11.40492363,533.8416703,784.1762085,799.0523682,0.080119122,101.3416138,1299.562256,63.4744072,30.05084801,29.85521126,758,"ok"
"2015_wet_PAR-T2_108T2",10,12.70191202,714.5468919,983.4846191,1000.291077,0.084360016,101.3401031,1299.505981,63.66701126,30.05461502,29.85093498,758,"ok"
"2015_wet_PAR-T2_108T2",11,14.16424471,885.1343297,1180.978271,1199.897949,0.086385398,101.3430634,1299.462036,63.66962433,30.05645561,29.84612274,758,"ok"
"2015_wet_PAR-T2_108T2",12,16.12455145,1152.681166,1477.74939,1499.626953,0.091037049,101.3431931,1299.368286,63.70923615,30.05039787,29.83959579,758,"ok"
"2015_wet_PAR-T2_108T2",13,16.95718992,1318.872505,1677.12146,1700.225342,0.087124126,101.3469238,1299.268921,63.64438248,30.04777336,29.84127808,758,"ok"
"2015_wet_PAR-T2_108T2",14,17.52226726,1598.87472,1976.01416,2000.277222,0.086909481,101.3516388,1299.139404,63.66399765,30.05192757,29.8470974,758,"ok"
"2015_wet_PAR-T2_108T2",15,18.21988431,1701.682692,2141.629883,2166.635986,0.076559366,101.3612671,1299.762573,60.15934753,30.05626869,29.86268616,758,"ok"
"2015_wet_PAR-T2_108T2",16,-0.202158879,416.2408409,390.0852051,389.9128418,0.008682001,100.9152069,488.8167725,63.03546524,30.43927193,29.94923019,758,"ok"
"2015_wet_PAR-T2_108T2",17,0.032468235,372.2555001,389.6965942,389.7958984,0.007499307,100.9205551,485.386261,62.86539078,30.34673691,29.93059731,758,"ok"
"2015_wet_PAR-T2_108T2",18,0.24055849,326.0949268,389.6398315,389.9860535,0.007176544,100.9191589,480.2948303,62.76132965,30.27104759,29.90737343,758,"ok"
"2015_wet_PAR-T2_108T2",19,0.041612267,282.3259272,299.9364624,300.0287476,0.006901953,100.91465,480.2518005,62.65507889,30.22221947,29.89258766,758,"ok"
"2015_wet_PAR-T2_108T2",20,-0.229904834,250.247457,200.2227173,199.9738464,0.006550607,100.9068298,513.7543945,62.51433563,30.31046295,29.9087944,758,"ok"
"2015_wet_PAR-T2_108T2",21,-0.412626504,197.4393195,100.4710388,99.989151,0.006543355,100.9030609,513.208374,62.44307709,30.29593468,29.9047699,758,"ok"
"2015_wet_PAR-T2_108T2",22,-0.606694795,200.8579799,50.59639359,49.87442017,0.006325658,100.904068,516.383606,62.34738922,30.28214073,29.89710045,758,"ok"
"2015_wet_PAR-T2_108T2",23,0.383522019,283.0834476,389.6014099,390.1132202,0.006325894,100.9076996,508.8981628,62.23558426,30.26211929,29.89450645,758,"ok"
"2015_wet_PAR-T2_108T2",24,0.43667063,263.1109837,389.4346313,390.0074158,0.005968695,100.9087601,509.1044922,62.15541458,30.25067902,29.88946533,758,"ok"
"2015_wet_PAR-T2_108T2",25,0.854450024,359.7758525,598.9846191,600.0865479,0.006064106,100.9118881,506.895874,62.0574379,30.25977325,29.89330101,758,"ok"
"2015_wet_PAR-T2_108T2",26,1.317422195,406.5295047,798.2827759,799.9588013,0.005631056,100.9210587,506.8507385,61.96870422,30.24534607,29.88733101,758,"ok"
"2015_wet_PAR-T2_108T2",27,1.586363007,529.8057501,997.9693604,999.9931641,0.005689722,100.9281387,503.4237976,61.86806107,30.22917938,29.88145065,758,"ok"
"2015_wet_PAR-T2_108T2",28,1.871404223,622.5848357,1197.600586,1199.985596,0.005458284,100.9315796,502.8747253,61.79273605,30.26922417,29.89401817,758,"ok"
"2015_wet_PAR-T2_108T2",29,2.300643187,762.6811384,1496.979614,1499.907715,0.005247365,100.9340134,503.6650391,61.72676849,30.25325394,29.89396667,758,"ok"
"2015_wet_PAR-T2_108T2",30,2.348055913,910.870934,1697.140625,1700.139893,0.005019407,100.9283447,502.8700867,61.65223694,30.25805283,29.89530563,758,"ok"
