"SampleID","Record","A","Ci","CO2s","CO2r","gsw","Patm","Qin","RHs","Tleaf","Tair","SampleID_num","QC"
"2015_dry_PAR-T2_58T1",1,8.180041046,217.9820053,379.5073242,390.0061951,0.087822262,101.1362,1299.200684,68.71595001,31.92060089,30.46321297,348,"ok"
"2015_dry_PAR-T2_58T1",2,5.880792543,176.5692306,291.7102356,299.3147583,0.089231945,101.1303558,1299.471069,68.94844055,32.15794373,30.54588318,348,"ok"
"2015_dry_PAR-T2_58T1",3,3.410864314,129.1998316,195.1647491,199.6218414,0.091392482,101.1292191,1301.135986,69.30628967,31.98420334,30.49214745,348,"ok"
"2015_dry_PAR-T2_58T1",4,0.692121154,82.69148791,97.08899689,98.11103821,0.096154746,101.1347733,1298.801636,69.66574097,32.03978729,30.51023293,348,"ok"
"2015_dry_PAR-T2_58T1",5,-0.49314801,57.20146599,50.63105392,50.14463043,0.10039553,101.1306534,1300.154663,69.96620941,32.10044861,30.53460693,348,"ok"
"2015_dry_PAR-T2_58T1",6,8.069604004,245.6273055,382.7076416,393.1822815,0.103758246,101.1333466,1301.31311,70.21237183,32.03410339,30.52991867,348,"bad"
"2015_dry_PAR-T2_58T1",7,8.458441025,227.4320983,378.2822266,389.1651306,0.097805198,101.1293488,1300.431152,70.05934906,31.95572281,30.49252701,348,"ok"
"2015_dry_PAR-T2_58T1",8,12.17897961,348.5736583,585.8841553,601.5598145,0.08929758,101.1258163,1298.793335,69.770401,32.039505,30.50401306,348,"ok"
"2015_dry_PAR-T2_58T1",9,14.4293383,454.4164792,782.4464111,801.0383911,0.076257746,101.1212692,1300.193481,69.32623291,32.31913757,30.59662056,348,"ok"
"2015_dry_PAR-T2_58T1",10,15.64893001,523.3487397,982.1792603,1002.223267,0.058454005,101.1126328,1299.721436,68.80306244,32.42744064,30.61334038,348,"ok"
"2015_dry_PAR-T2_58T1",11,15.33982127,606.039541,1181.713135,1201.293457,0.045348583,101.1128006,1300.217407,68.6151123,32.30672073,30.54767418,348,"ok"
"2015_dry_PAR-T2_58T1",12,16.03083571,746.9799723,1480.22583,1500.710815,0.037131949,101.1052322,1298.991821,68.25509644,32.47995758,30.59077072,348,"ok"
"2015_dry_PAR-T2_58T1",13,14.97612783,829.9776517,1682.071533,1701.191162,0.029755886,101.1040192,1299.177856,68.0741272,32.51875305,30.59272385,348,"bad"
"2015_dry_PAR-T2_58T1",14,14.92667204,857.9341122,1863.948486,1882.964233,0.025015706,101.1001434,1300.430786,67.98292542,32.73444366,30.65804291,348,"bad"
"2015_dry_PAR-T2_58T1",15,14.12793936,834.3701705,1865.600464,1883.562256,0.023042623,101.0978165,1299.202148,68.16200256,32.69953918,30.64373779,348,"bad"
"2015_dry_PAR-T2_58T1",16,13.90937278,803.6773987,1864.888428,1882.534912,0.021995359,101.0972748,1300.070313,68.3809433,32.69447708,30.63787842,348,"bad"
