"","fname","Vcmax","Jmax","Rd","Vcmax_SE","Jmax_SE","Rd_SE"
"1","b2_pop_a18_aci_dl_06_23_2016",78.2189515320942,143.614721346794,1.77456198946954,3.64992414932498,3.01010251505582,0.507344527997963
"2","b2_pop_a18_aci_mb_05_24_2016",90.0822287378827,185.414855681704,1.66012800296356,2.31600696872851,2.75056269904296,0.401741498660544
"3","b2_pop_a18_aci_mb_05_31_2016",94.8056487638204,225.667075984056,1.1393981568944,3.66932658476029,6.53751054627928,0.815058245477569
"4","b2_pop_a18_aci_mb_06_08_2016",62.5203020830884,110.319438206912,1.38620751192051,6.0354787664655,5.20087076652319,0.942859803735118
"5","b2_pop_a18_aci_mb_06_15_2016",64.9601588903774,153.832416052724,2.12158201665816,2.56980005252252,3.43341121006505,0.560934849113939
"6","b2_pop_a18_aci_mb_06_27_2016",67.9343394091703,141.964195567183,1.21828413561611,1.26479272509507,1.49709109289491,0.24542768398325
"7","b2_pop_a18_aci_mb_06_30_2016",66.4216504212081,123.10303405927,1.29633071174187,2.55395717537183,2.08157548378125,0.349620461161269
"8","b2_pop_a18_aci_mb_07_05_2016",77.4513812918059,129.669751009177,0.651072155171613,5.03192957826541,4.04026611317178,0.686649521502136
"9","b2_pop_b06_aci_km_05_19_2016",80.0926990077566,149.026036616427,0.487880259580381,2.78438095130253,3.03287675216162,0.37557036325266
"10","b2_pop_b06_aci_mb_05_24_2016",119.132049465075,199.512905169029,0.220396691070158,3.25538203768897,2.66608600272751,0.373980756974876
"11","b2_pop_b06_aci_mb_05_31_2016",69.1094067489507,153.265379958132,1.78597894194514,1.21511037559602,1.40048016819142,0.224108996786077
"12","b2_pop_b06_aci_mb_06_08_2016",81.1473885345862,129.220332835667,0.867687170694444,6.46018157933605,4.32594103156436,0.766261293741284
"13","b2_pop_b06_aci_mb_06_15_2016",71.7800208424297,132.687988425134,1.52705603395491,1.78928021507655,1.48516417685854,0.25867059675915
"14","b2_pop_b06_aci_mb_06_23_2016",59.4959315214714,116.80563233333,1.36655135830289,1.29408228543869,1.08033326882436,0.195384644877852
"15","b2_pop_b06_aci_mb_06_27_2016",65.2912763748341,101.126681371258,0.512649661076339,5.39659808115513,3.20562982539806,0.594205768847181
"16","b2_pop_b06_aci_mb_06_30_2016",67.3255316450787,114.956090007638,1.07089437657145,2.6361400710273,2.37681357925272,0.398511047053315
"17","b2_pop_b06_aci_mb_07_05_2016",76.7872222684563,116.300895239539,-0.0958992505069679,13.2469120383297,8.27246516135058,1.4420152228718
"18","b2_pop_b12_aci_af_06_28_2016",61.3271246537393,136.957734425549,1.85862627900745,2.72195646106972,3.30532780272853,0.558857008793852
