"","X","fname","Obs","HHMMSS","plot","study","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","QC"
"306",306,"b2_pop_b12_aci_mb_5_26_2016",1,"10:21:10",NA,NA,485,0,19.3,0.178,182,3.95,2.03,22.91,6,1.42,1,2.84,22.31,22.91,22.25,399.81,374.88,4.091,8.792,13.31,28.61,499.3,1801,1302,88.01,-32.5,10.7,1,-0.22,2.74,1,0,0.16,111115,1
"307",307,"b2_pop_b12_aci_mb_5_26_2016",2,"10:22:40",NA,NA,575,0,14,0.175,139,3.9,2.04,22.93,6,1.42,1,2.84,22.29,22.93,22.22,299.56,281.45,4.089,8.734,13.32,28.46,499.3,1799,1324,88.01,-22,10.7,1,-0.22,2.74,1,0,0.16,111115,1
"308",308,"b2_pop_b12_aci_mb_5_26_2016",3,"10:24:10",NA,NA,665,0,8.36,0.171,100,3.86,2.06,23.07,6,1.42,1,2.84,22.39,23.07,22.32,199.23,188.3,4.128,8.722,13.37,28.24,499.3,1801,1328,88.01,-12.5,10.7,1,-0.22,2.74,1,0,0.16,111115,1
"309",309,"b2_pop_b12_aci_mb_5_26_2016",4,"10:25:39",NA,NA,753.5,0,2.88,0.166,64.5,3.78,2.08,23.13,6,1.42,1,2.84,22.42,23.13,22.34,100.7,96.79,4.167,8.67,13.47,28.02,499.3,1799,1340,88.01,-4.6,10.7,1,-0.22,2.74,1,0,0.16,111115,1
"310",310,"b2_pop_b12_aci_mb_5_26_2016",5,"10:27:09",NA,NA,844,0,0.224,0.16,46.6,3.69,2.1,23.24,6,1.42,1,2.84,22.49,23.24,22.42,51.31,50.81,4.206,8.605,13.54,27.69,499.3,1800,1347,88.01,-1.17,10.6,0.7,-0.22,2.74,1,0,0.16,111115,1
"313",313,"b2_pop_b12_aci_mb_5_26_2016",8,"10:32:49",NA,NA,1184,0,25.8,0.153,267,3.51,2.09,23.09,6,1.42,1,2.84,22.4,23.09,22.34,599.85,566.42,4.29,8.47,13.88,27.41,499.3,1800,1386,88,-56.5,10.6,1,-0.22,2.74,1,0,0.16,111115,1
"314",314,"b2_pop_b12_aci_mb_5_26_2016",9,"10:34:28",NA,NA,1283,0,32.3,0.152,379,3.52,2.11,23.22,6,1.42,1,2.84,22.49,23.22,22.42,799.45,757.47,4.302,8.497,13.85,27.35,499.3,1800,1396,88,-82.8,10.6,1,-0.22,2.74,1,0,0.16,111115,1
"315",315,"b2_pop_b12_aci_mb_5_26_2016",10,"10:36:43",NA,NA,1418,0,37.5,0.152,701,3.57,2.13,23.41,6,1.42,1,2.84,22.68,23.41,22.59,1199.4,1149.45,4.363,8.62,13.89,27.43,499.3,1799,1406,88,-142,10.6,0.7,-0.22,2.74,1,0,0.16,111115,1
"316",316,"b2_pop_b12_aci_mb_5_26_2016",11,"10:38:38",NA,NA,1533,0,40.2,0.151,1050,3.57,2.15,23.55,6,1.42,1,2.84,22.81,23.55,22.72,1600.45,1545.48,4.438,8.69,14.01,27.44,499.3,1801,1423,88,-208,10.7,0.7,-0.22,2.74,1,0,0.16,111115,1
"317",317,"b2_pop_b12_aci_mb_5_26_2016",12,"10:40:40",NA,NA,1655,0,42,0.15,1410,3.56,2.15,23.57,6,1.42,1,2.84,22.87,23.57,22.79,2000.68,1941.94,4.518,8.763,14.21,27.56,499.3,1800,1437,88,-278,10.7,0.7,-0.22,2.74,1,0,0.16,111115,1
"332",332,"b2_pop_c14_aci_af_06_30_2016",1,"7:09:59",NA,NA,313,0,12.2,0.219,275,4.7,1.99,26.03,6,1.42,1,2.84,24.83,26.03,24.96,399.35,382.51,10.222,15.779,28.71,44.32,499.5,1799,37,88.41,-1.07,-0.0938,0.7,-0.22,2.74,1,0,0.16,111115,1
"333",333,"b2_pop_c14_aci_af_06_30_2016",2,"7:11:29",NA,NA,403.5,0,9.23,0.216,204,4.62,1.98,26.01,6,1.42,1,2.84,24.79,26.01,24.95,298.4,285.72,10.329,15.786,29.07,44.43,499.5,1799,37,88.4,-0.164,-0.0887,1,-0.22,2.74,1,0,0.16,111115,1
"334",334,"b2_pop_c14_aci_af_06_30_2016",3,"7:12:59",NA,NA,493.5,0,5.91,0.191,133,4.18,2.01,25.96,6,1.42,1,2.84,24.77,25.96,24.95,199.41,191.36,10.441,15.381,29.43,43.36,499.5,1799,36,88.4,0.254,-0.0875,0.7,-0.22,2.74,1,0,0.16,111115,1
"335",335,"b2_pop_c14_aci_af_06_30_2016",4,"7:14:28",NA,NA,582,0,1.98,0.188,75.9,4.09,2,25.92,6,1.42,1,2.84,24.75,25.92,24.95,99.78,96.92,10.565,15.401,29.82,43.46,499.5,1799,35,88.4,0.485,-0.0906,1,-0.22,2.74,1,0,0.16,111115,1
"336",336,"b2_pop_c14_aci_af_06_30_2016",5,"7:15:57",NA,NA,671,0,-0.144,0.194,49.5,4.16,1.97,25.9,6,1.42,1,2.84,24.74,25.9,24.95,50.08,50,10.691,15.61,30.19,44.08,499.5,1800,37,88.4,0.631,-0.0912,1,-0.22,2.74,1,0,0.16,111115,1
"339",339,"b2_pop_c14_aci_af_06_30_2016",8,"7:21:20",NA,NA,994.5,0,21.6,0.231,394,4.58,1.84,25.65,6,1.42,1,2.84,24.73,25.65,24.95,599.09,570.05,11.117,16.531,31.42,46.72,499.5,1799,38,88.4,-2.7,-0.102,1,-0.22,2.74,1,0,0.16,111115,1
"340",340,"b2_pop_c14_aci_af_06_30_2016",9,"7:23:12",NA,NA,1106.5,0,23.5,0.249,582,4.78,1.8,25.58,6,1.42,1,2.84,24.72,25.58,24.95,799.77,767.16,11.257,16.899,31.82,47.77,499.5,1800,39,88.4,-4.8,-0.104,0.7,-0.22,2.74,1,0,0.16,111115,1
"341",341,"b2_pop_c14_aci_af_06_30_2016",10,"7:25:02",NA,NA,1216,0,24.6,0.268,969,4.98,1.75,25.51,6,1.42,1,2.84,24.72,25.51,24.95,1199.27,1162.71,11.391,17.273,32.2,48.83,499.5,1799,41,88.41,-9.71,-0.11,0.7,-0.22,2.74,1,0,0.16,111115,1
"342",342,"b2_pop_c14_aci_af_06_30_2016",11,"7:27:23",NA,NA,1357.5,0,26.7,0.287,1350,5.16,1.7,25.48,6,1.42,1,2.84,24.73,25.48,24.96,1600.61,1558.84,11.649,17.74,32.92,50.14,499.5,1799,44,88.41,-15.5,-0.108,0.7,-0.22,2.74,1,0,0.16,111115,1
"343",343,"b2_pop_c14_aci_af_06_30_2016",12,"7:30:14",NA,NA,1528,0,28,0.3,1730,5.25,1.66,25.48,6,1.42,1,2.84,24.73,25.48,24.95,1999.84,1953.93,11.997,18.188,33.89,51.38,499.5,1800,45,88.41,-20.8,-0.11,0.7,-0.22,2.74,1,0,0.16,111115,1
"345",345,"b2_pop_c14_aci_dl 06_28_2016",1,"8:38:03",NA,NA,168.5,0,13.6,0.159,223,4.68,2.67,30.31,6,1.42,1,2.84,26.87,30.31,24.92,400.29,381.83,13.339,18.849,33.26,47,500.1,1801,85,88.58,-0.679,0.224,0.7,-0.22,2.74,1,0,0.16,111115,1
"346",346,"b2_pop_c14_aci_dl 06_28_2016",2,"8:39:40",NA,NA,265.5,0,10.2,0.168,173,4.87,2.63,30.23,6,1.42,1,2.84,26.88,30.23,24.93,299.91,286.06,13.339,19.076,33.25,47.55,500.2,1801,153,88.58,-0.145,0.219,1,-0.22,2.74,1,0,0.16,111115,1
"347",347,"b2_pop_c14_aci_dl 06_28_2016",3,"8:41:10",NA,NA,355.5,0,6.07,0.187,128,5.27,2.57,30.16,6,1.42,1,2.84,26.88,30.16,24.92,199.29,190.8,13.293,19.493,33.12,48.57,500.2,1801,92,88.58,0.354,0.222,1,-0.22,2.74,1,0,0.16,111115,1
"348",348,"b2_pop_c14_aci_dl 06_28_2016",4,"8:42:40",NA,NA,445,0,1.5,0.206,81.2,5.65,2.52,30.07,6,1.42,1,2.84,26.87,30.07,24.93,100.28,97.81,13.193,19.84,32.91,49.49,500.2,1800,89,88.58,0.576,0.234,1,-0.22,2.74,1,0,0.16,111115,1
"349",349,"b2_pop_c14_aci_dl 06_28_2016",5,"8:44:10",NA,NA,535.5,0,-0.87,0.228,54.9,6.06,2.45,29.94,6,1.42,1,2.84,26.85,29.94,24.93,50.13,50.8,13.109,20.227,32.73,50.5,500.2,1801,278,88.58,0.663,0.226,1,-0.22,2.74,1,0,0.16,111115,1
"352",352,"b2_pop_c14_aci_dl 06_28_2016",8,"8:50:28",NA,NA,913,0,24.8,0.295,399,7.05,2.26,29.55,6,1.42,1,2.84,26.84,29.55,24.92,599.92,565.42,13.074,21.35,32.66,53.34,500.2,1801,91,88.58,-2.07,0.2,1,-0.22,2.74,1,0,0.16,111115,1
"353",353,"b2_pop_c14_aci_dl 06_28_2016",9,"8:52:30",NA,NA,1035,0,27.3,0.274,560,6.69,2.29,29.52,6,1.42,1,2.84,26.8,29.52,24.93,799.86,760.96,13.051,20.912,32.69,52.37,500.2,1800,100,88.58,-3.7,0.206,1,-0.22,2.74,1,0,0.16,111115,1
"354",354,"b2_pop_c14_aci_dl 06_28_2016",10,"8:54:48",NA,NA,1173.5,0,29.5,0.251,910,6.31,2.34,29.56,6,1.42,1,2.84,26.78,29.56,24.93,1201.2,1157.04,13.028,20.445,32.67,51.27,500.1,1801,94,88.58,-8.12,0.204,1,-0.22,2.74,1,0,0.16,111115,1
"355",355,"b2_pop_c14_aci_dl 06_28_2016",11,"8:57:27",NA,NA,1332.5,0,30.8,0.241,1270,6.23,2.4,29.76,6,1.42,1,2.84,26.85,29.76,24.93,1601.02,1552.47,13.065,20.382,32.61,50.88,500.2,1801,101,88.58,-13.2,0.207,1,-0.22,2.74,1,0,0.16,111115,1
"356",356,"b2_pop_c14_aci_dl 06_28_2016",12,"9:00:25",NA,NA,1510,0,32.4,0.214,1650,5.79,2.49,29.99,6,1.42,1,2.84,26.9,29.99,24.93,2040.2,1987.54,13.176,19.979,32.8,49.73,500.1,1799,232,88.58,-19.5,0.204,0.7,-0.22,2.74,1,0,0.16,111115,1
"358",358,"b2_pop_c14_aci_mb_06_09_2016",1,"9:37:23",NA,NA,196.5,0,16.1,0.356,291,4.43,1.19,28.18,6,1.42,1,2.84,26.87,28.18,24.96,399.89,378.57,24.73,29.889,61.54,74.38,500,1801,0,88.36,2.88,-0.231,1,-0.22,2.74,1,0,0.16,111115,1
"359",359,"b2_pop_c14_aci_mb_06_09_2016",2,"9:38:53",NA,NA,286.5,0,11.7,0.363,223,4.43,1.17,28.17,6,1.42,1,2.84,26.85,28.17,24.95,301.08,285.57,24.932,30.09,62.1,74.94,500,1800,0,88.36,2.65,-0.237,1,-0.22,2.74,1,0,0.16,111115,1
"360",360,"b2_pop_c14_aci_mb_06_09_2016",3,"9:40:23",NA,NA,376.5,0,6.61,0.364,156,4.37,1.15,28.13,6,1.42,1,2.84,26.8,28.13,24.95,200.88,191.95,25.134,30.218,62.78,75.48,500,1800,0,88.36,2.37,-0.243,1,-0.22,2.74,1,0,0.16,111115,1
"361",361,"b2_pop_c14_aci_mb_06_09_2016",4,"9:41:53",NA,NA,466.5,0,1.24,0.386,91.5,4.47,1.12,28.13,6,1.42,1,2.84,26.82,28.13,24.95,101.25,99.23,25.381,30.585,63.33,76.32,500,1800,0,88.37,1.98,-0.249,1,-0.22,2.74,1,0,0.16,111115,1
"362",362,"b2_pop_c14_aci_mb_06_09_2016",5,"9:43:23",NA,NA,556.5,0,-1.62,0.404,58.3,4.52,1.09,28.09,6,1.42,1,2.84,26.8,28.09,24.95,50.56,52.22,25.617,30.872,64,77.13,500,1801,0,88.36,1.76,-0.249,1,-0.22,2.74,1,0,0.16,111115,1
"365",365,"b2_pop_c14_aci_mb_06_09_2016",8,"9:48:56",NA,NA,889.5,0,24.2,0.506,470,4.8,0.952,28.03,6,1.42,1,2.84,26.84,28.03,24.96,599.7,567.42,26.671,32.25,66.48,80.38,500,1800,0,88.36,3.02,-0.273,1,-0.22,2.74,1,0,0.16,111115,1
"366",366,"b2_pop_c14_aci_mb_06_09_2016",9,"9:50:33",NA,NA,986.5,0,28.2,0.527,650,4.81,0.921,28.01,6,1.42,1,2.84,26.82,28.01,24.94,799.34,761.1,26.966,32.551,67.28,81.22,500,1800,0,88.36,3.08,-0.283,0.7,-0.22,2.74,1,0,0.16,111115,1
"367",367,"b2_pop_c14_aci_mb_06_09_2016",10,"9:52:41",NA,NA,1114.5,0,32.2,0.537,1030,4.82,0.908,28.11,6,1.42,1,2.84,26.89,28.11,24.96,1200.42,1155.11,27.353,32.947,67.99,81.89,500,1801,0,88.36,3.04,-0.289,0.7,-0.22,2.74,1,0,0.16,111115,1
"368",368,"b2_pop_c14_aci_mb_06_09_2016",11,"9:54:48",NA,NA,1242,0,34.8,0.557,1410,4.8,0.876,28.11,6,1.42,1,2.84,26.88,28.11,24.95,1598.93,1548.2,27.735,33.304,68.94,82.79,500,1800,0,88.36,2.52,-0.295,1,-0.22,2.74,1,0,0.16,111115,1
"369",369,"b2_pop_c14_aci_mb_06_09_2016",12,"9:57:06",NA,NA,1380,0,36.7,0.566,1790,4.74,0.854,28.13,6,1.42,1,2.84,26.89,28.13,24.95,2000.31,1945.2,28.114,33.611,69.87,83.53,500,1800,0,88.36,2.07,-0.297,1,-0.22,2.74,1,0,0.16,111115,1
"371",371,"b2_pop_c14_aci_mb_06_16_2016",1,"8:37:02",NA,NA,126.5,0,15.9,0.229,240,7.73,3.12,31.21,6,1.42,1,2.84,31.08,31.21,31.12,399.97,377.29,7.174,16.31,14.01,31.85,499.3,1799,1061,88.48,1.09,0.138,1,-0.22,2.74,1,0,0.16,111115,1
"372",372,"b2_pop_c14_aci_mb_06_16_2016",2,"8:38:32",NA,NA,216.5,0,10.9,0.209,181,7.43,3.26,31.61,6,1.42,1,2.84,31.28,31.61,31.33,299.67,284.02,7.173,15.964,13.84,30.81,499.3,1799,1064,88.48,1.59,0.149,1,-0.22,2.74,1,0,0.16,111115,1
"373",373,"b2_pop_c14_aci_mb_06_16_2016",3,"8:40:02",NA,NA,307,0,6.06,0.2,130,7.33,3.35,31.91,6,1.42,1,2.84,31.47,31.91,31.5,199.84,190.88,7.187,15.853,13.73,30.28,499.3,1799,1071,88.48,1.93,0.157,1,-0.22,2.74,1,0,0.16,111115,1
"374",374,"b2_pop_c14_aci_mb_06_16_2016",4,"8:41:32",NA,NA,397,0,1.18,0.202,83.3,7.44,3.38,32.07,6,1.42,1,2.84,31.61,32.07,31.63,101.22,98.92,7.206,16.006,13.65,30.32,499.3,1798,1078,88.48,1.95,0.156,1,-0.22,2.74,1,0,0.16,111115,1
"375",375,"b2_pop_c14_aci_mb_06_16_2016",5,"8:43:02",NA,NA,486.5,0,-1.26,0.204,58.7,7.59,3.4,32.23,6,1.42,1,2.84,31.77,32.23,31.78,50.66,51.71,7.224,16.199,13.56,30.4,499.3,1799,1083,88.48,1.96,0.16,1,-0.22,2.74,1,0,0.16,111115,1
"378",378,"b2_pop_c14_aci_mb_06_16_2016",8,"8:48:53",NA,NA,837.5,0,23,0.211,352,7.95,3.45,32.52,6,1.42,1,2.84,32.38,32.52,32.41,599.3,566.25,7.239,16.635,13.13,30.16,499.3,1800,1104,88.48,0.221,0.15,1,-0.22,2.74,1,0,0.16,111115,1
"379",379,"b2_pop_c14_aci_mb_06_16_2016",9,"8:50:27",NA,NA,931.5,0,27.9,0.211,494,7.96,3.45,32.55,6,1.42,1,2.84,32.47,32.55,32.51,799.77,758.99,7.24,16.649,13.06,30.03,499.3,1800,1111,88.48,-0.983,0.14,0.7,-0.22,2.74,1,0,0.16,111115,1
"380",380,"b2_pop_c14_aci_mb_06_16_2016",10,"8:52:24",NA,NA,1048.5,0,33.3,0.21,826,7.97,3.48,32.63,6,1.42,1,2.84,32.6,32.63,32.64,1211.04,1159.92,7.214,16.631,12.92,29.79,499.3,1800,1120,88.48,-4.81,0.133,1,-0.22,2.74,1,0,0.16,111115,1
"381",381,"b2_pop_c14_aci_mb_06_16_2016",11,"8:55:20",NA,NA,1224.5,0,36.6,0.203,1150,7.92,3.57,32.93,6,1.42,1,2.84,32.84,32.93,32.89,1599.96,1541.32,7.192,16.554,12.71,29.25,499.3,1800,1128,88.48,-8.59,0.139,1,-0.22,2.74,1,0,0.16,111115,1
"382",382,"b2_pop_c14_aci_mb_06_16_2016",12,"8:58:55",NA,NA,1439.5,0,39.2,0.19,1510,7.6,3.64,33.06,6,1.42,1,2.84,32.96,33.06,33,2039.68,1974.49,7.129,16.12,12.51,28.29,499.3,1802,1143,88.48,-14.1,0.147,0.7,-0.22,2.74,1,0,0.16,111115,1
"384",384,"b2_pop_c14_aci_mb_06_24_2016",1,"7:17:48",NA,NA,124,0,12.4,0.32,280,4.88,1.45,28.02,6,1.42,1,2.84,26.3,28.02,24.96,399.29,356.82,12.268,26.563,31.59,68.39,199.5,1800,0,88.43,3.04,-0.254,1,-0.22,2.74,1,0,0.16,111115,1
"385",385,"b2_pop_c14_aci_mb_06_24_2016",2,"7:19:41",NA,NA,236.5,0,9.05,0.325,214,4.84,1.42,27.83,6,1.42,1,2.84,26.24,27.83,24.96,300.81,269.67,12.323,26.482,31.85,68.44,199.5,1801,0,88.43,2.8,-0.251,1,-0.22,2.74,1,0,0.16,111115,1
"386",386,"b2_pop_c14_aci_mb_06_24_2016",3,"7:21:33",NA,NA,348.5,0,5.13,0.33,151,4.84,1.4,27.76,6,1.42,1,2.84,26.21,27.76,24.96,200.48,182.39,12.361,26.528,31.99,68.66,199.5,1799,0,88.43,2.48,-0.263,1,-0.22,2.74,1,0,0.16,111115,1
"387",387,"b2_pop_c14_aci_mb_06_24_2016",4,"7:23:24",NA,NA,460,0,1.04,0.342,89,4.92,1.38,27.79,6,1.42,1,2.84,26.2,27.79,24.96,101.26,96.7,12.41,26.815,32.13,69.44,199.6,1800,0,88.43,2.11,-0.269,1,-0.22,2.74,1,0,0.16,111115,1
"388",388,"b2_pop_c14_aci_mb_06_24_2016",5,"7:25:12",NA,NA,568,0,-1.05,0.357,56.3,5,1.35,27.76,6,1.42,1,2.84,26.2,27.76,24.96,50.06,52.43,12.447,27.079,32.24,70.14,199.6,1800,0,88.43,1.88,-0.273,1,-0.22,2.74,1,0,0.16,111115,1
"391",391,"b2_pop_c14_aci_mb_06_24_2016",8,"7:31:31",NA,NA,947.5,0,18.4,0.414,445,5.2,1.23,27.42,6,1.42,1,2.84,26.17,27.42,24.97,599.81,536.24,12.374,27.59,32.1,71.58,199.6,1799,0,88.42,3.44,-0.276,1,-0.22,2.74,1,0,0.16,111115,1
"392",392,"b2_pop_c14_aci_mb_06_24_2016",9,"7:33:58",NA,NA,1094,0,21.5,0.432,620,5.26,1.2,27.32,6,1.42,1,2.84,26.16,27.32,24.96,801.04,725.05,12.355,27.725,32.08,71.98,199.5,1801,0,88.43,3.66,-0.275,1,-0.22,2.74,1,0,0.16,111115,1
"393",393,"b2_pop_c14_aci_mb_06_24_2016",10,"7:36:30",NA,NA,1246,0,24.1,0.447,990,5.36,1.18,27.38,6,1.42,1,2.84,26.19,27.38,24.96,1200.89,1110.57,12.355,28.007,32.01,72.56,199.6,1800,0,88.43,3.86,-0.281,1,-0.22,2.74,1,0,0.16,111115,1
"394",394,"b2_pop_c14_aci_mb_06_24_2016",11,"7:38:31",NA,NA,1367,0,25.8,0.463,1370,5.43,1.16,27.4,6,1.42,1,2.84,26.23,27.4,24.96,1600.45,1498.3,12.405,28.281,32.07,73.11,199.6,1799,0,88.43,3.86,-0.281,0.7,-0.22,2.74,1,0,0.16,111115,1
"395",395,"b2_pop_c14_aci_mb_06_24_2016",12,"7:39:45",NA,NA,1441.5,0,25.7,0.459,1750,5.42,1.17,27.45,6,1.42,1,2.84,26.24,27.45,24.96,1999.48,1891.25,12.445,28.293,32.15,73.09,199.5,1800,0,88.43,3.86,-0.281,1,-0.22,2.74,1,0,0.16,111115,1
"397",397,"b2_pop_c14_aci_mb_07_06_2016",1,"9:08:29",NA,NA,252,0,22.8,0.557,285,7,1.29,26.22,6,1.42,1,2.84,25.52,26.22,25.02,399.87,369.35,15.859,24.071,42.79,64.96,499.3,1800,495,88.48,4,-0.445,1,-0.22,2.74,1,0,0.16,111115,1
"398",398,"b2_pop_c14_aci_mb_07_06_2016",2,"9:10:05",NA,NA,348,0,17.8,0.56,211,6.99,1.28,26.26,6,1.42,1,2.84,25.51,26.26,25.02,300.09,276.37,16.03,24.23,43.27,65.41,499.3,1799,485,88.48,3.76,-0.441,1,-0.22,2.74,1,0,0.16,111115,1
"399",399,"b2_pop_c14_aci_mb_07_06_2016",3,"9:11:41",NA,NA,444,0,11.2,0.558,144,6.97,1.28,26.32,6,1.42,1,2.84,25.52,26.32,25.02,200.28,185.32,16.207,24.383,43.73,65.79,499.4,1800,404,88.48,3.45,-0.441,1,-0.22,2.74,1,0,0.16,111115,1
"400",400,"b2_pop_c14_aci_mb_07_06_2016",4,"9:13:04",NA,NA,527,0,3.72,0.554,80.1,6.95,1.29,26.39,6,1.42,1,2.84,25.52,26.39,25.02,99.98,94.71,16.345,24.496,44.1,66.08,499.3,1800,244,88.48,2.87,-0.44,1,-0.22,2.74,1,0,0.16,111115,1
"401",401,"b2_pop_c14_aci_mb_07_06_2016",5,"9:14:36",NA,NA,619,0,-0.322,0.55,49.8,6.94,1.29,26.47,6,1.42,1,2.84,25.54,26.47,25.01,49.95,49.92,16.492,24.628,44.44,66.36,499.3,1799,528,88.48,2.54,-0.45,1,-0.22,2.74,1,0,0.16,111115,1
"404",404,"b2_pop_c14_aci_mb_07_06_2016",8,"9:20:03",NA,NA,946,0,29.1,0.547,450,6.9,1.29,26.59,6,1.42,1,2.84,25.59,26.59,25.01,600.42,560.78,16.859,24.939,45.31,67.03,499.3,1801,505,88.49,4.65,-0.427,1,-0.22,2.74,1,0,0.16,111115,1
"405",405,"b2_pop_c14_aci_mb_07_06_2016",9,"9:21:52",NA,NA,1055,0,28,0.539,648,6.85,1.29,26.61,6,1.42,1,2.84,25.59,26.61,25.01,801.28,761.39,16.888,24.911,45.39,66.95,499.3,1800,619,88.49,4.71,-0.434,1,-0.22,2.74,1,0,0.16,111115,1
"406",406,"b2_pop_c14_aci_mb_07_06_2016",10,"9:24:07",NA,NA,1190,0,30.5,0.521,1020,6.74,1.31,26.68,6,1.42,1,2.84,25.59,26.68,25.01,1200.05,1153.99,16.96,24.863,45.57,66.8,499.3,1799,663,88.49,4.04,-0.419,1,-0.22,2.74,1,0,0.16,111115,1
"407",407,"b2_pop_c14_aci_mb_07_06_2016",11,"9:26:44",NA,NA,1347,0,31,0.487,1400,6.57,1.35,26.8,6,1.42,1,2.84,25.61,26.8,25.01,1600.28,1550.81,17.002,24.698,45.64,66.29,499.3,1800,712,88.5,3.73,-0.411,0.7,-0.22,2.74,1,0,0.16,111115,1
"408",408,"b2_pop_c14_aci_mb_07_06_2016",12,"9:28:30",NA,NA,1453,0,32.2,0.467,1770,6.46,1.38,26.9,6,1.42,1,2.84,25.64,26.9,25.01,1999.06,1945.25,17.022,24.595,45.62,65.91,499.3,1800,728,88.5,2.6,-0.4,1,-0.22,2.74,1,0,0.16,111115,1
"410",410,"b2_pop_e03_aci_af_06_16_2016",1,"7:48:55",NA,NA,194,0,16.1,0.433,300,7.02,1.6,26.95,6,1.42,1,2.84,27.03,26.95,26.93,399.73,377.26,14.015,22.25,34.57,54.89,500,1800,0,88.42,2.57,-0.222,1,-0.22,2.74,1,0,0.16,111115,1
"411",411,"b2_pop_e03_aci_af_06_16_2016",2,"7:50:25",NA,NA,284,0,11.8,0.446,229,7.3,1.62,27.22,6,1.42,1,2.84,27.33,27.22,27.25,301.1,284.5,14.118,22.674,34.22,54.95,500,1800,0,88.43,2.43,-0.228,1,-0.22,2.74,1,0,0.16,111115,1
"412",412,"b2_pop_e03_aci_af_06_16_2016",3,"7:51:55",NA,NA,374,0,6.65,0.458,159,7.53,1.63,27.43,6,1.42,1,2.84,27.56,27.43,27.5,200.39,190.68,14.203,23.033,33.96,55.08,500,1799,0,88.43,2.19,-0.232,1,-0.22,2.74,1,0,0.16,111115,1
"413",413,"b2_pop_e03_aci_af_06_16_2016",4,"7:53:25",NA,NA,463.5,0,1.23,0.463,89.6,7.71,1.66,27.64,6,1.42,1,2.84,27.79,27.64,27.74,99.65,97.27,14.258,23.297,33.64,54.96,500,1799,0,88.43,1.91,-0.244,1,-0.22,2.74,1,0,0.16,111115,1
"414",414,"b2_pop_e03_aci_af_06_16_2016",5,"7:54:55",NA,NA,553.5,0,-1.33,0.466,55.2,7.83,1.67,27.78,6,1.42,1,2.84,27.97,27.78,27.94,50.53,51.64,14.3,23.473,33.39,54.81,500,1799,0,88.43,1.69,-0.248,1,-0.22,2.74,1,0,0.16,111115,1
"417",417,"b2_pop_e03_aci_af_06_16_2016",8,"7:59:59",NA,NA,857.5,0,22.5,0.436,457,8.03,1.82,28.54,6,1.42,1,2.84,28.8,28.54,28.79,600.2,567.72,14.364,23.767,31.95,52.87,500,1800,0,88.43,2.81,-0.251,1,-0.22,2.74,1,0,0.16,111115,1
"418",418,"b2_pop_e03_aci_af_06_16_2016",9,"8:01:33",NA,NA,951.5,0,25.9,0.422,627,8.04,1.87,28.79,6,1.42,1,2.84,29.07,28.79,29.08,800.07,761.62,14.375,23.794,31.48,52.1,500,1801,0,88.43,3.01,-0.242,1,-0.22,2.74,1,0,0.16,111125,1
"419",419,"b2_pop_e03_aci_af_06_16_2016",10,"8:03:03",NA,NA,1041.5,0,28.5,0.408,991,8.07,1.93,29.06,6,1.42,1,2.84,29.33,29.06,29.35,1200.67,1155.26,14.35,23.804,30.96,51.36,500,1799,0,88.43,3.06,-0.247,0.7,-0.22,2.74,1,0,0.16,111125,1
"420",420,"b2_pop_e03_aci_af_06_16_2016",11,"8:04:43",NA,NA,1141.5,0,29.9,0.402,1360,8.14,1.97,29.26,6,1.42,1,2.84,29.55,29.26,29.59,1601.15,1550.11,14.332,23.866,30.53,50.84,500,1799,0,88.43,2.89,-0.246,0.7,-0.22,2.74,1,0,0.16,111125,1
"421",421,"b2_pop_e03_aci_af_06_16_2016",12,"8:06:45",NA,NA,1263.5,0,31.5,0.401,1740,8.23,2,29.4,6,1.42,1,2.84,29.71,29.4,29.78,2000.95,1943.94,14.321,23.959,30.22,50.56,500,1799,0,88.43,2.84,-0.249,1,-0.22,2.74,1,0,0.16,111125,1
"423",423,"b2_pop_e03_aci_af_06_28_2016",1,"8:01:03",NA,NA,119.5,0,21.2,0.296,234,7.27,2.32,29.32,6,1.42,1,2.84,26.95,29.32,24.98,400.51,371.83,11.513,20.063,28.57,49.79,500,1800,0,88.56,3.09,-0.193,1,-0.22,2.74,1,0,0.16,111115,1
"424",424,"b2_pop_e03_aci_af_06_28_2016",2,"8:02:33",NA,NA,209,0,14.9,0.294,182,7.32,2.35,29.47,6,1.42,1,2.84,27.03,29.47,25.02,301.01,280.66,11.503,20.112,28.41,49.67,500,1800,0,88.56,2.89,-0.202,1,-0.22,2.74,1,0,0.16,111115,1
"425",425,"b2_pop_e03_aci_af_06_28_2016",3,"8:04:03",NA,NA,299,0,8.5,0.294,131,7.41,2.38,29.62,6,1.42,1,2.84,27.17,29.62,25.15,200.42,188.54,11.497,20.205,28.17,49.51,500,1800,0,88.56,2.58,-0.2,1,-0.22,2.74,1,0,0.16,111115,1
