Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,LiCor,Area_Corrected,Absorption_Corrected,QC,Obs,HHMMSS,Tleaf,Photo,Ci,CO2S,VpdA,RH_S,Tair,PARi,Press,Cond,BLCond,Trmmol,Ebal,FCnt,FTime,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,VpdL,CTleaf,Area,BLC_1,StmRat,TBlk,CO2R,H2OR,H2OS,RH_R,Flow,PARo,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,1,20140613,PSC0570,Yes,Yes,,1,12:33:53,26.20161057,17.19288004,216.5563683,387.2101135,1.831388414,45.99328613,24.85634804,1998.592041,100.2981491,0.17361418,9.289719582,3.421550285,0,1,3170.000003,1,0,0,497.0161133,1000.752808,750.7832031,-9999,0.503357763,0.249781567,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.009622825,0.496230684,2.013521857,-1,1998.592041,0.5,236.1181005,1.964763443,26.20161057,2,4.644859791,1,23.98869705,399.5828857,12.20341301,14.4564991,38.82509995,299.3304749,2.019935846,2.268278599,-0.027275905,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496652374,0.00342155,299.3516106,298.006348,319.7747194,0.61300412,3.414723546,34.04572842,19.58922932,25.5289793,3.281348517,0.170429057,1.449960102,0.106799817,21.72020292,0.559273533,42.11379174,384.711611,0.018820783,0,1890.596678,503.7366943,0.249781567,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,1,20140613,PSC0570,Yes,Yes,,2,12:36:24,26.29932594,9.582284774,146.4843908,241.8373108,1.861930877,45.32910919,24.86214447,1997.823486,100.3024597,0.17503374,9.289719582,3.519425177,0,2,3336.000004,2,0,0,490.0620117,936.0783691,733.5974121,-9999,0.476473308,0.216307698,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.005599479,0.453976527,1.910122284,-1,1997.823486,0.5,204.396677,2.004971847,26.29932594,2,4.644859791,1,23.98777771,248.8049774,11.93520069,14.25205421,37.96028137,299.480835,1.994622231,2.184294224,-0.026070461,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.497404175,0.003519425,299.4493259,298.0121445,319.6517507,0.590991259,3.434487941,34.24131323,19.98925901,25.58073521,3.291446971,0.171796803,1.429516094,0.107659203,14.69274471,0.605714604,41.27817396,240.4447947,0.016450313,0,1889.869653,446.0163574,0.216307698,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,1,20140613,PSC0570,Yes,Yes,,3,12:38:44,26.33252907,1.80605484,79.16995323,98.49580383,1.886167503,44.66645813,24.8690033,1998.038574,100.2986526,0.179298812,9.289719582,3.652082643,0,3,3476.000004,3,0,0,488.4172363,889.5524902,730.9992676,-9999,0.45094051,0.178239311,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.001484628,0.395261252,1.821296269,-1,1998.038574,0.5,168.4426649,2.032031338,26.33252907,2,4.644859791,1,23.98664856,99.94271088,11.6443882,14.04999065,37.01878357,299.3654175,2.026291609,2.042776585,-0.028956279,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496827087,0.003652083,299.4825291,298.0190033,319.6861647,0.566526304,3.44122647,34.30979758,20.25980693,25.60076618,3.295362635,0.175903733,1.409195132,0.110239901,7.94063964,0.803790112,40.63301018,98.23334445,0.007470523,0,1890.073119,401.1352539,0.178239311,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,1,20140613,PSC0570,Yes,Yes,,4,12:40:49,26.35317612,-0.798879406,54.89714166,49.62725449,1.90178049,44.25239563,24.90556717,2000.458984,100.3029175,0.185374673,9.289719582,3.799528217,0,4,3602.500004,4,0,0,491.2329102,858.2645264,734.2478027,-9999,0.427643931,0.144497087,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.00010628,0.337891119,1.747164143,-1,2000.458984,0.5,136.7204514,2.046241572,26.35317612,2,4.644859791,1,23.98676491,49.21949005,11.44643784,13.94955444,36.31171799,299.348938,2.10229063,2.029722691,-0.029500827,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.49674469,0.003799528,299.5031761,298.0555672,320.0734303,0.542803627,3.44542258,34.35017312,20.40061868,25.62937164,3.300961498,0.181747926,1.399181008,0.11391282,5.50634347,1.106189376,40.33078193,49.74334919,-0.006477133,0,1892.36274,367.0316162,0.144497087,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,1,20140613,PSC0570,Yes,Yes,,5,12:43:44,26.20453072,18.22462114,226.0762321,388.2319946,1.892076277,44.10332489,24.91338158,2000.572754,100.2997208,0.19523366,9.289719582,3.945999653,0,5,3776.500004,5,0,0,477.8078613,910.2849731,707.4318848,-9999,0.475100792,0.222845696,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.010158479,0.469049304,1.905127661,-1,2000.572754,0.5,210.8644375,2.020194821,26.20453072,2,4.644859791,1,23.98488045,401.432312,11.30965137,13.90948963,35.85992432,299.3349915,2.296463013,2.252653599,-0.02279745,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496674957,0.003946,299.3545307,298.0633816,320.0916335,0.524333962,3.415312747,34.05106934,20.14157971,25.55895615,3.287194203,0.191215065,1.395117926,0.119864079,22.67538295,0.582322517,40.64304795,385.5835575,0.019209952,0,1892.470362,432.4771118,0.222845696,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,2,20140613,PSC0570,Yes,Yes,,6,12:56:48,30.22655106,17.39178707,200.9410653,387.6092834,3.021292086,31.1294136,31.27854729,2000.062622,100.2851639,0.163521458,9.289719582,4.766303141,0,6,4560.500003,6,0,0,500.3491211,970.5975342,719.0803833,-9999,0.484493723,0.2591364,-1,0.945015789,0.954679382,9.815084457,0.945964279,0.00972088,0.53486018,1.93984059,-1,2000.062622,0.5,245.1414531,2.889381219,30.22655106,2,4.644859791,1,31.97939682,400.467865,11.08743286,14.22767544,24.25872421,299.2437439,2.273250818,2.480528355,-0.049460277,0.333333343,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496218719,0.004766303,303.3765511,304.4285473,320.0100124,0.488638677,4.316205982,43.0393272,28.81165176,30.75254917,4.448116849,0.160692876,1.426824763,0.100683405,20.15140767,0.518411385,32.27618182,385.0818753,0.014577172,0,1891.987796,470.2484131,0.2591364,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,2,20140613,PSC0570,Yes,Yes,,7,12:58:56,30.45765114,9.061187844,136.6738884,242.3591003,3.068919888,30.78613472,31.33016396,1999.303589,100.2872467,0.15235419,9.289719582,4.553379692,0,7,4688.000004,7,0,0,492.8569336,912.5192261,703.6151123,-9999,0.459894192,0.228931192,-1,0.945015789,0.954679382,9.974137306,0.945979649,0.005319719,0.497791004,1.851489071,-1,1999.303589,0.5,216.4888394,2.958495522,30.45765114,2,4.644859791,1,31.97811699,249.1465912,11.11426163,14.11186695,24.2466259,299.5139465,2.431525946,2.575315952,-0.045025691,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.497569733,0.00455338,303.6076511,304.480164,319.8885671,0.516943198,4.373735804,43.61208377,29.50021682,30.89390755,4.48416017,0.149895853,1.415240282,0.093902716,13.70664797,0.563931324,31.47127897,241.042311,0.011830586,0,1891.300507,419.6622925,0.228931192,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,2,20140613,PSC0570,Yes,Yes,,8,13:00:59,30.30996323,1.026165718,83.33941665,99.06790924,2.975005805,31.78909874,30.68181419,2001.00769,100.2874222,0.146595264,9.289719582,4.338627279,0,8,4811.000004,8,0,0,486.9645996,869.0247803,702.4917603,-9999,0.439642447,0.191632073,-1,0.945015789,0.954679382,9.951979637,0.945977508,0.001070398,0.435881645,1.784574856,-1,2001.00769,0.5,181.3709676,2.928581054,30.30996323,2,4.644859791,1,30.9975853,100.0405655,11.18509102,14.04276752,25.32007599,299.3831482,2.453674078,2.502203465,-0.046664104,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496915741,0.004338627,303.4599632,303.8318142,320.1612233,0.531580167,4.33689401,43.2446454,29.20187787,30.49588871,4.38331876,0.144317873,1.408312955,0.090400552,8.357895261,0.841235242,31.561566,98.91878486,0.00327414,0,1892.908268,382.0601807,0.191632073,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,2,20140613,PSC0570,Yes,Yes,,9,13:03:29,30.15137672,-1.203310767,59.84922745,49.4533844,2.938891716,32.09817505,30.62299728,1999.390991,100.2895508,0.150442895,9.289719582,4.376690569,0,9,4961.500004,9,0,0,488.293457,824.0101929,710.1740112,-9999,0.407418183,0.138148997,-1,0.945015789,0.954679382,9.974137306,0.945979649,-0.000107493,0.339084024,1.687530687,-1,1999.390991,0.5,130.6463451,2.880402407,30.15137672,2,4.644859791,1,31.00089645,48.79401016,11.24845409,14.13140678,25.54981422,299.3348999,2.705894709,2.338755131,-0.045686588,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.4966745,0.004376691,303.3013767,303.7729973,319.9025514,0.528670327,4.297634845,42.85226937,28.72086259,30.387187,4.356124154,0.148045366,1.417232438,0.092740811,6.002252136,1.210214997,32.11085568,49.62825185,-0.007785754,0,1891.383188,335.7167358,0.138148997,-9999
Kingsburg,Peach1,Peach,1,1,Top,na,Kingsburg_Peach1_Peach_L1T_GE,2,20140613,PSC0570,Yes,Yes,,10,13:07:07,30.24673653,16.4260466,201.8822195,388.1821289,2.992013614,31.6187439,31.06810379,2000.467773,100.2880936,0.154680479,9.289719582,4.512667699,0,10,5179.000004,10,0,0,479.1079102,889.5125732,677.84375,-9999,0.46138152,0.237960462,-1,0.945015789,0.954679382,9.951979637,0.945977508,0.009208449,0.51575638,1.856601727,-1,2000.467773,0.5,225.1578943,2.889214803,30.24673653,2,4.644859791,1,31.58371162,400.3309021,11.30587006,14.27876091,25.03560638,299.2529907,2.247932434,2.665995121,-0.044424877,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.496264954,0.004512668,303.3967365,304.2181038,320.0748366,0.522334342,4.321204513,43.08791163,28.80915072,30.65742016,4.424003324,0.152147121,1.43198971,0.095316357,20.24638292,0.520070875,32.29162356,385.7950641,0.013748847,0,1892.397519,410.4046631,0.237960462,-9999
