ID,Year,Fertilisation,Season,Site,Plot,Tree,Rep,Family,Genus,Species,Photosynthesis,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,Asat,Cond,SLA,C,N,P,K,Ca,Mg,Mn,Phenol_Perc,Phenol,Tannin_Perc,Tannin,CII,Height,Diameter10cm,Diameter50cm,LAI,Herbivory
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(mg g-1),(%),(mg g-1),(/),(cm),(mm),(mm),(m² m-2),(%)
2017_dry_PAR-T3_LP2_A-Ci,2017,P,dry,PAR,T3,LP2,1,Lecythidaceae,Lecythis,persistens,A-Ci,24.159,33.042,0.189,27.337,57.552,2.429,6.43385604,0.139780842,145.727341,53.11774826,1.627630115,0.039638155,0.576430203,0.283201348,0.238886493,0.013383426,NA,NA,NA,NA,1,117,12.6,6.3,NA,NA
2017_dry_PAR-T3_LP3_A-Ci,2017,P,dry,PAR,T3,LP3,1,Lecythidaceae,Lecythis,persistens,A-Ci,13.603,19.689,0.189,16.495,34.57,1.488,4.090599973,0.080511276,116.0789798,50.35248566,1.551348686,0.034843659,0.535710515,0.285424106,0.295821242,0.011897481,NA,NA,NA,NA,1,85,8.73,6.42,NA,NA
2017_dry_PAR-T3_OX2_A-Ci,2017,P,dry,PAR,T3,OX2,1,Annonaceae,Oxandra,asbeckii,A-Ci,8.899,23.936,0.059,8.767,24.138,NA,2.135692823,0.035164599,175.9851852,48.36856461,1.702186227,0.063991874,1.892521585,0.292732351,0.280234891,0.013503047,NA,NA,NA,NA,1,173,13.01,10.23,NA,NA
2017_dry_PAR-T3_OX4_A-Ci,2017,P,dry,PAR,T3,OX4,1,Annonaceae,Oxandra,asbeckii,A-Ci,11.273,22.685,0.059,NA,NA,NA,3.543393089,0.027339566,187.2086331,49.14583588,1.78329885,0.063991874,1.892521585,0.292732351,0.280234891,0.013503047,NA,NA,NA,NA,1,97.5,15.09,5.14,NA,NA
2017_dry_PAR-T3_OX9_A-Ci,2017,P,dry,PAR,T3,OX9,1,Annonaceae,Oxandra,asbeckii,A-Ci,6.89,15.359,0.059,NA,NA,NA,2.437564043,0.059840197,185.7587302,49.30615616,2.00298214,0.063991874,1.892521585,0.292732351,0.280234891,0.013503047,NA,NA,NA,NA,1,208.5,17.26,11.75,NA,NA
2017_dry_PAR-T4_AL2_A-Ci,2017,C,dry,PAR,T4,AL2,1,Chrysobalanaceae,Licania,alba,A-Ci,15.208,28.034,0.213,15.144,31.48,2.14,4.478952072,0.067962199,151.5562566,47.37153625,1.53475523,0.033515065,0.198021617,0.217066857,0.299282538,0.003925202,NA,NA,NA,NA,1,132.9,14.86,11.33,NA,NA
2017_dry_PAR-T4_AL6_A-Ci,2017,C,dry,PAR,T4,AL6,1,Chrysobalanaceae,Licania,alba,A-Ci,14.826,26.621,0.213,15.694,28.255,2.065,5.674145979,0.149631694,108.7125312,46.9719162,1.214122772,0.028974083,0.148026244,0.241684626,0.27077306,0.005614326,NA,NA,NA,NA,1,121.6,10.47,8.1,NA,NA
2017_dry_PAR-T4_AL9_A-Ci,2017,C,dry,PAR,T4,AL9,1,Chrysobalanaceae,Licania,alba,A-Ci,13.221,19.719,0.213,14.336,26.04,1.513,4.200770479,0.048202,116.0250756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,188.5,11.49,9.74,NA,NA
2017_dry_PAR-T4_IH1_A-Ci,2017,C,dry,PAR,T4,IH1,1,Myristicaceae,Iryanthera,hostmannii,A-Ci,16.996,31.661,0.27,NA,NA,NA,4.324753258,0.070744077,137.0738548,58.30363464,1.662338018,0.048554368,0.757306725,0.343095537,0.223119107,0.003276241,NA,NA,NA,NA,1,102.7,14.42,11.95,NA,NA
2017_dry_PAR-T4_IH2_A-Ci,2017,C,dry,PAR,T4,IH2,1,Myristicaceae,Iryanthera,hostmannii,A-Ci,18.566,39.752,0.27,18.469,46.615,2.93,4.534271811,0.115341555,142.0691145,51.68929672,1.632616758,0.04637263,0.759583677,0.385956307,0.282137263,0.005434872,NA,NA,NA,NA,1,102.5,12.6,10.18,NA,NA
2017_dry_PAR-T4_IH4_A-Ci,2017,C,dry,PAR,T4,IH4,1,Myristicaceae,Iryanthera,hostmannii,A-Ci,5.07,2.642,0.27,NA,NA,NA,2.235810574,0.043130206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,84.4,11.59,7.84,NA,NA
2017_dry_PAR-T4_IH8_A-Ci,2017,C,dry,PAR,T4,IH8,1,Myristicaceae,Iryanthera,hostmannii,A-Ci,5.201,9.688,0.27,NA,NA,NA,2.457977959,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,108.4,21.83,12.64,NA,NA
2017_dry_PAR-T4_IH9_A-Ci,2017,C,dry,PAR,T4,IH9,1,Myristicaceae,Iryanthera,hostmannii,A-Ci,15.613,35.642,0.27,15.149,38.726,2.752,4.499803495,0.097071891,113.2025316,52.49163055,1.518119335,0.041911765,0.346737132,0.449261029,0.382144301,0.00791636,NA,NA,NA,NA,1,79.2,16.04,7.49,NA,NA
2017_dry_PAR-T4_OX7_A-Ci,2017,C,dry,PAR,T4,OX7,1,Annonaceae,Oxandra,asbeckii,A-Ci,17.462,27.662,0.059,19.767,31.563,2.076,5.661448685,0.050193333,172.5875486,50.23257065,1.717487574,0.040438079,0.89564027,0.2781508,0.431682814,0.006994524,NA,NA,NA,NA,1,82.9,7.58,5.22,NA,NA
2017_dry_PAR-B1_EF1_Asat,2017,N,dry,PAR,B1,EF1,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,3.61429961,0.077251415,214.1258524,50.9111824,1.492619634,0.089962121,0.930713384,0.212032828,0.136303662,0.002645202,NA,NA,NA,NA,1,114,7.23,5.45,NA,NA
2017_dry_PAR-B1_EF10_Asat,2017,N,dry,PAR,B1,EF10,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,4.551787524,0.109130126,273.5365213,50.61014175,1.398531318,0.063859981,0.7515965,0.275775781,0.165649243,0.005875118,NA,NA,NA,NA,1,80,7.3,4.09,NA,NA
2017_dry_PAR-B1_EF3_Asat,2017,N,dry,PAR,B1,EF3,1,Fabaceae,Eperua,falcata,Asat,NA,NA,NA,NA,NA,NA,3.974170182,0.066049064,170,50.64063263,1.571478367,0.063859981,0.7515965,0.275775781,0.165649243,0.005875118,NA,NA,NA,NA,1,84.2,7.28,4.03,NA,NA
