ID,Year,Fertilisation,Season,Site,Plot,Tree,Branch,Rep,Family,Genus,Species,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,CCI,SLA,C,N,P,K,Ca,Mg,Mn,S,Na,V,Sr,As,Cd,Cr,Cu,Fe,Pb,Zn,Mo,CII,Height,Remark_Height/CII
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(/),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(%),(/),(m),(/)
2019_wet_PAR-B3_61T3,2019,P,wet,PAR,B3,61,T,3,Chrysobalanaceae,Licania,alba,35.261,98.808,0.919,35.137,100.695,7.637,41.8,48.62212944,48.89338303,0.961358011,0.036908078,0.459842237,0.217715866,0.163314565,0.003870647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,
2019_wet_PAR-B3_61D1,2019,P,wet,PAR,B3,61,D,1,Chrysobalanaceae,Licania,alba,17.744,45.457,0.893,17.793,47.123,3.292,35.23333333,76.94568907,47.98415756,1.120747447,0.036335404,0.377958601,0.201553526,0.193753149,0.00270427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_PAR-B3_61D2,2019,P,wet,PAR,B3,61,D,2,Chrysobalanaceae,Licania,alba,17.232,50.247,0.893,17.203,51.816,3.577,35.6,80.61634696,47.87346268,1.260624766,0.039183437,0.353251966,0.249007866,0.256455228,0.003395771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_PAR-B3_61D3,2019,P,wet,PAR,B3,61,D,3,Chrysobalanaceae,Licania,alba,19.157,51.385,0.893,19.146,52.594,3.619,41.06666667,72.2859339,47.42458725,1.036059499,0.038388626,0.232536153,0.301944965,0.301867619,0.00436426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,
2019_wet_PAR-T3_100D3,2019,P,wet,PAR,T3,100,D,3,Chrysobalanaceae,Licania,alba,23.079,66.471,0.554,22.984,67.01,4.544,35.56666667,69.26702509,46.55681229,1.188539267,0.037292818,0.393997645,0.162197401,0.124573449,0.003673548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,
2019_wet_PAR-T3_100D2,2019,P,wet,PAR,T3,100,D,2,Chrysobalanaceae,Licania,alba,19.662,49.727,0.554,NA,NA,NA,25.83333333,83.84402655,47.79871368,1.080361128,0.039147455,0.375111494,0.160728896,0.205192827,0.002394779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,
2019_wet_PAR-T3_100T1,2019,P,wet,PAR,T3,100,T,1,Chrysobalanaceae,Licania,alba,28.143,69.361,1.022,28.061,70.548,5.625,32.33333333,65.65866957,47.3037529,1.096068025,0.042178771,0.408111011,0.205820593,0.162834669,0.002511219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,
2019_wet_PAR-T3_100T2,2019,P,wet,PAR,T3,100,T,2,Chrysobalanaceae,Licania,alba,21.05,58.387,1.022,20.965,59.142,4.792,22.6,68.07929515,45.90698624,1.031263471,0.038884943,0.414456883,0.165969279,0.177063587,0.003397217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,
2019_wet_PAR-T3_100D1,2019,P,wet,PAR,T3,100,D,1,Chrysobalanaceae,Licania,alba,19.328,62.278,0.554,NA,NA,NA,28.23333333,80.18282989,46.913414,1.222385645,0.041795666,0.362930629,0.182375666,0.211723868,0.002997947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,
2019_wet_PAR-T3_100T3,2019,P,wet,PAR,T3,100,T,3,Chrysobalanaceae,Licania,alba,15.646,60.138,1.022,NA,NA,NA,31.43333333,71.41611842,46.54782104,1.131802559,0.042073948,0.491065359,0.190194779,0.143020424,0.002686628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,
2019_wet_NOU-S1_71T3,2019,N,wet,NOU,S1,71,T,3,Chrysobalanaceae,Licania,alba,18.126,43.263,0.438,NA,NA,NA,33.93333333,90.09058824,48.50151443,1.242704153,0.035442531,0.405296155,0.105676315,0.137624106,0.001535368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,
2019_wet_NOU-S1_107D3,2019,N,wet,NOU,S1,107,D,3,Chrysobalanaceae,Licania,alba,25.986,52.927,0.5,25.399,54.214,3.792,50,84.53064067,48.08720779,1.17226541,0.03355187,0.479730839,0.108412353,0.241765237,0.002186037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,
2019_wet_NOU-S1_107D2,2019,N,wet,NOU,S1,107,D,2,Chrysobalanaceae,Licania,alba,11.342,36.299,0.5,NA,NA,NA,48.5,83.69961089,47.92033386,1.160901546,0.033672295,0.541992599,0.11757009,0.244832599,0.002539582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,
