A,gsw,Ci,CO2s,Patm,Qin,RHs,Tleaf,SampleID,SampleID_num,Record
27.40452644,0.137619876,95.31260611,397.4792,100.4842,1999.0814,69.5417,31.3963,CORN Sun 1,1,1
44.10379772,0.231086211,84.29520929,386.0846,100.4809,1999.4577,70.6637,31.4489,Corn 2,2,1
NA,NA,NA,413.6764,100.4473,1498.1652,73.5156,25.5299,LALA Sun 2,3,1
5.979954396,0.08780094,304.5649673,410.3369,100.9979,1498.6572,43.9396,30.0587,TICO Shade,4,1
7.652440598,0.093852255,272.0847226,409.4611,100.2975,1499.5928,65.6946,33.1827,ACSA Sun 3,5,1
9.883583673,0.123141859,281.5837588,408.1609,100.4793,1499.6823,66.937,29.8429,ACRU 3 Sun,6,1
NA,NA,NA,413.1874,101.2971,1498.6045,72.4227,17.8906,ABBA Shade 1,7,1
10.32457384,0.108802998,255.5419343,409.721,101.3195,1499.1043,68.0073,20.8192,ABBA Sun 2,8,1
3.571358674,0.051411753,331.7130585,412.7975,100.4386,1498.1468,60.2427,34.9485,ABBA 1,9,1
8.586487161,0.088374169,267.8942792,409.3114,101.1514,1501.4017,55.5957,27.9407,ACSA2 Real Int,10,1
5.022653266,0.038187606,293.0671491,412.538,100.501,1499.2137,67.8083,30.5662,ACPL Shade 2,11,1
7.128222909,0.072216973,264.2813783,410.1871,101.006,1498.2599,41.6534,31.5463,ACRU Shade ,12,1
8.285666688,0.079919873,281.6306178,409.9654,100.4945,1499.615,68.3723,30.324,ACRU2 shade,13,1
10.15282304,0.121019057,293.7396373,409.0062,101.0753,1501.569,53.9003,29.8113,ACSA1 ,14,1
12.84315765,0.120443963,253.3419573,407.7637,101.0659,997.9211,49.6202,28.9558,ACSA2 ,15,1
6.565742333,0.07247756,287.5687507,410.3436,101.0448,1498.1258,44.0271,32.1274,ACSA Shade ,16,1
4.849447341,0.059794897,288.752767,411.4019,100.9787,1498.1832,49.2911,28.1776,ACSA (real) shade,17,1
4.079382174,0.044441365,345.9466059,413.6322,100.4972,1499.0639,68.9223,29.9459,ACSA Shade 2B,18,1
5.014148359,0.056284608,294.9393615,411.5953,101.1064,1498.6208,53.2245,29.1006,ACNE Int/Shade,19,1
7.996407866,0.074456394,345.430375,413.2108,100.4744,1501.3018,69.7536,27.1234,ACSA Sun 4,20,1
5.135361105,0.046337707,272.0502978,412.1807,101.164,1500.7471,56.8111,27.981,ACSA1 Real Int,21,1
19.9740604,0.343560632,298.7593548,400.2582,100.9365,1500.5368,55.2906,27.9317,Alnus ?3,22,1
NA,NA,NA,408.1181,101.5231,1498.8501,55.7884,26.26,Alnus?1,23,1
16.75725729,0.219182285,287.8988308,405.7501,101.0258,1500.7872,67.5421,25.6251,Alnus 2,24,1
12.44006599,0.125519066,255.91627,406.505,101.1571,1501.6232,61.984,26.5008,BEPA Shade 1,25,1
14.33996577,0.218618315,297.9782933,406.104,101.0302,1500.7191,47.6814,20.0843,BEPA1,26,1
15.58784174,0.192200062,277.0765312,405.6077,101.0645,1501.1785,61.6211,18.1875,BEPA2 ,27,1
2.168858188,0.036138183,367.4034053,415.1953,101.0271,1498.1977,40.0285,32.2496,BEAL Shade,28,1
3.392978249,0.035242822,369.1706732,413.762,100.5036,1501.6648,69.1005,29.2015,BEAL Shade 2,29,1
5.723501687,0.04136215,244.1976932,411.6642,100.9981,1499.9617,69.9628,21.3818,BEPA Shade 2,30,1
12.85019142,0.105639886,242.1701873,408.6368,100.9912,1499.2638,72.1572,19.4124,BEPA Sun 3,31,1
14.95266274,0.219440986,296.0316386,404.421,101.2951,1498.1471,74.2204,30.3947,CABI Sun 1,32,1
3.669007269,0.043103539,320.2430545,413.1387,101.2704,1500.512,64.2468,32.9167,CABI Shade 1,33,1
17.29620212,0.161939204,246.9674541,404.8826,100.9825,1999.302,72.8322,21.2409,Corn Shade 1,34,1
25.1395409,0.152387261,145.9142565,398.7462,101.0011,1999.3456,72.3136,21.4032,Corn Sun 3,35,1
17.64880948,0.34841883,323.4119043,403.2125,101.1027,1499.0086,56.7936,29.684,Frangula alnus 1,36,1
3.966157145,0.029860209,282.4822749,412.9486,101.2517,1500.8662,56.7549,34.2283,GIBI Shade 2,37,1
7.117288264,0.056796895,244.2096706,410.8204,101.2709,1498.3186,61.1989,33.5318,GIBI Shade 1,38,1
13.04694889,0.154334542,274.3869682,406.0282,101.3142,1499.1667,74.6977,27.1722,GIBI Sun 1,39,1
11.89182266,0.109898755,244.365075,407.4219,101.3037,1498.2662,76.3091,29.2156,GIBI Sun 2,40,1
7.196349181,0.128103491,318.9396316,410.1561,101.3085,1498.0023,72.3423,24.4158,JUAL Shade 1,41,1
4.290127945,0.093860585,338.955022,412.7617,101.3,1501.8641,71.7882,23.5031,JUNI Shade 1,42,1
6.466060065,0.147886572,340.8487539,411.9993,101.3123,1498.4892,73.1223,24.89,JUNI Shade 2,43,1
10.77711128,0.169678445,304.6405249,407.1758,101.3072,1501.0072,75.0446,25.7846,JUNI Sun 1,44,1
13.37369411,0.236784436,314.1179176,405.9391,101.3033,1501.3839,76.6988,24.9961,JUNI Sun 2,45,1
15.05433002,0.314199631,325.2421825,404.8483,101.3126,1500.2976,75.3522,25.9321,JUAL Sun 1,46,1
8.334555291,0.122125287,308.8878109,410.7498,101.0901,1498.7149,52.6229,20.5948,LA?1,47,1
11.86368941,0.163651983,324.0678037,410.9823,100.5133,1500.0552,71.0755,26.3933,LALA Shade 1,48,1
14.13358006,0.215054583,321.9356945,409.6088,100.5235,1498.4869,71.3546,25.7376,LADE? Shade 1,49,1
12.3756492,0.159434286,352.9688899,412.7268,100.439,1499.5099,70.8375,25.067,Larix decidua? Sun 1,50,1
12.61458303,0.149785581,269.4644269,408.0676,100.3559,1500.2878,64.6611,31.1872,Larix ?? Sun,51,1
NA,NA,NA,407.1215,101.5691,1499.3302,60.0642,28.3573,Maple 1,52,1
11.6152994,0.101580687,241.8454117,407.7999,101.0344,1501.5556,63.1127,26.4821,Maple 2,53,1
19.55857903,0.228164809,256.7350676,400.2063,100.9506,1500.5878,53.3587,28.7901,Quercus 3 ,54,1
NA,0.023969794,115.3260772,412.8922,101.3033,1498.5244,67.0274,20.5696,Picea abeis Sun 2,55,1
3.794942957,0.039679416,289.504341,413.632,100.9451,1500.5852,69.9237,20.8289,Picea abeis Shade 2,56,1
5.954942076,0.044745902,200.6064632,412.1012,101.3208,1498.8182,64.7257,22.4346,PIAB Sun 3,57,1
13.73922368,0.153217629,260.673063,408.1925,100.3416,1498.3391,66.0017,30.3129,PIGL? Sun 2?,58,1
15.48952624,0.127572632,219.6527165,406.0832,100.5253,1500.0678,69.4091,27.0056,PIGL 1 Sun,59,1
0.420032464,0.013636012,506.2148562,414.8026,100.9641,1498.1332,69.3993,19.6734,Picea glauca Shade 1,60,1
5.268615984,0.077711103,309.8342593,412.6513,100.4066,1500.5449,55.0852,35.913,PIOM Shade 1,61,1
NA,NA,NA,406.6295,101.3045,1497.9284,71.8236,18.3601,PIGL? Sun 3,62,1
7.372742291,0.091238081,289.8150033,411.3457,100.419,1498.064,56.5572,35.0498,Picea PIAB? M4,63,1
3.303601637,0.030226612,268.8267999,413.8837,100.3751,1499.7137,59.9631,32.8761,Picea M8 Shade,64,1
4.435368456,0.034194225,214.0217051,412.306,101.3063,1501.5219,69.7925,19.3086,PIRU Sun 2,65,1
5.665797621,0.090329552,326.1473962,412.0899,100.9725,1499.1388,70.5926,19.864,PIRU Shade 1,66,1
