A,gsw,Ci,CO2s,Patm,Qin,RHs,Tleaf,SampleID,SampleID_num,Record
7.301794559,0.070533882,251.5773531,410.6243,100.472,1500.7351,62.4497,31.9103,PIRU 1 Sun ,67,1
8.826966397,0.085088678,245.9565547,411.2971,101.3031,1499.0677,70.4392,19.498,PIRU Sun 3,68,1
14.49055823,0.168357677,276.0847123,408.494,100.5379,1501.5662,69.9869,26.7692,PIST2 Sun,69,1
14.43311506,0.256239293,318.3359934,405.9525,101.0031,1501.3102,73.2631,19.8528,PIST Sun 3,70,1
10.03826504,0.093963793,250.5515548,411.3843,101.1175,1500.3195,50.465,27.7953,PIOM1 ,71,1
5.326199362,0.048766215,268.0779204,411.3947,101.1209,1500.6429,51.9248,28.4266,PIST1 Sun?,72,1
16.73068189,0.213000591,274.5529878,404.2562,100.9828,1500.7107,56.4945,29.1019,Poplar 2 ,73,1
NA,NA,NA,406.3562,101.5669,1500.954,57.6935,27.1443,Poplar 1 ,74,1
3.404694317,0.053884234,345.3635218,412.8421,100.448,1500.3262,57.885,34.4345,PIST Shade 1,75,1
4.193944617,0.074564086,319.6373846,412.2322,100.3229,1501.767,66.0824,31.7899,QURO Shade 2,76,1
14.57979344,0.157347116,262.0422756,405.1073,101.0188,1501.6191,62.936,27.4717,Quercus 2,77,1
21.77814823,0.28316816,295.1193533,403.2433,101.1053,1500.2731,60.46,26.1894,QURU1/Quercus 4,78,1
6.031037242,0.06895557,273.9167107,411.0128,100.9707,1498.5184,52.2003,26.4721,QURU Shade,79,1
5.467670662,0.061553748,334.6029939,413.1704,100.5181,1499.8226,68.9867,28.6253,QURU Shade 2,80,1
11.98779179,0.145432054,288.2321293,407.3577,100.9928,1501.5512,71.7443,19.7751,QURU Sun 4,81,1
NA,NA,NA,409.8063,101.582,1499.5977,60.6186,29.1853,Quercus 1,82,1
5.346467778,0.061183069,296.4141712,411.125,101.1506,1499.2576,54.911,27.4501,QURO1 Int/Shade,83,1
19.91857435,0.23617131,266.3014235,402.9369,101.0438,1498.3545,60.2204,17.7313,QURO2 ,84,1
20.66163269,0.320383735,292.4602301,400.3421,101.0131,1499.4579,62.134,27.9724,Red fruit 2,85,1
10.780906,0.147666096,336.30358,410.1654,100.489,1499.1939,71.2987,26.3012,Real fruit (FRAL) Shade 1,86,1
NA,NA,NA,406.8638,101.5044,1499.6306,55.8333,25.1404,Red fruit 1,87,1
9.79046693,0.128551553,332.9929202,410.0568,100.5002,1499.2982,70.7165,26.4806,RHCA Shade 1,88,1
6.040465462,0.041489415,193.173589,410.891,102.1329,1502.1337,69.0878,17.7367,Rhodo Paul Bosley Shade 1,89,1
9.260319101,0.068534962,200.4758673,409.4354,102.1216,1499.576,72.1251,17.4863,Rhodo Paul Bosley Sun 1,90,1
7.124829947,0.073245525,244.9360731,395.2923,102.0441,1498.253,67.9802,21.1033,RHODE Shade 1,91,1
6.672512682,0.057307058,216.6764998,395.4564,102.014,1501.8665,67.3603,22.7892,RHODE Shade 2,92,1
10.33050399,0.112625423,246.3760429,393.0295,102.0251,1498.077,69.9511,22.5043,RHODE sun 2,93,1
11.71550753,0.172695796,281.6736734,392.3852,102.0545,1502.0706,68.9568,21.4339,RHODE Sun 1,94,1
6.589350223,0.047787721,200.1235084,410.0877,102.0751,1499.8446,66.3627,21.5422,RHO makinoi Shade 1,95,1
13.0065774,0.117167642,228.2451135,405.938,102.0905,1500.8278,67.6195,21.051,RHO Makinoi Sun 1,96,1
10.14215987,0.088130832,226.1019445,407.4709,102.0978,1499.3819,68.1677,20.432,RHOMA 1 Shade 2,97,1
10.83677685,0.137808567,281.2583185,407.322,102.1086,1499.4817,69.0802,19.4146,RHOMA Sun 2,98,1
9.659509462,0.103197684,261.3272436,408.4561,102.1382,1499.7461,69.977,18.0427,RHOMA pride's pink sun 1,99,1
6.222278277,0.07124462,277.3095391,410.9016,102.1246,1499.4554,69.9385,18.8611,RHOMA pride's pink shade 1,100,1
1.921929474,0.022365671,299.4603048,415.2021,100.3293,1497.7657,64.954,31.6825,THOC Shade 1,101,1
10.34653786,0.098052997,250.2426937,410.0911,100.5024,1501.6066,68.2582,28.244,TH OC Sun 2,102,1
10.1402016,0.119851838,282.0964102,409.0736,101.1493,1500.9615,54.3555,23.6926,THOC1 ,103,1
1.316326679,0.007364216,182.9757706,414.0182,101.3055,1001.4659,68.998,19.813,THOC Shade 2,104,1
16.72536447,0.198767777,286.0117213,404.2079,101.1082,1500.5555,56.3015,29.8327,Tico 1,105,1
5.403408734,0.043574789,314.8417156,412.7383,100.5152,1502.0687,68.9608,28.7106,TICO Shade 2,106,1
