SampleID,Species,LMA,leaf_type,pubescent,leaf_habit,Photosynthetic_pathway,Nmass,Narea,Pmass,Parea,LWC,Dataset_name,Phenological_stage,Site_name,Soil,Sun_Shade,Measurement_date,Plant_type
PIGL? Sun 2?,Picea glauca,248.0629542,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,60.4678169,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/06/2023,Wild
PIGL? Sun 3,Picea glauca,282.8341956,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,55.4130435,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,9/20/2023,Wild
Picea glauca Shade 1,Picea glauca,146.0834382,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,66.5603572,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/12/2023,Wild
PIGL 1 Sun,Picea glauca,238.6139481,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,60.3841349,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/06/2023,Wild
PIOM Shade 1,Picea omorika,118.3393671,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,61.1160319,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/06/2023,Wild
PIOM1 ,Picea omorika,142.2375542,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,60.9677419,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/31/2023,Wild
PIOM Sun 2,Picea omorika,165.0110943,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,63.3500093,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/12/2023,Wild
PIRU Shade 1,Picea rubens,144.3861583,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,67.3648134,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/12/2023,Wild
PIRU Sun 2,Picea rubens,167.671438,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,62.054018,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,9/20/2023,Wild
PIRU Sun 3,Picea rubens,163.4100555,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,62.0410913,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,9/20/2023,Wild
PIRU 1 Sun ,Picea rubens,193.1385442,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,64.4452788,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/06/2023,Wild
PIST1 Sun?,Pinus strobus,108.408548,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,65.8463084,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/31/2023,Wild
PIST Sun 3,Pinus strobus,149.1762568,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,61.4994501,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/12/2023,Wild
PIST Shade 1,Pinus strobus,87.14818308,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,67.4591652,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/06/2023,Wild
PIST2 Sun,Pinus strobus,135.398027,needleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,62.7446716,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/06/2023,Wild
Poplar 1 ,Tilia cordata,119.302755,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,56.2397947,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/22/2023,Wild
Poplar 2 ,Tilia cordata,65.61960027,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,62.7480533,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/24/2023,Wild
Quercus 1,Quercus robur,57.3582299,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,61.3093935,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/22/2023,Wild
Quercus 2,Quercus rubra,86.18969998,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,51.4847552,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/24/2023,Wild
Quercus 3 ,Quercus rubra,110.2744808,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,52.3671619,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/24/2023,Wild
QURU1/Quercus 4,Quercus rubra,126.2924117,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,49.9675478,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/28/2023,Wild
QURO1 Int/Shade,Quercus robur,55.38779082,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,59.4927914,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,8/31/2023,Wild
QURO Shade 2,Quercus robur,38.33860138,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,62.7346416,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/06/2023,Wild
QURO2 ,Quercus robur,102.3287615,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,50.3273007,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/31/2023,Wild
QURU Shade,Quercus rubra,36.81512478,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,63.956348,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,8/28/2023,Wild
QURU Shade 2,Quercus rubra,44.33506116,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,63.5663154,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/08/2023,Wild
QURU Sun 4,Quercus rubra,115.3997641,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,53.8181676,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/12/2023,Wild
ACSA1 Real Int,Acer saccharum,32.90169664,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,64.2259986,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,8/31/2023,Wild
ACSA2 Real Int,Acer saccharum,39.99986555,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,58.8524926,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/31/2023,Wild
ACSA (real) shade,Acer saccharum,27.0314405,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,65.4326923,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,8/28/2023,Wild
Red fruit 1,Frangula alnus,45.54646391,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,71.3175978,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/22/2023,Wild
Red fruit 2,Frangula alnus,48.46990057,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,69.17458,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/24/2023,Wild
Real fruit (FRAL) Shade 1,Frangula alnus,28.171114,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,75.0589468,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/08/2023,Wild
RHCA Shade 1,Rhamnus cathartica,22.79775853,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,76.5261171,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/08/2023,Wild
Rhodo Paul Bosley Shade 1,Rhododendron Paul Bosley,73.85153738,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,68.6028257,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
Rhodo Paul Bosley Sun 1,Rhododendron Paul Bosley,112.6156098,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,61.4567793,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHODE Shade 1,Rhododendron degronianum,135.1409645,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,57.6022783,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
RHODE Shade 2,Rhododendron degronianum,158.0522851,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,58.0366631,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
RHODE Sun 1,Rhododendron degronianum,159.1581305,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,60.3883887,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHODE sun 2,Rhododendron degronianum,152.778968,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,61.8842365,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHOMA pride's pink shade 1,Rhododendron maximum,72.0330898,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,66.5737385,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
RHOMA pride's pink sun 1,Rhododendron maximum,122.6060653,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,58.5042406,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHOMA 1 Shade 2,Rhododendron maximum,110.2368527,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,62.417962,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
RHOMA Sun 2,Rhododendron maximum,122.7291986,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,59.0830149,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHO Makinoi Sun 1,Rhododendron makinoi,152.8770181,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,62.3406342,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Sun,9/28/2023,Ornamental
RHO makinoi Shade 1,Rhododendron makinoi,135.1351775,broadleaf,TRUE,evergreen,C3,NA,NA,NA,NA,63.2133201,Posada_Kothari_2023,Mature,JBM_LeslieHancock,Managed,Shade,9/28/2023,Ornamental
THOC Shade 1,Thuja occidentalis,110.0928128,scaleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,68.3355526,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/06/2023,Wild
THOC Shade 2,Thuja occidentalis,112.7717695,scaleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,66.6974833,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,9/20/2023,Wild
THOC1 ,Thuja occidentalis,156.5349665,scaleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,65.0428397,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/31/2023,Wild
TH OC Sun 2,Thuja occidentalis,201.2629846,scaleleaf,FALSE,evergreen,C3,NA,NA,NA,NA,64.887574,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,09/06/2023,Wild
TICO Shade,Tilia cordata,21.98706839,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,74.0442656,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,8/28/2023,Wild
TICO Shade 2,Tilia cordata,23.58840477,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,71.0900474,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Shade,09/06/2023,Wild
Tico 1,Tilia cordata,88.45440157,broadleaf,FALSE,deciduous,C3,NA,NA,NA,NA,57.9031092,Posada_Kothari_2023,Mature,IDENT_Montreal,Natural,Sun,8/28/2023,Wild
