TreeID,subplot,DBH,X,Y,family,spp,SampleID,strategy
25_1461,25,3.3,428.6,85.6,Fabaceae,Recordoxylon speciosum,ALT051,tall
20_5338,20,2.5,499.8,147.3,Meliaceae,Guarea costata,ALT052,understory
15_1722,15,1.8,440.9,215,Bignoniaceae,Jacaranda copaia,ALT053,tall
15_0036,15,1.9,409.6,206.3,Bignoniaceae,Jacaranda copaia,ALT054,tall
15_0222,15,2.3,400,257.5,Melastomataceae,Mouriri sagotiana,ALT055,understory
13_3436,13,3.3,286.2,251.5,Sapindaceae,Talisia sylvatica,ALT056,understory
14_2464,14,3.2,344.6,297.6,Sapindaceae,Talisia sylvatica,ALT057,understory
13_1905,13,3.5,259.6,296.3,Sapindaceae,Talisia sylvatica,ALT058,understory
13_0250,13,2.3,204.1,273,Goupiaceae,Goupia glabra,ALT059,tall
23_2596,23,2.2,252.7,44.9,Burseraceae,Protium opacum,ALT060,tall
23_2595,23,2.2,253,44.5,Burseraceae,Protium opacum,ALT061,tall
24_1078,24,2.2,326,54.1,Goupiaceae,Goupia glabra,ALT062,tall
24_1543,24,2.4,340.1,42.3,Apocynaceae,Macoubea guianensis,ALT063,tall
24_1798,24,1.7,351.5,8.7,Fabaceae,Recordoxylon speciosum,ALT064,tall
24_0459,24,1.1,315.9,99,Goupiaceae,Goupia glabra,ALT065,tall
19_1411,19,2.8,341.9,107.4,Myrtaceae,Eugenia coffeifolia,ALT066,understory
19_2670,19,3.3,364.7,156.3,Violaceae,Paypayrola hulkiana,ALT067,understory
19_1754,19,2.4,344.89,183.8,Myrtaceae,Eugenia coffeifolia,ALT068,understory
19_3947,19,5.1,393.5,188.1,Annonaceae,Anaxagorea dolichocarpa,ALT069,understory
20_1290,20,3.2,418.3,126.2,Lecythidaceae,Eschweilera coriacea,ALT070,tall
20_3488,20,3.8,458.7,120.6,Fabaceae,Bocoa prouacensis,ALT071,tall
