SampleID,Spectra_name,date,Genus_species,Site,Plot,AQ,ACi,Rdark,survey,gswQ,gswTleaf,gswRH,gswdarkCO2,gswdarkRH,gswdarkTleaf,Refl,Tran,Vertical_Position,Vertical_Profile,Vertical_Level,Tleaf_Spec
BNL21645,BCI_18_GUSTSU01_01,20220318,Gustavia superba,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
BNL21646,BCI_18_GUSTSU03_03,20220318,Gustavia superba,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.2
BNL21647,BCI_19_ALSEBD04_01,20220319,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.4
BNL21648,BCI_19_LUEHSE99_01,20220319,Luehea seemannii,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21649,BCI_19_LUEHSE01_01,20220319,Luehea seemannii,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.3
BNL21650,BCI_19_LUEHSE02_01,20220319,Luehea seemannii,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.4
BNL21651,BCI_20_SIMAAM03_01,20220320,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
BNL21652,BCI_20_TRI2TU01_01,20220320,Trichilia tuberculata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.3
BNL21653,BCI_20_OCOTCE01_01,20220320,Ocotea cernua,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.4
BNL21654,BCI_20_QUARAS02_01,20220320,Quararibea asterolepis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
BNL21655,BCI_20_QUARAS01_01,20220320,Quararibea asterolepis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.6
BNL21656,BCI_20_CALOLO01_01,20220320,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.9
BNL21657,BCI_20_LEATTH01_01,20220320,Laetia thamnia,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.7
BNL21658,BCI_20_LEATTH02_01,20220320,Laetia thamnia,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.5
BNL21659,BCI_20_LEATTH03_01,20220320,Laetia thamnia,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.5
BNL21660,BCI_20_CORDLA01_01,20220320,Cordia lasiocalyx,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.7
BNL21661,BCI_20_CORDLA02_01,20220320,Cordia lasiocalyx,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.8
BNL21662,BCI_20_CORDLA03_01,20220320,Cordia lasiocalyx,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.6
BNL21663,BCI_20_PICRLA01_01,20220320,Picramnia latifolia,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.6
BNL21664,BCI_20_PICRLA02_01,20220320,Picramnia latifolia,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.5
BNL21665,BCI_20_PICRLA03_01,20220320,Picramnia latifolia,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.2
SPC10084,BCI_16_CECRIN01_02,20220316,Cecropia insignis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,29.2
SPC10085,BCI_16_CECRIN01_03,20220316,Cecropia insignis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
SPC10086,BCI_16_CUPASY01_02,20220316,Cupania seemannii,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24
SPC10087,BCI_16_CUPASY01_03,20220316,Cupania seemannii,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,23.9
SPC10088,BCI_16_EUGEOE01_02,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25
SPC10089,BCI_16_EUGEOE01_03,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25
SPC10090,BCI_16_EUGEOE02_02,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.9
SPC10091,BCI_16_EUGEOE02_03,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25
SPC10092,BCI_16_EUGEOE03_02,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.2
SPC10093,BCI_16_EUGEOE03_03,20220316,Eugenia oerstediana,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.1
SPC10094,BCI_16_FARAOC01_02,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,23.3
SPC10095,BCI_16_FARAOC01_03,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,22.6
SPC10096,BCI_16_FARAOC02_02,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.9
SPC10097,BCI_16_FARAOC02_03,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.1
SPC10098,BCI_16_FARAOC03_02,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.3
SPC10099,BCI_16_FARAOC03_03,20220316,Faramea occidentalis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.4
SPC10100,BCI_16_MICOAR01_02,20220316,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.4
SPC10101,BCI_16_MICOAR01_03,20220316,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.3
SPC10102,BCI_16_QUARAS01_02,20220316,Quararibea asterolepis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,21.7
SPC10103,BCI_16_QUARAS01_03,20220316,Quararibea asterolepis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,21.8
SPC10104,BCI_16_SIMAAN01_02,20220316,Simarouba amara,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.8
SPC10105,BCI_16_SIMAAN01_03,20220316,Simarouba amara,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.8
SPC10106,BCI_16_TRI2TU01_02,20220316,Trichilia tuberculata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.8
SPC10107,BCI_16_TRI2TU01_03,20220316,Trichilia tuberculata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.1
SPC10108,BCI_16_TRI2TU02_02,20220316,Trichilia tuberculata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,21.6
SPC10109,BCI_16_TRI2TU02_03,20220316,Trichilia tuberculata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,21.6
SPC10110,BCI_16_VIROSE01_02,20220316,Virola sebifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.6
SPC10111,BCI_16_VIROSE01_03,20220316,Virola sebifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.2
SPC10112,BCI_17_CECRIN02_02,20220317,Cecropia insignis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.2
SPC10113,BCI_17_CECRIN02_03,20220317,Cecropia insignis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.8
SPC10114,BCI_17_CECRIN03_02,20220317,Cecropia insignis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.5
SPC10115,BCI_17_GAR2IN04_02,20220317,Garcinia recondita,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28.3
SPC10116,BCI_17_GAR2IN04_03,20220317,Garcinia recondita,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28
SPC10117,BCI_17_GAR2IN05_02,20220317,Garcinia recondita,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28
SPC10118,BCI_17_HIRTTR01_02,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10119,BCI_17_HIRTTR01_03,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
SPC10120,BCI_17_HIRTTR02_02,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.9
SPC10121,BCI_17_HIRTTR02_03,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.8
SPC10122,BCI_17_HIRTTR03_02,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.8
SPC10123,BCI_17_HIRTTR03_03,20220317,Hirtella triandra,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.8
SPC10124,BCI_17_INGAA101_02,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10125,BCI_17_INGAA101_03,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.2
SPC10126,BCI_17_INGAA102_02,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
SPC10127,BCI_17_INGAA102_03,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27
SPC10128,BCI_17_INGAA103_02,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.9
SPC10129,BCI_17_INGAA103_03,20220317,Inga acuminata,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
SPC10130,BCI_17_MICOAR02_02,20220317,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
SPC10131,BCI_17_MICOAR02_03,20220317,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.6
SPC10132,BCI_17_MICOAR03_02,20220317,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.9
SPC10133,BCI_17_MICOAR03_03,20220317,Miconia argentea,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28
SPC10134,BCI_17_PRI2CO01_02,20220317,Prioria copaifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10135,BCI_17_PRI2CO01_03,20220317,Prioria copaifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10136,BCI_17_PRI2CO02_02,20220317,Prioria copaifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
SPC10137,BCI_17_PRI2CO02_03,20220317,Prioria copaifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.7
SPC10138,BCI_17_QUARAS02_02,20220317,Quararibea asterolepis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
SPC10139,BCI_17_QUARAS02_03,20220317,Quararibea asterolepis,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10140,BCI_17_SIMAAN02_02,20220317,Simarouba amara,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28
SPC10141,BCI_17_SIMAAN02_03,20220317,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.6
SPC10142,BCI_17_SIMAAN03_01,20220317,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
SPC10143,BCI_17_SIMAAN03_02,20220317,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
SPC10144,BCI_17_SIMAAN03_03,20220317,Simarouba amara,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
SPC10145,BCI_17_VIROSE02_02,20220317,Virola sebifera,PA-BCI,BCI-50ha,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.5
SPC10146,BCI_17_VIROSE02_03,20220317,Virola sebifera,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
SPC10147,BCI_18_ALSEBD01_02,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
SPC10148,BCI_18_ALSEBD01_03,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
SPC10149,BCI_18_ALSEBD01_04,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
