SampleID,date,genus_species,site,fresh_mass,dry_mass,leaf_area,LMA,isotope_mass,15N,13C,N_pc,C_pc,CN_ratio,spectra_name,vertical_position,vertical_profile,vertical_level,Tleaf_spec
BNL20256,20220204,Anacardium excelsum,PA-PNM,0.173,0.0832,8.1713,101.8197839,0.775,1.8,-29.6,1.2,42.5,34.4,BNL20256,B03,B,3,N/A
BNL20258,20220204,Calycophyllum candidissimum,PA-PNM,0.084,0.0368,4.08565,90.07134728,0.827,3.7,-32,1.3,50.6,37.8,BNL20258,B04,B,4,30.6
BNL20259,20220203,Cecropia peltata,PA-PNM,0.115,0.0438,8.1713,53.60224199,0.65,1.2,-31.2,3,48.6,16.1,BNL20259,B06,B,6,29.1
BNL20260,20220203,Ficus insipida,PA-PNM,0.118,0.0433,4.90278,88.31724042,0.722,1,-31.9,2.3,43.4,19.2,BNL20260,B06,B,6,29.8
BNL20266,20220204,Piper reticulatum,PA-PNM,0.137,0.048,8.1713,58.74218301,0.856,0,-32.5,2.2,41.5,18.5,BNL20266,B10,B,10,N/A
BNL20267,20220204,Piper reticulatum,PA-PNM,0.109,0.0443,8.1713,54.21413973,0.773,1.5,-31.8,2.5,41.9,16.9,BNL20267,B09,B,9,N/A
BNL20268,20220204,Castilla elastica,PA-PNM,0.088,0.0258,8.1713,31.57392337,0.755,0.9,-33.1,3.3,41.6,12.6,BNL20268,B08,B,8,31.8
BNL20270,20220204,Piper reticulatum,PA-PNM,0.138,0.0466,8.1713,57.02886934,0.785,2.2,-32.3,3.1,43,13.8,BNL20270,B08,B,8,30.9
BNL20271,20220204,Castilla elastica,PA-PNM,0.11,0.0368,8.1713,45.03567364,0.704,1.2,-32.6,3.2,44.1,14,BNL20271,B07,B,7,31.6
BNL20272,20220204,Anacardium excelsum,PA-PNM,0.164,0.075,8.1713,91.78466095,0.762,0.6,-29.8,1.4,44.7,31,BNL20272,B06,B,6,32.1
BNL20275,20220207,Anacardium excelsum,PA-PNM,0.341,0.0795,16.3426,48.6458703,0.797,0.1,-27.3,2.1,49.5,23.3,BNL20275,A04,A,4,29
BNL20276,20220207,Anacardium excelsum,PA-PNM,0.331,0.0974,16.3426,59.59883984,0.788,1.8,-30,1.7,51.6,30.4,BNL20276,A05,A,5,29
BNL20277,20220207,Luehea seemannii,PA-PNM,0.289,0.1304,12.25695,106.3886203,0.746,0.4,-29.7,2.1,48.4,23.3,BNL20277,A06,A,6,29
BNL20278,20220207,Anacardium excelsum,PA-PNM,0.262,0.0988,10.62269,93.00845643,0.69,0.6,-28.2,1.7,48.3,28.3,BNL20278,A01,A,1,29.5
BNL20279,20220207,Anacardium excelsum,PA-PNM,0.267,0.0783,12.25695,63.88212402,0.817,0.4,-27,2.2,49.4,22.6,BNL20279,A02,A,2,30.3
BNL20280,20220207,Anacardium excelsum,PA-PNM,0.244,0.088,10.62269,82.84154014,0.766,0.1,-28.7,1.8,47.5,26.9,BNL20280,A03,A,3,31
BNL20281,20220207,Luehea seemannii,PA-PNM,0.291,0.1389,13.07408,106.240745,0.742,0.1,-31.7,2.1,46.1,22.4,BNL20281,A07,A,7,30.3
BNL20282,20220207,Castilla elastica,PA-PNM,0.142,0.0459,12.25695,37.44814167,0.799,0.7,-33.8,3.1,42.2,13.5,BNL20282,A08,A,8,31.3
BNL20283,20220207,Anacardium excelsum,PA-PNM,0.258,0.1022,12.25695,83.38126532,0.71,0.3,-32.3,1.2,43.5,37.3,BNL20283,A09,A,9,30.8
BNL20284,20220207,Piper reticulatum,PA-PNM,0.197,0.0732,14.70834,49.76768282,0.747,0.4,-33,1.9,38.6,20.7,BNL20284,A10,A,10,29.9
BNL20285,20220207,Piper reticulatum,PA-PNM,0.277,0.2489,16.3426,152.3013474,0.821,3.5,-31.8,2.4,41.3,17.3,BNL20285,A09,A,9,29.5
BNL20290,20220208,Chrysophyllum cainito,PA-PNM,0.212,0.0991,8.1713,121.278132,0.808,1.3,-30.8,1.9,49.5,25.5,BNL20290,E01,E,1,27.2
BNL20291,20220208,Chrysophyllum cainito,PA-PNM,0.214,0.103,8.1713,126.0509344,0.7,0.3,-29.5,1.7,49.9,28.6,BNL20291,E02,E,2,26.4
BNL20292,20220208,Chrysophyllum cainito,PA-PNM,0.189,0.0828,8.1713,101.3302657,0.745,1.2,-30,1.6,49.4,31.3,BNL20292,E03,E,3,27.2
BNL20293,20220208,Chrysophyllum cainito,PA-PNM,0.178,0.0881,8.1713,107.8163817,0.712,2,-32.2,1.7,48.5,28.4,BNL20293,E04,E,4,30.7
BNL20294,20220208,Chrysophyllum cainito,PA-PNM,0.189,0.0956,8.1713,116.9948478,0.794,1.4,-32.2,1.6,47.5,28.8,BNL20294,E05,E,5,29
BNL20295,20220208,Chrysophyllum cainito,PA-PNM,0.21,0.0985,8.1713,120.5438547,0.73,1,-31.6,1.6,47.6,30.4,BNL20295,E06,E,6,32
BNL20296,20220208,Castilla elastica,PA-PNM,0.101,0.0292,8.1713,35.734828,0.782,0.1,-30.5,3,44.8,15.1,BNL20296,E07,E,7,31
BNL20297,20220208,Astronium graveolens,PA-PNM,0.065,0.0273,5.71991,47.72802369,0.747,1.4,-32.9,3.3,49.7,15,BNL20297,E08,E,8,29.9
BNL20298,20220208,Lacistema aggregatum,PA-PNM,0.178,0.0502,8.1713,61.43453306,0.82,1.5,-32.6,2.4,47,19.4,BNL20298,E10,E,10,31.6
BNL20299,20220208,Lacistema aggregatum,PA-PNM,0.177,0.0407,8.1713,49.80847601,0.69,1.3,-33.2,2,46.4,23.7,BNL20299,E09,E,9,28.9
BNL20307,20220210,Anacardium excelsum,PA-PNM,0.191,0.0668,8.1713,81.74953802,0.718,0.5,-27.4,1.6,48.4,30.4,BNL20307,C02,C,2,27.9
BNL20308,20220210,Anacardium excelsum,PA-PNM,0.177,0.0629,8.1713,76.97673565,0.794,1.6,-26.8,1.7,50,30.2,BNL20308,C01,C,1,27.7
BNL20309,20220210,Anacardium excelsum,PA-PNM,0.149,0.0676,8.1713,82.7285744,0.703,0.9,-29.4,1.3,44.5,35.3,BNL20309,C04,C,4,27.6
BNL20310,20220210,Calycophyllum candidissimum,PA-PNM,0.143,0.0495,5.71991,86.53982318,0.778,2.2,-30.8,1.2,49.3,42,BNL20310,C05,C,5,27.6
BNL20311,20220210,Calycophyllum candidissimum,PA-PNM,0.113,0.0364,7.35417,49.49572827,0.77,1,-32.4,2.3,47.3,20.2,BNL20311,C07,C,7,27.6
BNL20312,20220210,Calycophyllum candidissimum,PA-PNM,0.134,0.042,8.1713,51.39941013,0.741,2,-33,2.6,49.3,19.2,BNL20312,C06,C,6,27.2
BNL20313,20220210,Calycophyllum candidissimum,PA-PNM,0.105,0.0272,6.53704,41.6090463,0.817,1.4,-32.6,2.7,49.7,18.4,BNL20313,C08,C,8,27.4
