SampleID,date,genus_species,site,fresh_mass,dry_mass,leaf_area,LMA,isotope_mass,15N,13C,N_pc,C_pc,CN_ratio,spectra_name,vertical_position,vertical_profile,vertical_level,Tleaf_spec
SPC10320,20220209,Calycophyllum candidissimum,PA-PNM,N/A,N/A,N/A,N/A,0.749,0.7,-32,1,49.2,51,C07_01,C07,C,7,N/A
SPC10324,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.822,-0.1,-33.6,1.9,46.1,23.6,C09_02,C09,C,9,N/A
SPC10326,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.712,0.6,-31.9,3.5,44.3,12.8,C09_04,C09,C,9,N/A
SPC10329,20220209,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.711,2,-33.1,3.5,42.4,12.1,C10_01,C10,C,10,N/A
SPC10332,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.827,0.9,-32.8,3.2,42.1,13.1,C10_04,C10,C,10,N/A
SPC10343,20220220,Cecropia peltata,PA-PNM,N/A,N/A,N/A,N/A,0.79,0.7,-31.4,2.1,50.3,23.9,CECRPE_003,N/A,N/A,N/A,25.9
SPC10361,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.798,-0.7,-27,1.5,49.5,33.6,D01_01,D01,D,1,N/A
SPC10364,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.835,0.2,-26.6,1.6,49.1,29.8,D02_01,D02,D,2,N/A
SPC10367,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.78,0.1,-27,1.6,48.3,29.8,D03_01,D03,D,3,N/A
SPC10370,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.811,0.7,-30.1,2.3,46.7,19.9,D04_01,D04,D,4,N/A
SPC10373,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.762,-0.7,-27.4,1.5,48.7,33,D04_04,D04,D,4,N/A
SPC10376,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.773,0.3,-30.4,1.9,43.6,22.4,D05_01,D05,D,5,N/A
SPC10379,20220209,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.747,-0.2,-30.2,1.6,48.6,30.5,D05_04,D05,D,5,N/A
SPC10382,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.82,0.4,-30.6,2.1,48.4,23.1,D05_07,D05,D,5,N/A
SPC10385,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.793,0.1,-31.6,3.1,44.8,14.4,D07_01,D07,D,7,N/A
SPC10388,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.742,2.5,-32.8,2.5,47.7,19.1,D07_04,D07,D,7,N/A
SPC10391,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.833,1.7,-32.4,2.1,47.2,22.8,D08_01,D08,D,8,N/A
SPC10397,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.79,0.5,-33.5,2.1,45.5,21.8,D10_01,D10,D,10,N/A
SPC10400,20220209,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.782,-1.7,-33.9,1.7,35.4,20.8,D10_04,D10,D,10,N/A
SPC10406,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.794,1.9,-29.7,1.9,52.6,28.1,E01_01,E01,E,1,N/A
SPC10409,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.812,2.5,-31.2,1.7,49.5,28.5,E02_01,E02,E,2,N/A
SPC10415,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.798,-0.4,-31,2,45.9,23,E03_01,E03,E,3,N/A
SPC10418,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.82,0.5,-32.2,1.6,50,31.3,E03_04,E03,E,3,N/A
SPC10421,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.76,2,-31.3,1.7,51.5,29.8,E04_01,E04,E,4,N/A
SPC10424,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.705,2.1,-31.5,1.6,49.9,30.7,E05_01,E05,E,5,N/A
SPC10427,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.702,0.9,-32,2.1,43.6,20.6,E05_04,E05,E,5,N/A
SPC10430,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.776,-0.3,-33,2,42.2,21.1,E06_01,E06,E,6,N/A
SPC10436,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.748,-0.3,-33.6,2.2,51.3,22.9,E07_04,E07,E,7,N/A
SPC10439,20220209,Astronium graveolens,PA-PNM,N/A,N/A,N/A,N/A,0.787,2.3,-31.8,3.2,48.9,15.2,E08_01,E08,E,8,N/A
SPC10442,20220209,Chrysophyllum cainito,PA-PNM,N/A,N/A,N/A,N/A,0.811,0.2,-33.3,1.9,49.1,25.8,E08_04,E08,E,8,N/A
SPC10444,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.808,0.3,-31.4,2.6,43.3,16.6,E08_06,E08,E,8,N/A
SPC10447,20220209,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.797,-0.1,-32.7,2.5,42,17.1,E09_01,E09,E,9,N/A
SPC10450,20220209,Astronium graveolens,PA-PNM,N/A,N/A,N/A,N/A,0.815,0.4,-32,2.8,48.9,17.5,E09_04,E09,E,9,N/A
SPC10453,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.772,2.1,-32.7,2.3,49.2,20.9,E09_07,E09,E,9,N/A
SPC10456,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.73,-0.4,-33,2.1,46,21.8,E10_01,E10,E,10,N/A
SPC10459,20220209,Paullinia bracteosa,PA-PNM,N/A,N/A,N/A,N/A,0.75,-0.6,-34.6,3.6,48.8,13.7,E10_04,E10,E,10,N/A
SPC10462,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.768,1.6,-27.4,2.2,47.4,21.3,F01_01,F01,F,1,N/A
SPC10465,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.824,1.5,-28.8,1.8,45.5,25.3,F02_01,F02,F,2,N/A
SPC10468,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.851,1.5,-30.9,1.8,45.1,25.3,F03_01,F03,F,3,N/A
SPC10471,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.842,0,-30,2.1,45.1,21.8,F04_01,F04,F,4,N/A
SPC10474,20220211,Pittoniotis trichantha,PA-PNM,N/A,N/A,N/A,N/A,0.732,2.2,-30.5,1.7,49.6,29,F05_01,F05,F,5,N/A
SPC10477,20220211,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.78,1.3,-30.8,3.2,48.8,15.3,F06_01,F06,F,6,N/A
SPC10480,20220211,Schefflera morototoni,PA-PNM,N/A,N/A,N/A,N/A,0.816,2.9,-30,2.5,52.1,20.8,F06_04,F06,F,6,N/A
SPC10483,20220211,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.729,-0.3,-31.3,3.3,48.7,14.8,F07_01,F07,F,7,N/A
SPC10486,20220211,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.848,0.2,-31.6,2.8,43.1,15.3,F08_01,F08,F,8,N/A
SPC10489,20220211,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.794,0.6,-33.4,2.5,47,19,F08_04,F08,F,8,N/A
SPC10492,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.758,-0.5,-31.7,3,42.2,14.1,F09_01,F09,F,9,N/A
SPC10495,20220211,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.757,0.3,-32.7,2.3,39,16.8,F10_01,F10,F,10,N/A
SPC10498,20220209,Stigmaphyllon hypargyreum,PA-PNM,N/A,N/A,N/A,N/A,0.785,1.4,-29,2,44.4,21.7,G01_01,G01,G,1,N/A
SPC10501,20220209,Stigmaphyllon hypargyreum,PA-PNM,N/A,N/A,N/A,N/A,0.702,2.7,-28.1,1.8,40.8,22.6,G02_01,G02,G,2,N/A
SPC10504,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.824,0.5,-30.1,2,49.2,24.1,G02_04,G02,G,2,N/A
SPC10507,20220209,Stigmaphyllon hypargyreum,PA-PNM,N/A,N/A,N/A,N/A,0.697,1.1,-28.8,1.9,40.8,21,G03_01,G03,G,3,N/A
SPC10510,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.73,0.2,-31.3,1.8,48.8,26.9,G03_04,G03,G,3,N/A
SPC10513,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.77,-0.2,-30.8,2,50.4,25.7,G04_01,G04,G,4,N/A
SPC10516,20220209,Stigmaphyllon hypargyreum,PA-PNM,N/A,N/A,N/A,N/A,0.706,3.3,-28.2,1.5,49.2,32.4,G04_04,G04,G,4,N/A
SPC10519,20220209,Stigmaphyllon hypargyreum,PA-PNM,N/A,N/A,N/A,N/A,0.753,1.7,-30.1,2.5,43.8,17.5,G05_01,G05,G,5,N/A
SPC10522,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.837,1.3,-30.9,2.4,50.7,20.7,G05_04,G05,G,5,N/A
SPC10526,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.747,-0.6,-32.1,1.8,47.7,25.9,G06_02,G06,G,6,N/A
SPC10528,20220209,Luehea seemannii,PA-PNM,N/A,N/A,N/A,N/A,0.692,1.5,-33.5,2.1,46.5,21.7,G07_01,G07,G,7,N/A
SPC10531,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.744,1.9,-32.3,2.4,46.9,19.5,G07_04,G07,G,7,N/A
SPC10534,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.697,0.4,-32.8,1.9,45.7,23.8,G08_01,G08,G,8,N/A
SPC10537,20220209,Ficus insipida,PA-PNM,N/A,N/A,N/A,N/A,0.815,-1.9,-34,2.4,40.1,16.5,G09_01,G09,G,9,N/A
SPC10539,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.834,1.8,-33.3,2,44.9,22.6,G09_03,G09,G,9,N/A
SPC10542,20220209,Lacistema aggregatum,PA-PNM,N/A,N/A,N/A,N/A,0.707,1.6,-33.3,2.3,45.5,19.8,G10_01,G10,G,10,N/A
SPC10545,20220209,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.795,-0.4,-33.5,2.6,39.3,15.4,G10_04,G10,G,10,N/A
SPC10548,20220211,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.791,1.6,-27.9,1.7,49.4,29.7,H01_01,H02,H,2,N/A
SPC10551,20220211,Ficus insipida,PA-PNM,N/A,N/A,N/A,N/A,0.685,0.6,-30.3,1.8,40.8,22.5,H02_01,H02,H,2,N/A
SPC10554,20220211,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.84,2.1,-28.6,1.6,47.3,28.8,H02_04,H02,H,2,N/A
SPC10557,20220211,Ficus insipida,PA-PNM,N/A,N/A,N/A,N/A,0.783,0.3,-33.6,2.4,41.5,17.3,H03_01,H03,H,3,N/A
SPC10560,20220211,Ficus insipida,PA-PNM,N/A,N/A,N/A,N/A,0.786,-0.1,-31.9,2.1,42.3,20.3,H04_01,H04,H,4,N/A
SPC10564,20220211,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.78,-0.8,-25.6,1.3,44.9,35.2,H05_01,H05,H,5,N/A
SPC10567,20220211,Anacardium excelsum,PA-PNM,N/A,N/A,N/A,N/A,0.776,1,-31.2,1.3,42.6,33,H06_01,H06,H,6,N/A
SPC10570,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.68,3.8,-32.7,2.7,40.2,15,H08_01,H08,H,8,N/A
SPC10573,20220211,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.76,3.8,-31.4,2.8,40.7,14.4,H09_01,H09,H,9,N/A
SPC10576,20220211,Piper reticulatum,PA-PNM,N/A,N/A,N/A,N/A,0.788,1.8,-35.7,2.8,38.8,13.9,H10_01,H10,H,10,N/A
SPC10578,20220211,Castilla elastica,PA-PNM,N/A,N/A,N/A,N/A,0.807,0.2,-34,2,38.4,18.9,H10_03,H10,H,10,N/A
