Site_name,Latitude,Longitude,Elevation,Biome_number
SLZ,9.280312,-79.974637,130,1
PNM,8.9943457,-79.543073,100,2
BCI,9.1562792,-79.862707,30,1
Gam,9.1269168,-79.714769,70,1
