Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,9:58:37,caferana,shade,old,1,369.5,0,0.0391,0.0203,91.8,0.459,2.21,28.05,6,1.42,1,2.84,27.33,28.05,27.22,98.54,98.42,15.419,16.098,42.02,43.87,399,1001,15,99.44,0.515,0.114,0.5,-0.22,2.74,1,0,0.16,111115,OK
3,10:00:37,caferana,shade,old,1,490.5,0,0.00743,0.021,95.6,0.479,2.22,28.18,6,1.42,1,2.84,27.47,28.18,27.37,99.83,99.74,15.532,16.24,41.97,43.88,399,1000,15,99.44,0.515,0.114,1,-0.22,2.74,1,0,0.16,111115,OK
4,10:02:54,caferana,shade,old,1,626.5,0,-0.186,0.0243,58.8,0.598,2.4,29.07,6,1.42,1,2.84,29.45,29.07,30.14,48.35,48.58,15.632,16.517,37.65,39.78,399,1000,13,99.44,0.892,0.0891,0.8,-0.22,2.74,1,0,0.16,111135,OK
5,10:05:38,caferana,shade,old,1,791,0,0.0962,0.0275,89.9,0.712,2.53,29.75,6,1.42,1,2.84,29.78,29.75,30.13,99.75,99.49,15.756,16.808,37.24,39.73,399.2,1000,13,99.44,0.542,0.094,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,10:08:19,caferana,shade,old,1,952,0,0.724,0.0311,106,0.814,2.56,29.98,6,1.42,1,2.84,29.88,29.98,30.13,150.83,149.56,15.871,17.074,37.3,40.13,399.1,1000,17,99.43,-0.116,0.0961,0.8,-0.22,2.74,1,0,0.16,111115,OK
7,10:10:32,caferana,shade,old,1,1085,0,1.59,0.0343,165,0.899,2.56,30.05,6,1.42,1,2.84,29.91,30.05,30.13,250.99,248.26,15.947,17.277,37.42,40.54,398.7,999,14,99.43,-1.6,0.0971,0.8,-0.22,2.74,1,0,0.16,111115,OK
8,10:13:21,caferana,shade,old,1,1254.5,0,3.04,0.0378,203,0.985,2.54,30.09,6,1.42,1,2.84,29.93,30.09,30.14,349.83,344.74,16.027,17.483,37.56,40.97,399,999,12,99.43,-3.33,0.0954,0.8,-0.22,2.74,1,0,0.16,111115,OK
9,10:17:48,caferana,shade,old,1,1522,0,4.96,0.0348,295,0.914,2.56,30.16,6,1.42,1,2.84,29.95,30.16,30.13,550.94,542.74,16.12,17.47,37.72,40.88,399,999,15,99.43,-7.41,0.104,0.8,-0.22,2.74,1,0,0.16,111115,OK
10,10:22:08,caferana,shade,old,1,1781.5,0,4.86,0.0216,356,0.586,2.64,30.3,6,1.42,1,2.84,29.99,30.3,30.13,749.77,741.82,16.226,17.092,37.89,39.91,399.1,1000,16,99.43,-11.8,0.115,1,-0.22,2.74,1,0,0.16,111115,OK
11,10:25:30,caferana,shade,old,1,1983,0,5.84,0.0168,401,0.459,2.66,30.36,6,1.42,1,2.84,30,30.36,30.13,1001.32,991.86,16.343,17.022,38.13,39.71,399.1,1001,16,99.43,-18.2,0.123,0.5,-0.22,2.74,1,0,0.16,111115,OK
12,10:28:07,caferana,shade,old,1,2140.5,0,6.52,0.0157,486,0.431,2.66,30.36,6,1.42,1,2.84,30.01,30.36,30.13,1201.32,1190.75,16.382,17.019,38.22,39.7,399.1,1001,16,99.43,-23.4,0.125,0.5,-0.22,2.74,1,0,0.16,111115,OK
13,10:36:48,caferana,shade,old,1,2662,0,7.62,0.0121,912,0.333,2.67,30.41,6,1.42,1,2.84,30.02,30.41,30.13,2000.69,1988.24,16.554,17.046,38.59,39.74,399.2,1000,20,99.42,-46.7,0.138,0.8,-0.22,2.74,1,0,0.16,111115,OK
14,10:40:16,caferana,shade,old,1,2870,0,7.98,0.0106,1.00E+03,0.295,2.7,30.54,6,1.42,1,2.84,30.06,30.54,30.13,2300.26,2287.25,16.63,17.066,38.68,39.69,399,999,17,99.41,-55.9,0.138,0.5,-0.22,2.74,1,0,0.16,111115,OK
