Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,11:09:53,9,sun,mature,3,311.0,0,5.03,0.051,218,1.26,2.41,31.25,6,1.42,1,2.84,30.09,31.25,29.94,398.91,390.63,19.990,21.840,46.28,50.57,400.0,1500,38,99.14,6.01,-0.193,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,11:14:44,9,sun,mature,3,614.0,0,-0.854,0.0361,86.2,0.945,2.54,31.62,6,1.42,1,2.84,30.16,31.62,29.95,49.59,50.80,20.120,21.507,46.37,49.57,400.0,1499,33,99.13,4.22,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,11:16:55,9,sun,mature,3,744.5,0,-0.0265,0.0346,96.2,0.918,2.57,31.75,6,1.42,1,2.84,30.19,31.75,29.94,99.23,99.13,20.182,21.530,46.45,49.55,400.0,1501,39,99.13,4.74,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:19:04,9,sun,mature,3,874.0,0,0.666,0.0343,112,0.911,2.57,31.75,6,1.42,1,2.84,30.20,31.75,29.94,150.21,149.01,20.218,21.556,46.51,49.59,400.0,1500,95,99.12,5.07,-0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:21:13,9,sun,mature,3,1002.5,0,2.03,0.0341,144,0.911,2.59,31.82,6,1.42,1,2.84,30.21,31.82,29.94,251.64,248.25,20.259,21.596,46.57,49.65,400.0,1500,30,99.12,5.63,-0.183,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:23:22,9,sun,mature,3,1131.5,0,3.32,0.0346,179,0.918,2.57,31.77,6,1.42,1,2.84,30.19,31.77,29.94,350.57,345.11,20.278,21.625,46.66,49.76,400.0,1501,440,99.12,5.93,-0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
8,11:25:31,9,sun,mature,3,1260.5,0,5.97,0.0353,251,0.94,2.58,31.81,6,1.42,1,2.84,30.22,31.81,29.94,550.63,540.91,20.291,21.670,46.62,49.79,400.0,1500,775,99.12,5.85,-0.185,1.0,-0.22,2.74,1.00,0.00,0.16,111125,OK
9,11:27:40,9,sun,mature,3,1389.5,0,8.46,0.0359,333,0.961,2.59,31.90,6,1.42,1,2.84,30.27,31.90,29.94,750.18,736.43,20.348,21.758,46.62,49.85,400.0,1499,481,99.11,5.23,-0.181,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
10,11:29:55,9,sun,mature,3,1525.0,0,10.8,0.0354,457,0.949,2.6,31.94,6,1.42,1,2.84,30.27,31.94,29.94,1000.58,982.95,20.419,21.811,46.77,49.96,400.0,1501,89,99.11,4,-0.176,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
11,11:32:04,9,sun,mature,3,1653.5,0,12.6,0.0344,596,0.925,2.61,31.99,6,1.42,1,2.84,30.28,31.99,29.94,1249.18,1228.57,20.498,21.855,46.93,50.04,400.0,1500,86,99.11,1.59,-0.172,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
12,11:34:14,9,sun,mature,3,1783.5,0,14.2,0.0324,722,0.878,2.62,32.05,6,1.42,1,2.84,30.29,32.05,29.94,1500.18,1476.98,20.584,21.871,47.09,50.04,400.0,1499,47,99.11,-1.08,-0.178,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
13,11:36:23,9,sun,mature,3,1912.5,0,15.3,0.0302,849,0.818,2.62,32.03,6,1.42,1,2.84,30.28,32.03,29.94,1749.49,1724.40,20.642,21.842,47.25,49.99,400.0,1500,58,99.1,-4.53,-0.173,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
14,11:38:32,9,sun,mature,3,2041.5,0,16,0.028,988,0.762,2.62,32.04,6,1.42,1,2.84,30.28,32.04,29.94,2000.25,1973.99,20.696,21.813,47.38,49.93,400.0,1499,48,99.1,-8.49,-0.163,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
15,11:40:41,9,sun,mature,3,2171.0,0,16.9,0.026,1.1E+03,0.708,2.63,32.05,6,1.42,1,2.84,30.28,32.05,29.94,2249.54,2221.87,20.766,21.804,47.54,49.92,400.0,1499,34,99.1,-13.1,-0.168,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
