Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,10:08:41,504,shade,mature,2,5354,0,0.369,0.0478,82.7,1.09,2.23,30.22,6,1.42,1,2.84,30.02,30.22,30.13,99.32,98.61,19.325,20.93,45.05,48.79,399.9,1000,4,99.4,0.621,0.0661,0.5,-0.22,2.74,1,0,0.16,111115,OK
17,10:10:10,504,shade,mature,2,5443,0,-0.511,0.053,60.5,1.2,2.21,30.21,6,1.42,1,2.84,30.01,30.21,30.13,46.16,46.84,19.362,21.121,45.13,49.23,399.9,1001,4,99.4,1.13,0.0595,0.8,-0.22,2.74,1,0,0.16,111115,OK
18,10:11:39,504,shade,mature,2,5532,0,0.51,0.0593,80.5,1.31,2.18,30.15,6,1.42,1,2.84,30.01,30.15,30.13,98.71,97.75,19.39,21.32,45.21,49.71,399.9,1001,5,99.39,0.634,0.0605,0.5,-0.22,2.74,1,0,0.16,111115,OK
19,10:13:12,504,shade,mature,2,5625.5,0,1.7,0.0668,101,1.46,2.15,30.12,6,1.42,1,2.84,30,30.12,30.13,150.13,147.26,19.417,21.554,45.29,50.28,399.9,1001,5,99.39,0.0297,0.0552,0.8,-0.22,2.74,1,0,0.16,111115,OK
20,10:14:49,504,shade,mature,2,5722.5,0,3.92,0.0764,154,1.63,2.11,30.08,6,1.42,1,2.84,30,30.08,30.13,251.48,245,19.452,21.846,45.38,50.96,400,1000,5,99.39,-1.39,0.0536,0.8,-0.22,2.74,1,0,0.16,111115,OK
21,10:16:25,504,shade,mature,2,5818.5,0,6.31,0.0867,212,1.81,2.07,30.06,6,1.42,1,2.84,30.01,30.06,30.13,350.99,340.59,19.49,22.152,45.45,51.65,400,1000,5,99.39,-3.02,0.0455,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,10:18:12,504,shade,mature,2,5925.5,0,10.5,0.0991,344,2.02,2.03,30.01,6,1.42,1,2.84,30.01,30.01,30.13,551.26,533.83,19.515,22.478,45.51,52.42,400,1000,4,99.39,-7,0.0507,0.8,-0.22,2.74,1,0,0.16,111115,OK
23,10:20:02,504,shade,mature,2,6035.5,0,13.4,0.109,505,2.18,1.99,29.97,6,1.42,1,2.84,30.01,29.97,30.13,750.5,728.04,19.534,22.735,45.55,53.02,400,1001,6,99.39,-11.4,0.0423,0.8,-0.22,2.74,1,0,0.16,111115,OK
24,10:22:00,504,shade,mature,2,6153,0,15,0.119,738,2.33,1.96,29.94,6,1.42,1,2.84,30.01,29.94,30.13,1000.61,974.73,19.558,22.971,45.6,53.56,399.9,1000,5,99.39,-17.6,0.0407,0.8,-0.22,2.74,1,0,0.16,111115,OK
25,10:23:56,504,shade,mature,2,6269.5,0,15.6,0.127,936,2.44,1.93,29.89,6,1.42,1,2.84,30,29.89,30.13,1201.17,1173.51,19.59,23.164,45.71,54.05,400,1000,5,99.39,-22.8,0.0408,0.8,-0.22,2.74,1,0,0.16,111115,OK
26,10:25:50,504,shade,mature,2,6383.5,0,16.2,0.133,1.22E+03,2.54,1.92,29.91,6,1.42,1,2.84,30.01,29.91,30.13,1499.86,1469.93,19.623,23.34,45.74,54.41,399.9,1000,5,99.39,-31.1,0.0391,0.8,-0.22,2.74,1,0,0.16,111115,OK
27,10:28:09,504,shade,mature,2,6522.5,0,16.6,0.138,1.71E+03,2.61,1.9,29.89,6,1.42,1,2.84,30.01,29.89,30.13,2001.12,1968.5,19.649,23.474,45.81,54.73,399.9,1000,5,99.39,-46,0.0433,0.5,-0.22,2.74,1,0,0.16,111115,OK
