Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,09:30:36,9,sun,mature,1,637.5,0,0.182,0.0578,89.2,1.98,3.35,32.37,6,1.42,1,2.84,29.95,32.37,29.94,100.13,99.56,12.434,15.358,28.99,35.81,400.1,2000,76,99.06,5.9,-0.049,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,09:32:36,9,sun,mature,1,757.5,0,-0.637,0.0591,64.5,2.02,3.34,32.37,6,1.42,1,2.84,29.97,32.37,29.95,49.34,50.14,12.491,15.470,29.10,36.04,400.1,2000,59,99.06,5.24,-0.0524,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,09:34:36,9,sun,mature,1,877.5,0,0.35,0.0608,86.2,2.08,3.35,32.44,6,1.42,1,2.84,29.96,32.44,29.95,101.62,100.78,12.552,15.624,29.25,36.41,400.1,1999,18,99.07,5.95,-0.0553,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,09:36:36,9,sun,mature,1,997.5,0,1.12,0.063,112,2.14,3.33,32.43,6,1.42,1,2.84,30.00,32.43,29.95,150.36,148.21,12.612,15.773,29.33,36.68,400.1,2000,6,99.06,6.41,-0.0546,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,09:38:36,9,sun,mature,1,1117.5,0,3.2,0.0642,154,2.17,3.31,32.40,6,1.42,1,2.84,29.98,32.40,29.94,251.54,245.94,12.663,15.865,29.47,36.92,400.1,2000,6,99.07,6.96,-0.059,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,09:40:36,9,sun,mature,1,1238.0,0,5,0.0655,201,2.21,3.31,32.45,6,1.42,1,2.84,29.97,32.45,29.95,349.36,340.73,12.720,15.988,29.63,37.24,400.1,2000,13,99.07,7.59,-0.0639,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,09:42:36,9,sun,mature,1,1358.0,0,8.33,0.0659,306,2.21,3.3,32.41,6,1.42,1,2.84,29.96,32.41,29.95,549.24,534.98,12.776,16.044,29.77,37.39,400.1,2000,9,99.07,7.9,-0.0629,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,09:44:36,9,sun,mature,1,1477.5,0,11.1,0.0647,421,2.18,3.3,32.43,6,1.42,1,2.84,29.99,32.43,29.95,750.32,731.35,12.851,16.066,29.90,37.38,400.1,1999,7,99.06,7.67,-0.0602,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,09:46:49,9,sun,mature,1,1610.0,0,13.5,0.0641,592,2.08,3.18,31.96,6,1.42,1,2.84,29.99,31.96,29.94,1000.27,976.98,12.928,15.995,30.09,37.22,400.1,2001,7,99.07,6.66,-0.0573,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,09:48:49,9,sun,mature,1,1730.5,0,15,0.0588,755,2,3.33,32.49,6,1.42,1,2.84,30.01,32.49,29.94,1251.05,1224.91,13.014,15.965,30.24,37.10,400.0,2000,6,99.07,5,-0.0566,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,09:50:58,9,sun,mature,1,1859.5,0,16.2,0.0555,929,1.9,3.34,32.52,6,1.42,1,2.84,30.03,32.52,29.94,1499.80,1471.30,13.094,15.896,30.39,36.89,400.1,2000,7,99.08,2.35,-0.0551,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,09:52:57,9,sun,mature,1,1978.0,0,16.8,0.053,1.13E+03,1.82,3.36,32.56,6,1.42,1,2.84,30.03,32.56,29.95,1750.16,1720.25,13.166,15.856,30.56,36.81,400.1,2000,7,99.08,-0.69,-0.0509,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,09:54:56,9,sun,mature,1,2097.0,0,17.5,0.0508,1.32E+03,1.75,3.37,32.58,6,1.42,1,2.84,30.03,32.58,29.95,2000.49,1969.09,13.222,15.812,30.69,36.71,400.0,1999,3,99.08,-4.54,-0.0513,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,09:57:03,9,sun,mature,1,2224.0,0,18,0.0489,1.51E+03,1.7,3.39,32.67,6,1.42,1,2.84,30.06,32.67,29.95,2249.23,2216.60,13.286,15.801,30.80,36.63,400.1,2000,10,99.08,-8.93,-0.0516,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
