OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Mar  5 2016 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:30:00 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:05 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:05 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:05 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:30:05 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:30:08,17.50000006,0,-0.183558479,0.032804078,400.2568296,0.444538656,1.272327929,30.1013813,6,1.420000017,1,2.840000033,30.317276,30.1013813,30.01289177,399.9649963,399.9765015,30.37237167,31.2335453,67.54672241,69.46152496,300.0469055,0.041080132,0.196235523,96.4666214,-1.022348404,0.129291534,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500078176,0.000444539,303.2513813,303.467276,0.006572821,-0.199991767,4.285322518,44.42285276,13.18930745,30.20932865,4.311945179,0.032429493,3.01299459,1.298950589,0.020301758,38.61142405,1.000700862,69.49470323,400.0637564,-0.000318858
2,14:30:10,19.50000001,0,-0.170532644,0.032788157,399.6246057,0.443994301,1.271386663,30.09736633,6,1.420000017,1,2.840000033,30.31119728,30.09736633,30.01100349,399.9824219,399.9683228,30.37299728,31.23307419,67.55673981,69.47016907,300.0617676,0.020414231,0.236038283,96.46659851,-1.022348404,0.129291534,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500102946,0.000443994,303.2473663,303.4611973,0.003266277,-0.200042958,4.284335091,44.41262734,13.17955315,30.20428181,4.31069729,0.032413934,3.012948428,1.297748862,0.020292001,38.55042639,0.999140639,69.51024603,400.0493858,-0.000296308
3,14:30:12,21.49999997,0,-0.126686985,0.032792475,397.4802954,0.443743464,1.270506287,30.09375381,6,1.420000017,1,2.840000033,30.30740166,30.09375381,30.00898552,400.0574646,399.9559021,30.37345314,31.23305893,67.56894684,69.48168945,300.0566101,0.012487112,0.258029699,96.46639252,-1.022348404,0.129291534,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50009435,0.000443743,303.2437538,303.4574017,0.001997938,-0.199955776,4.283446809,44.40351399,13.17045506,30.20057774,4.309781618,0.032418154,3.012940522,1.296841095,0.020294648,38.3434902,0.993810301,69.52523068,400.016123,-0.00022019
4,14:30:14,23.99999991,0,-0.068803808,0.032757936,394.6874214,0.443147193,1.270119825,30.0921936,6,1.420000017,1,2.840000033,30.3098793,30.0921936,30.00799561,400.1955872,399.9787292,30.37471199,31.23319244,67.56422424,69.4750824,300.0461731,0.022392688,0.252396941,96.46607208,-1.022348404,0.129291534,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500076955,0.000443147,303.2421936,303.4598793,0.00358283,-0.199056681,4.283063219,44.39968506,13.16649261,30.20103645,4.309895007,0.032384399,3.012943394,1.296951613,0.020273481,38.07394524,0.986771027,69.53146417,400.0114353,-0.000119597
5,14:30:16,25.99999987,0,-0.050456381,0.032726652,393.8295328,0.442720403,1.270094861,30.09227753,6,1.420000017,1,2.840000033,30.31063652,30.09227753,30.00810242,400.2675781,400.0143433,30.37602997,31.233675,67.56338501,69.47237396,300.0490417,0.01738528,0.241082788,96.46604156,-1.022348404,0.129291534,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500081736,0.00044272,303.2422775,303.4606365,0.002781645,-0.198749257,4.283083852,44.39991299,13.16623798,30.20145702,4.309998968,0.032353823,3.012988991,1.297009977,0.020254309,37.99117608,0.984538528,69.53186677,400.0383278,-8.76998E-05
6,14:30:18,27.99999982,0,-0.047156895,0.032716181,393.6956944,0.442646358,1.270281836,30.09330177,6,1.420000017,1,2.840000033,30.30953789,30.09330177,30.00844383,400.3026123,400.0428162,30.37685966,31.23435211,67.56781006,69.47644806,300.0520325,0.024234079,0.23912783,96.46602631,-1.022348404,0.129291534,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500086721,0.000442646,303.2433018,303.4595379,0.003877453,-0.198998092,4.283335668,44.40253043,13.16817832,30.20141983,4.309989774,0.03234359,3.013053832,1.296935942,0.020247892,37.97825921,0.984133894,69.52900971,400.0652323,-8.19559E-05
